"公司编号","日期","征收方式","申报渠道","营业额"
9913,2014-01-13 12:52:49,"查帐征收","网上申报",36820
9913,2014-01-14 15:49:28,"查帐征收","网上申报",36820
9913,2014-01-14 15:49:28,"定期定率征收","网上申报",786901.93
9913,2014-01-14 15:49:28,"查帐征收","网上申报",105.02
9913,2014-01-14 15:49:28,"查帐征收","网上申报",105.02
9913,2014-01-14 15:49:28,"查帐征收","网上申报",105.02
28324,2014-01-15 13:26:40,"查帐征收","网上申报",42600
28324,2014-01-15 13:26:40,"定期定率征收","网上申报",4058145.24
28324,2014-01-15 13:26:40,"查帐征收","网上申报",5376.79
28324,2014-01-15 13:26:40,"查帐征收","网上申报",2130
28324,2014-01-15 13:26:40,"查帐征收","网上申报",5376.79
28324,2014-01-15 13:26:40,"查帐征收","网上申报",2130
28324,2014-01-15 13:26:40,"查帐征收","网上申报",5376.79
28324,2014-01-15 13:26:40,"查帐征收","网上申报",2130
28324,2014-01-15 13:34:50,"查帐征收","网上申报",26520.42
28324,2014-01-15 13:34:50,"查帐征收","网上申报",5000
32356,2014-03-04 14:07:26,"定期定额征收","大厅申报",0
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",1500
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",1500
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",1500
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",0
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",750
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",150
32356,2014-03-04 14:07:26,"查帐征收","大厅申报",105
33044,2014-01-08 14:50:43,"查帐征收","网上申报",5600
42597,2014-01-14 15:13:06,"查帐征收","网上申报",9421.13
42597,2014-01-14 15:13:06,"查帐征收","网上申报",9421.13
42597,2014-01-14 15:13:06,"查帐征收","网上申报",9421.13
42597,2014-01-14 15:15:00,"查帐征收","网上申报",942113.4
59701,2014-01-09 11:02:41,"定期定额征收","大厅申报",800
59701,2014-01-09 11:02:41,"定期定额征收","大厅申报",800
59701,2014-01-09 11:02:41,"定期定额征收","大厅申报",800
59701,2014-01-09 11:02:41,"定期定额征收","大厅申报",6666.66
60964,2014-01-06 00:00:00,"定期定额征收","网上申报",600
60964,2014-01-06 00:00:00,"定期定额征收","网上申报",600
60964,2014-01-06 00:00:00,"定期定额征收","网上申报",20000
60964,2014-01-06 00:00:00,"定期定额征收","网上申报",600
61619,2014-01-09 00:00:00,"定期定额征收","网上申报",650
61619,2014-01-09 00:00:00,"定期定额征收","网上申报",650
61619,2014-01-09 00:00:00,"定期定额征收","网上申报",650
79841,2014-01-14 15:00:01,"查帐征收","大厅申报",3500
100927,2014-01-13 22:54:30,"查帐征收","网上申报",2400
110214,2014-01-11 12:18:00,"查帐征收","网上申报",2500
115119,2014-01-13 11:17:28,"查帐征收","网上申报",0
123498,2014-01-14 10:05:26,"定期定额征收","大厅申报",30000
123498,2014-01-14 10:05:26,"定期定额征收","大厅申报",900
123498,2014-01-14 10:05:26,"定期定额征收","大厅申报",900
123498,2014-01-14 10:05:26,"定期定额征收","大厅申报",900
159119,2014-01-02 09:21:59,"查帐征收","大厅申报",6048000
