"X.Y..m..d","AA","AXP","T","BA","CAT","C","KO","DD","EK","XOM","GE","GM","HWP","HD","HON","INTC","IBM","IP","JPM","JNJ","MCD","MRK","MSFT","MMM","MO","PG","SBC","UTX","WMT","DIS"
"1990-12-31"," 5.92"," 4.70","14.67","21.77"," 9.30"," 1.87"," 9.88","13.15","23.02","12.09"," 4.63","19.72"," 3.91"," 2.80"," 5.70"," 1.20"," 27.86","20.45"," 2.67"," 7.31"," 7.08","11.83","  2.08"," 31.41","10.55"," 20.91"," 9.75"," 9.31"," 7.05"," 7.86"
"1991-01-02"," 5.92"," 4.70","14.67","21.77"," 9.30"," 1.87"," 9.88","13.15","23.02","12.09"," 4.63","19.72"," 3.91"," 2.80"," 5.70"," 1.20"," 27.86","20.45"," 2.67"," 7.31"," 7.08","11.83","  2.08"," 31.41","10.55"," 20.91"," 9.75"," 9.31"," 7.05"," 7.86"
"1991-01-03"," 5.88"," 4.73","14.73","21.71"," 9.15"," 1.87"," 9.60","12.83","22.95","12.15"," 4.53","19.57"," 3.91"," 2.74"," 5.67"," 1.20"," 27.95","20.21"," 2.67"," 7.23"," 6.99","11.45","  2.09"," 30.90","10.27"," 20.70"," 9.64"," 9.19"," 7.05"," 7.82"
"1991-01-04"," 5.76"," 4.73","14.79","22.50"," 9.00"," 1.92"," 9.85","13.06","22.74","12.27"," 4.47","19.00"," 3.85"," 2.75"," 5.65"," 1.20"," 27.86","20.50"," 2.69"," 7.18"," 7.02","11.27","  2.11"," 30.80","10.24"," 20.48"," 9.56"," 9.24"," 6.97"," 7.79"
"1991-01-07"," 5.72"," 4.58","14.67","21.65"," 8.87"," 1.89"," 9.69","12.83","22.11","12.12"," 4.40","18.35"," 3.88"," 2.65"," 5.50"," 1.19"," 27.39","20.45"," 2.58"," 6.96"," 6.80","10.97","  2.08"," 30.43","10.08"," 20.05"," 9.40"," 8.95"," 6.82"," 7.58"
"1991-01-08"," 5.63"," 4.53","14.73","21.34"," 9.05"," 1.85"," 9.60","12.60","22.18","12.09"," 4.44","18.28"," 3.90"," 2.59"," 5.47"," 1.18"," 27.08","20.26"," 2.58"," 7.02"," 6.83","11.01","  2.04"," 29.65","10.11"," 20.02"," 9.32"," 8.78"," 6.85"," 7.41"
"1991-01-09"," 5.53"," 4.50","14.42","21.22"," 8.92"," 1.77"," 9.38","12.06","22.04","11.88"," 4.43","18.13"," 3.79"," 2.59"," 5.39"," 1.19"," 26.55","19.87"," 2.49"," 6.85"," 6.83","10.87","  2.06"," 29.05","10.08"," 19.53"," 9.25"," 8.43"," 6.70"," 7.35"
"1991-01-10"," 5.67"," 4.73","14.49","21.83"," 9.07"," 1.80"," 9.55","12.10","22.11","12.00"," 4.43","18.35"," 3.74"," 2.68"," 5.45"," 1.20"," 26.93","20.45"," 2.55"," 7.03"," 6.89","11.02","  2.17"," 29.46","10.19"," 19.78"," 9.32"," 8.58"," 6.82"," 7.45"
"1991-01-11"," 5.68"," 4.67","14.67","21.89"," 9.17"," 1.84"," 9.66","12.19","22.18","11.88"," 4.42","18.28"," 3.79"," 2.70"," 5.42"," 1.24"," 26.86","20.60"," 2.61"," 7.09"," 6.74","11.06","  2.17"," 30.20","10.16"," 19.63"," 9.29"," 8.65"," 7.00"," 7.43"
"1991-01-14"," 5.68"," 4.56","14.42","21.53"," 9.15"," 1.86"," 9.69","12.15","21.62","11.91"," 4.43","17.85"," 3.79"," 2.71"," 5.27"," 1.23"," 26.52","20.50"," 2.52"," 7.10"," 6.64","10.96","  2.13"," 30.25","10.14"," 19.44"," 9.16"," 8.48"," 6.85"," 7.39"
"1991-01-15"," 5.70"," 4.53","14.42","21.41"," 9.21"," 1.85"," 9.69","12.06","21.13","11.88"," 4.45","18.13"," 3.85"," 2.77"," 5.32"," 1.26"," 26.71","20.41"," 2.58"," 7.11"," 6.74","11.04","  2.18"," 30.06","10.24"," 19.56"," 9.21"," 8.51"," 6.85"," 7.33"
"1991-01-16"," 5.70"," 4.61","14.61","22.01"," 8.76"," 1.85"," 9.79","12.06","21.27","11.85"," 4.47","18.49"," 4.13"," 2.83"," 5.39"," 1.31"," 27.11","20.60"," 2.61"," 7.24"," 6.71","11.20","  2.28"," 30.02","10.32"," 19.66"," 9.07"," 8.68"," 7.03"," 7.49"
"1991-01-17"," 5.97"," 4.85","15.47","23.41"," 9.16"," 1.94","10.42","12.74","22.25","12.12"," 4.75","19.50"," 4.37"," 2.95"," 5.78"," 1.31"," 28.76","21.86"," 2.61"," 7.46"," 7.14","11.62","  2.33"," 31.54","10.81"," 20.30"," 9.45"," 9.29"," 7.50"," 7.93"
"1991-01-18"," 6.10"," 4.82","15.47","23.89"," 8.93"," 1.98","10.61","12.92","22.39","12.30"," 4.74","19.57"," 4.68"," 2.99"," 5.88"," 1.36"," 29.22","21.81"," 2.64"," 7.50"," 7.26","11.70","  2.37"," 31.82","10.91"," 20.05"," 9.69"," 9.29"," 7.58"," 8.04"
"1991-01-21"," 6.14"," 4.82","15.35","23.53"," 8.93"," 2.01","10.48","12.83","22.32","12.21"," 4.70","19.36"," 4.51"," 3.02"," 5.75"," 1.40"," 29.72","21.57"," 2.78"," 7.53"," 7.14","11.58","  2.49"," 31.59","10.89"," 19.87"," 9.78"," 9.12"," 7.41"," 7.95"
"1991-01-22"," 5.97"," 4.76","15.16","22.86"," 8.61"," 2.00","10.48","12.79","22.18","12.12"," 4.64","19.00"," 4.30"," 2.99"," 5.55"," 1.36"," 29.32","21.32"," 2.96"," 7.49"," 7.14","11.58","  2.47"," 31.45","10.99"," 19.63"," 9.32"," 8.51"," 7.32"," 7.76"
"1991-01-23"," 6.10"," 4.58","15.04","22.86"," 8.81"," 1.99","10.50","12.83","22.39","12.39"," 4.69","19.57"," 4.40"," 3.05"," 5.78"," 1.36"," 29.63","21.52"," 2.99"," 7.62"," 7.08","11.78","  2.47"," 29.88","11.09"," 19.38"," 8.90"," 8.60"," 7.23"," 7.88"
