"X.Y..m..d","IP"
"1919-01-28","  7.628"
"1919-02-28","  7.291"
"1919-03-28","  7.080"
"1919-04-28","  7.206"
"1919-05-28","  7.249"
"1919-06-28","  7.712"
"1919-07-28","  8.176"
"1919-08-28","  8.302"
"1919-09-28","  8.134"
"1919-10-28","  8.049"
"1919-11-28","  7.923"
"1919-12-28","  8.049"
"1920-01-28","  8.808"
"1920-02-28","  8.808"
"1920-03-28","  8.639"
"1920-04-28","  8.176"
"1920-05-28","  8.386"
"1920-06-28","  8.471"
"1920-07-28","  8.260"
"1920-08-28","  8.302"
"1920-09-28","  8.007"
"1920-10-28","  7.670"
"1920-11-28","  7.038"
"1920-12-28","  6.616"
"1921-01-28","  6.237"
"1921-02-28","  6.111"
"1921-03-28","  5.942"
"1921-04-28","  5.942"
"1921-05-28","  6.111"
"1921-06-28","  6.069"
"1921-07-28","  6.026"
"1921-08-28","  6.237"
"1921-09-28","  6.279"
"1921-10-28","  6.659"
"1921-11-28","  6.574"
"1921-12-28","  6.532"
"1922-01-28","  6.785"
"1922-02-28","  7.080"
"1922-03-28","  7.459"
"1922-04-28","  7.206"
"1922-05-28","  7.586"
"1922-06-28","  7.965"
"1922-07-28","  7.965"
"1922-08-28","  7.796"
"1922-09-28","  8.218"
"1922-10-28","  8.682"
"1922-11-28","  9.061"
"1922-12-28","  9.314"
"1923-01-28","  9.103"
"1923-02-28","  9.229"
"1923-03-28","  9.524"
"1923-04-28","  9.735"
"1923-05-28","  9.862"
"1923-06-28","  9.777"
"1923-07-28","  9.693"
"1923-08-28","  9.524"
"1923-09-28","  9.314"
"1923-10-28","  9.272"
"1923-11-28","  9.271"
"1923-12-28","  9.061"
"1924-01-28","  9.271"
"1924-02-28","  9.440"
"1924-03-28","  9.272"
"1924-04-28","  8.977"
"1924-05-28","  8.597"
"1924-06-28","  8.218"
"1924-07-28","  8.091"
"1924-08-28","  8.386"
"1924-09-28","  8.681"
"1924-10-28","  8.892"
"1924-11-28","  9.061"
"1924-12-28","  9.314"
"1925-01-28","  9.609"
"1925-02-28","  9.609"
"1925-03-28","  9.609"
"1925-04-28","  9.693"
"1925-05-28","  9.651"
"1925-06-28","  9.567"
"1925-07-28","  9.819"
"1925-08-28","  9.651"
"1925-09-28","  9.524"
"1925-10-28","  9.904"
"1925-11-28"," 10.114"
"1925-12-28"," 10.241"
"1926-01-28"," 10.072"
"1926-02-28"," 10.072"
"1926-03-28"," 10.199"
"1926-04-28"," 10.199"
"1926-05-28"," 10.114"
"1926-06-28"," 10.241"
"1926-07-28"," 10.283"
"1926-08-28"," 10.409"
"1926-09-28"," 10.578"
"1926-10-28"," 10.578"
"1926-11-28"," 10.536"
"1926-12-28"," 10.494"
"1927-01-28"," 10.452"
"1927-02-28"," 10.536"
"1927-03-28"," 10.662"
"1927-04-28"," 10.409"
"1927-05-28"," 10.494"
"1927-06-28"," 10.452"
"1927-07-28"," 10.325"
"1927-08-28"," 10.325"
"1927-09-28"," 10.157"
"1927-10-28","  9.946"
"1927-11-28","  9.946"
"1927-12-28","  9.988"
"1928-01-28"," 10.199"
"1928-02-28"," 10.283"
"1928-03-28"," 10.367"
"1928-04-28"," 10.325"
"1928-05-28"," 10.452"
"1928-06-28"," 10.536"
"1928-07-28"," 10.662"
"1928-08-28"," 10.873"
"1928-09-28"," 10.957"
"1928-10-28"," 11.168"
"1928-11-28"," 11.379"
"1928-12-28"," 11.589"
"1929-01-28"," 11.758"
"1929-02-28"," 11.716"
"1929-03-28"," 11.758"
"1929-04-28"," 11.969"
"1929-05-28"," 12.179"
"1929-06-28"," 12.264"
"1929-07-28"," 12.432"
"1929-08-28"," 12.306"
"1929-09-28"," 12.222"
"1929-10-28"," 12.011"
"1929-11-28"," 11.421"
"1929-12-28"," 10.915"
"1930-01-28"," 10.915"
"1930-02-28"," 10.873"
"1930-03-28"," 10.704"
"1930-04-28"," 10.620"
"1930-05-28"," 10.452"
"1930-06-28"," 10.157"
"1930-07-28","  9.693"
"1930-08-28","  9.482"
"1930-09-28","  9.314"
"1930-10-28","  9.061"
"1930-11-28","  8.850"
"1930-12-28","  8.639"
"1931-01-28","  8.597"
"1931-02-28","  8.639"
"1931-03-28","  8.808"
"1931-04-28","  8.850"
