"","X.Y..m..d","BMW.RET"
"1","1973-01-02",0.047704097
"2","1973-01-03",0.007127223
"3","1973-01-04",0.008883307
"4","1973-01-05",-0.012440569
"5","1973-01-08",-0.003569961
"6","1973-01-09",0
"7","1973-01-10",0.001740804
"8","1973-01-11",-0.001740804
"9","1973-01-12",0.001740804
"10","1973-01-15",0
"11","1973-01-16",-0.001740804
"12","1973-01-17",0.033455174
"13","1973-01-18",0.047370214
"14","1973-01-19",0.02348919
"15","1973-01-22",-0.005467663
"16","1973-01-23",-0.033019677
"17","1973-01-24",0.042774239
"18","1973-01-25",0.0378561
"19","1973-01-26",0.009224649
"20","1973-01-29",-0.001570845
"21","1973-01-30",-0.015446463
"22","1973-01-31",0.015446463
"23","1973-02-01",-0.006149984
"24","1973-02-02",-0.023445763
"25","1973-02-05",-0.055259919
"26","1973-02-06",-0.010148006
"27","1973-02-07",0.033238641
"28","1973-02-08",-0.003853569
"29","1973-02-09",-0.022665543
"30","1973-02-12",0.006759962
"31","1973-02-13",0.029494219
"32","1973-02-14",-0.013588638
"33","1973-02-15",-0.027657807
"34","1973-02-16",0.019990415
"35","1973-02-19",-0.02171768
"36","1973-02-20",0.026695543
"37","1973-02-21",0.006543099
"38","1973-02-22",0.04007255
"39","1973-02-23",-0.015869493
"40","1973-02-26",0.020517683
"41","1973-02-27",0.021671206
"42","1973-02-28",-0.001566048
"43","1973-03-01",-0.007077727
"44","1973-03-02",-0.000552595
"45","1973-03-05",0.007630322
"46","1973-03-06",0.003051526
"47","1973-03-07",0.00101511
"48","1973-03-08",0.00661198
"49","1973-03-09",-0.012718152
"50","1973-03-12",0.011243969
"51","1973-03-13",0.00302361
"52","1973-03-14",0.022428128
"53","1973-03-15",-0.005921669
"54","1973-03-16",0.020574221
"55","1973-03-19",-0.005835283
"56","1973-03-20",-0.011773721
"57","1973-03-21",0.00643235
"58","1973-03-22",0.003914783
"59","1973-03-23",-0.001503873
"60","1973-03-26",-0.023835128
"61","1973-03-27",-0.012095046
"62","1973-03-28",0.015096087
"63","1973-03-29",0
"64","1973-03-30",-0.003001041
"65","1973-04-02",-0.003010074
"66","1973-04-03",-0.004493345
"67","1973-04-04",-0.023092449
"68","1973-04-05",0.009332557
"69","1973-04-06",-0.001575672
"70","1973-04-09",-0.007756885
"71","1973-04-10",-0.003103739
"72","1973-04-11",-0.002793632
"73","1973-04-12",0.015229929
"74","1973-04-13",-0.006159211
"75","1973-04-16",0.01836498
"76","1973-04-17",0
"77","1973-04-18",0.03289267
"78","1973-04-19",0.0102565
"79","1973-04-20",0
"80","1973-04-23",0
"81","1973-04-24",-0.002909039
"82","1973-04-25",-0.020679982
"83","1973-04-26",-0.016531844
"84","1973-04-27",0.040120865
"85","1973-04-30",0.002900601
"86","1973-05-01",0
"87","1973-05-02",0.014378128
"88","1973-05-03",-0.033422038
"89","1973-05-04",-0.011878614
"90","1973-05-07",-0.025838424
"91","1973-05-08",0.016758645
"92","1973-05-09",-0.01213173
"93","1973-05-10",-0.016964939
"94","1973-05-11",0.007768569
"95","1973-05-14",-0.028188926
"96","1973-05-15",-0.024085666
"97","1973-05-16",0.003239609
"98","1973-05-17",-0.001660027
"99","1973-05-18",-0.013043663
"100","1973-05-21",-0.035115366
"101","1973-05-22",0.023518334
"102","1973-05-23",0.014873933
"103","1973-05-24",0.004937042
"104","1973-05-25",0.030498439
"105","1973-05-28",0
"106","1973-05-29",-0.028913718
"107","1973-05-30",-0.006521762
"108","1973-05-31",0
"109","1973-06-01",-0.024885568
"110","1973-06-04",0.011713039
"111","1973-06-05",0.009306328
"112","1973-06-06",0.010387963
"113","1973-06-07",0.001665418
"114","1973-06-08",-0.004920982
"115","1973-06-11",0
"116","1973-06-12",0.006500565
"117","1973-06-13",0.011316356
"118","1973-06-14",0.003198166
"119","1973-06-15",-0.011280018
"120","1973-06-18",0.009723214
"121","1973-06-19",0
"122","1973-06-20",0.025262456
"123","1973-06-21",0
"124","1973-06-22",0.001597827
"125","1973-06-25",-0.03006344
"126","1973-06-26",-0.011334144
"127","1973-06-27",0.001579582
"128","1973-06-28",-0.013043663
"129","1973-06-29",-0.006586193
"130","1973-07-02",0.004901556
"131","1973-07-03",0
"132","1973-07-04",-0.011531415
"133","1973-07-05",-0.010114083
"134","1973-07-06",0.001721467
"135","1973-07-09",-0.008463648
"136","1973-07-10",0
"137","1973-07-11",0.030072316
"138","1973-07-12",-0.009895628
"139","1973-07-13",-0.008364678
"140","1973-07-16",0.006663274
"141","1973-07-17",-0.018475284
"142","1973-07-18",-0.013622285
"143","1973-07-19",0
"144","1973-07-20",-0.003434765
"145","1973-07-23",-0.035103923
"146","1973-07-24",0
"147","1973-07-25",-0.0290171
"148","1973-07-26",-0.050842876
"149","1973-07-27",-0.012849422
"150","1973-07-30",0.012849422
"151","1973-07-31",0.057779537
"152","1973-08-01",-0.014111241
"153","1973-08-02",0.014111241
"154","1973-08-03",0.039382379
"155","1973-08-06",-0.007753375
"156","1973-08-07",0.009727177
"157","1973-08-08",0.01908709
"158","1973-08-09",0.005612081
"159","1973-08-10",0.009399547
"160","1973-08-13",-0.039941694
"161","1973-08-14",0
"162","1973-08-15",0
"163","1973-08-16",0.011562895
"164","1973-08-17",-0.019346444
"165","1973-08-20",-0.013722656
"166","1973-08-21",-0.009998232
"167","1973-08-22",0
"168","1973-08-23",0
"169","1973-08-24",-0.02011157
"170","1973-08-27",0
"171","1973-08-28",0.016102801
"172","1973-08-29",-0.01202909
"173","1973-08-30",0.016037858
"174","1973-08-31",0.007969646
"175","1973-09-03",0.007173764
"176","1973-09-04",0.031748698
"177","1973-09-05",-0.009544696
"178","1973-09-06",-0.007738027
"179","1973-09-07",0.001895051
"180","1973-09-10",-0.015628157
"181","1973-09-11",0.015628157
"182","1973-09-12",0.009689651
"183","1973-09-13",-0.023305183
"184","1973-09-14",-0.005958128
"185","1973-09-17",-0.021936004
"186","1973-09-18",-0.008114783
"187","1973-09-19",0.002082151
"188","1973-09-20",0.008004186
"189","1973-09-21",-0.008004186
"190","1973-09-24",-0.031013959
"191","1973-09-25",0.006318983
"192","1973-09-26",-0.006318983
"193","1973-09-27",0.026940248
"194","1973-09-28",0.004073711
"195","1973-10-01",-0.028870753
"196","1973-10-02",-0.008404232
"197","1973-10-03",0.004210945
"198","1973-10-04",-0.008439697
"199","1973-10-05",-0.01279462
"200","1973-10-08",-0.039396412
"201","1973-10-09",0.004454812
"202","1973-10-10",-0.012586633
"203","1973-10-11",-0.019022026
"204","1973-10-12",0.018184241
"205","1973-10-15",-0.009050788
"206","1973-10-16",-0.018351096
"207","1973-10-17",0.018351096
"208","1973-10-18",0.004535634
"209","1973-10-19",0.01348476
"210","1973-10-22",0.01248533
"211","1973-10-23",-0.005862103
"212","1973-10-24",0.01464215
"213","1973-10-25",-0.003563977
"214","1973-10-26",0.021695014
"215","1973-10-29",0.014862059
"216","1973-10-30",-0.010578971
"217","1973-10-31",-0.019470707
"218","1973-11-01",0.023735529
"219","1973-11-02",-0.015057372
"220","1973-11-05",-0.055463643
"221","1973-11-06",0.004556299
"222","1973-11-07",-0.004556299
"223","1973-11-08",0.011299555
"224","1973-11-09",0.011277137
"225","1973-11-12",-0.038743203
"226","1973-11-13",-0.033027304
"227","1973-11-14",-0.066891428
"228","1973-11-15",-0.03125633
"229","1973-11-16",-0.018757149
"230","1973-11-19",-0.008057453
"231","1973-11-20",0.005420751
"232","1973-11-21",0
"233","1973-11-22",-0.049878259
"234","1973-11-23",-0.025972009
"235","1973-11-26",-0.050772325
"236","1973-11-27",0.024247029
"237","1973-11-28",0.020676133
"238","1973-11-29",0.057006818
"239","1973-11-30",-0.025185646
"240","1973-12-03",0.01130104
"241","1973-12-04",0.042967868
"242","1973-12-05",0.008972023
"243","1973-12-06",-0.018783422
"244","1973-12-07",-0.016440821
"245","1973-12-10",-0.025245322
"246","1973-12-11",0.025245322
"247","1973-12-12",-0.011112661
"248","1973-12-13",0.011112661
"249","1973-12-14",-0.016715647
"250","1973-12-17",0.002740264
"251","1973-12-18",-0.005619094
"252","1973-12-19",0.003923625
"253","1973-12-20",0.001695468
"254","1973-12-21",0.022165856
"255","1973-12-24",0
"256","1973-12-25",0
"257","1973-12-26",0
"258","1973-12-27",0.029759243
"259","1973-12-28",0
"260","1973-12-31",-0.068877999
"261","1974-01-01",0
"262","1974-01-02",-0.020080996
"263","1974-01-03",0.005797899
"264","1974-01-04",0.012027407
"265","1974-01-07",0.005167285
"266","1974-01-08",0.01130104
"267","1974-01-09",0.005602986
"268","1974-01-10",0.002724974
"269","1974-01-11",-0.048453302
"270","1974-01-14",0.028824303
"271","1974-01-15",0.002771364
"272","1974-01-16",0.019704428
"273","1974-01-17",0.01653142
"274","1974-01-18",0.016262571
"275","1974-01-21",-0.043968744
"276","1974-01-22",0.00832796
"277","1974-01-23",-0.025327776
"278","1974-01-24",-0.026122396
"279","1974-01-25",-0.006432651
"280","1974-01-28",0.021462383
"281","1974-01-29",-0.006065935
"282","1974-01-30",0.021137911
"283","1974-01-31",0.08570879
"284","1974-02-01",-0.008174266
"285","1974-02-04",-0.011210465
"286","1974-02-05",-0.029417583
"287","1974-02-06",0.006865888
"288","1974-02-07",0.002783755
"289","1974-02-08",-0.00850205
"290","1974-02-11",0
"291","1974-02-12",0.017057713
"292","1974-02-13",-0.008555664
"293","1974-02-14",-0.020037681
"294","1974-02-15",-0.010627368
"295","1974-02-18",-0.015891069
"296","1974-02-19",0.014717743
"297","1974-02-20",-0.014717743
"298","1974-02-21",-0.007841093
"299","1974-02-22",-0.004144668
"300","1974-02-25",0.006010838
"301","1974-02-26",-0.008022506
"302","1974-02-27",0.002011668
"303","1974-02-28",-0.00915215
"304","1974-03-01",-0.012243385
"305","1974-03-04",-0.012533736
"306","1974-03-05",0
"307","1974-03-06",-0.015644962
"308","1974-03-07",0.02200033
"309","1974-03-08",0.033584741
"310","1974-03-11",0.008883055
"311","1974-03-12",0.020640837
"312","1974-03-13",0
"313","1974-03-14",-0.026598358
"314","1974-03-15",0.008988825
"315","1974-03-18",-0.005939435
"316","1974-03-19",-0.003049389
"317","1974-03-20",-0.018088522
"318","1974-03-21",0.012095296
"319","1974-03-22",-0.024338681
"320","1974-03-25",-0.009351003
"321","1974-03-26",0.012357702
"322","1974-03-27",-0.021796973
"323","1974-03-28",-0.00559442
"324","1974-03-29",-0.000701508
"325","1974-04-01",0
"326","1974-04-02",0.012552466
"327","1974-04-03",-0.000554554
"328","1974-04-04",-0.005004876
"329","1974-04-05",0.002505569
"330","1974-04-08",-0.009498605
"331","1974-04-09",-0.038631413
"332","1974-04-10",-0.020038979
"333","1974-04-11",0.006822928
"334","1974-04-12",0
"335","1974-04-15",0
"336","1974-04-16",0.058143393
"337","1974-04-17",-0.012631747
"338","1974-04-18",-0.022569162
"339","1974-04-19",-0.026348128
"340","1974-04-22",0
"341","1974-04-23",-0.010137236
"342","1974-04-24",0.013542881
"343","1974-04-25",-0.023632569
"344","1974-04-26",0
"345","1974-04-29",0.010089687
"346","1974-04-30",-0.020435132
"347","1974-05-01",0
"348","1974-05-02",0.010345444
"349","1974-05-03",0.006787868
"350","1974-05-06",-0.016521785
"351","1974-05-07",0.039996344
"352","1974-05-08",0.00979039
"353","1974-05-09",-0.046887076
"354","1974-05-10",-0.010416761
"355","1974-05-13",-0.024631019
"356","1974-05-14",-0.021537085
"357","1974-05-15",0.010746755
"358","1974-05-16",0.042326924
"359","1974-05-17",-0.017431988
"360","1974-05-20",0.003572819
"361","1974-05-21",-0.003572819
"362","1974-05-22",0.010526413
"363","1974-05-23",0
"364","1974-05-24",0.006905575
"365","1974-05-27",0
"366","1974-05-28",0
"367","1974-05-29",-0.013859169
"368","1974-05-30",-0.010600255
"369","1974-05-31",0.00484641
"370","1974-06-03",0
"371","1974-06-04",-0.00124844
"372","1974-06-05",0.003429466
"373","1974-06-06",0.006978395
"374","1974-06-07",-0.024561266
"375","1974-06-10",-0.00364935
"376","1974-06-11",0.007127614
"377","1974-06-12",-0.008400081
"378","1974-06-13",0
"379","1974-06-14",-0.005906315
"380","1974-06-17",0
"381","1974-06-18",-0.003689153
"382","1974-06-19",0.003689153
"383","1974-06-20",-0.005941406
"384","1974-06-21",-0.012315826
"385","1974-06-24",-0.002285342
"386","1974-06-25",0.00959591
"387","1974-06-26",0.007257511
"388","1974-06-27",-0.036826025
"389","1974-06-28",-0.011401867
"390","1974-07-01",0.011401867
"391","1974-07-02",0.009788548
"392","1974-07-03",-0.024907263
"393","1974-07-04",-0.006963935
"394","1974-07-05",-0.106175195
"395","1974-07-08",-0.034712317
"396","1974-07-09",0.008791695
"397","1974-07-10",0.032909034
"398","1974-07-11",0.001504608
"399","1974-07-12",0.008607838
"400","1974-07-15",0.006685262
"401","1974-07-16",-0.002594516
"402","1974-07-17",-0.011759352
"403","1974-07-18",0.003373949
"404","1974-07-19",-0.012806201
"405","1974-07-22",0
"406","1974-07-23",-0.017205548
"407","1974-07-24",0.001733937
