"X.Y..m..d","EASTEU","LATAM","CHINA","INDIA","ENERGY","MINING","GOLD","WATER"
"2002-01-01"," 0.0000000"," 0.0000000"," 0.0000000"," 0.0000000","-0.0071100"," 0.0000000"," 0.0000000","-0.0004494"
"2002-01-02"," 0.0076410","-0.0007166"," 0.0000000"," 0.0440400"," 0.0000000"," 0.0026050"," 0.0061920"," 0.0159400"
"2002-01-03"," 0.0174500"," 0.0042920"," 0.0217400"," 0.0154100"," 0.0000000"," 0.0017330"," 0.0098280","-0.0210800"
"2002-01-04"," 0.0412100"," 0.0225800"," 0.0089210"," 0.0073730","-0.0158600"," 0.0146100"," 0.0157700"," 0.0028110"
"2002-01-07"," 0.0022410","-0.0055980"," 0.0176100"," 0.0241900"," 0.0066670"," 0.0084960"," 0.0059990"," 0.0011520"
"2002-01-08"," 0.0181900","-0.0049240","-0.0105300"," 0.0033400"," 0.0010190","-0.0025410"," 0.0000000","-0.0032860"
"2002-01-09"," 0.0026340","-0.0035320","-0.0142100","-0.0076520","-0.0020090","-0.0033980","-0.0120300","-0.0030330"
"2002-01-10"," 0.0122000","-0.0099570","-0.0035840","-0.0019220","-0.0045580"," 0.0143600"," 0.0576300"," 0.0079910"
"2002-01-11","-0.0082630","-0.0246000","-0.0072070","-0.0062730","-0.0061620","-0.0008393"," 0.0079680","-0.0090280"
"2002-01-14","-0.0008737"," 0.0043860","-0.0054400"," 0.0281600","-0.0095520"," 0.0016780","-0.0011340"," 0.0063320"
"2002-01-15","-0.0180800","-0.0161800","-0.0128100","-0.0051900","-0.0166900","-0.0126500","-0.0045510","-0.0205200"
"2002-01-16"," 0.0079790"," 0.0212700","-0.0036900"," 0.0009456"," 0.0037920"," 0.0050800"," 0.0203200","-0.0055490"
"2002-01-17"," 0.0026460","-0.0007260"," 0.0092000"," 0.0339200","-0.0157700"," 0.0042140"," 0.0199100","-0.0089750"
"2002-01-18"," 0.0105100"," 0.0122700"," 0.0000000","-0.0050380"," 0.0134100"," 0.0000000","-0.0143400","-0.0048330"
"2002-01-21"," 0.0052150"," 0.0000000"," 0.0127400"," 0.0077750","-0.0064430","-0.0109900","-0.0156800"," 0.0039960"
"2002-01-22"," 0.0201700","-0.0007176","-0.0127400"," 0.0099730"," 0.0000000"," 0.0016990"," 0.0089890"," 0.0027080"
"2002-01-23"," 0.0059300","-0.0115500"," 0.0000000"," 0.0062950","-0.0048190"," 0.0067680"," 0.0089090","-0.0132800"
"2002-01-24","-0.0084820"," 0.0243900"," 0.0072990","-0.0199200"," 0.0192900"," 0.0125700","-0.0145200"," 0.0076550"
"2002-01-25","-0.0046960","-0.0028390"," 0.0162300"," 0.0086500"," 0.0082760","-0.0117300","-0.0113100","-0.0036050"
