"","X.m..d..y","FORD"
"1","2/2/1984",0.02523659
"2","2/3/1984",-0.03692308
"3","2/6/1984",-0.01597444
"4","2/7/1984",-0.006493506
"5","2/8/1984",-0.0130719
"6","2/9/1984",-0.01655629
"7","2/10/1984",0.006734007
"8","2/13/1984",-0.003344482
"9","2/14/1984",0.05033557
"10","2/15/1984",-0.003194888
"11","2/16/1984",0.009615385
"12","2/17/1984",-0.04126984
"13","2/21/1984",-0.0397351
"14","2/22/1984",-0.003448276
"15","2/23/1984",0.003460208
"16","2/24/1984",0.04482759
"17","2/27/1984",0.04290429
"18","2/28/1984",-0.05696202
"19","2/29/1984",0
"20","3/1/1984",0.01006711
"21","3/2/1984",0.03654485
"22","3/5/1984",0
"23","3/6/1984",-0.01602564
"24","3/7/1984",-0.01628665
"25","3/8/1984",0.003311258
"26","3/9/1984",-0.01320132
"27","3/12/1984",0.02006689
"28","3/13/1984",0.006557377
"29","3/14/1984",0.01302932
"30","3/15/1984",0.0192926
"31","3/16/1984",0
"32","3/19/1984",-0.02523659
"33","3/20/1984",-0.02588997
"34","3/21/1984",0.003322259
"35","3/22/1984",-0.0397351
"36","3/23/1984",0.02413793
"37","3/26/1984",-0.02356902
"38","3/27/1984",-0.003448276
"39","3/28/1984",0.02768166
"40","3/29/1984",-0.01010101
"41","3/30/1984",-0.00340136
"42","4/2/1984",-0.003412969
"43","4/3/1984",-0.01712329
"44","4/4/1984",-0.01045296
"45","4/5/1984",-0.06338028
"46","4/6/1984",0.01879699
"47","4/9/1984",0
"48","4/10/1984",0.003690037
"49","4/11/1984",0
"50","4/12/1984",0.05147059
"51","4/13/1984",-0.02447552
"52","4/16/1984",0.01792115
"53","4/17/1984",0.01408451
"54","4/18/1984",-0.01388889
"55","4/19/1984",-0.01056338
"56","4/23/1984",-0.01423488
"57","4/24/1984",0.003610108
"58","4/25/1984",0.007194245
"59","4/26/1984",0.02571429
"60","4/27/1984",0.003521127
"61","4/30/1984",0.02807018
"62","5/1/1984",0.03412969
"63","5/2/1984",-0.00660066
"64","5/3/1984",-0.02990033
"65","5/4/1984",-0.02739726
"66","5/7/1984",-0.01760563
"67","5/8/1984",0.01433692
"68","5/9/1984",-0.02120141
"69","5/10/1984",0
"70","5/11/1984",0.01444043
"71","5/14/1984",-0.003558719
"72","5/15/1984",-0.003571429
"73","5/16/1984",-0.003584229
"74","5/17/1984",-0.003597122
"75","5/18/1984",-0.003610108
"76","5/21/1984",0
"77","5/22/1984",0.01086957
"78","5/23/1984",0.01792115
"79","5/24/1984",0.02112676
"80","5/25/1984",0.01724138
"81","5/29/1984",-0.02711864
"82","5/30/1984",0.0174216
"83","5/31/1984",0.01369863
"84","6/1/1984",0.04054054
"85","6/4/1984",-0.003246753
"86","6/5/1984",0.006514658
"87","6/6/1984",-0.01618123
"88","6/7/1984",-0.003289474
"89","6/8/1984",-0.00330033
"90","6/11/1984",-0.04635762
"91","6/12/1984",-0.003472222
"92","6/13/1984",0.02439024
"93","6/14/1984",-0.03401361
"94","6/15/1984",-0.01760563
"95","6/18/1984",0.0609319
"96","6/19/1984",-0.02027027
"97","6/20/1984",0.03103448
"98","6/21/1984",-0.02675585
"99","6/22/1984",-0.003436426
"100","6/25/1984",-0.02068966
"101","6/26/1984",0
"102","6/27/1984",-0.01408451
"103","6/28/1984",0.02142857
"104","6/29/1984",0.01048951
"105","7/2/1984",0.02076125
