X.Y..m..d,LSCC,CSGS,EC,NYB,ALTR,APH,CLS,NET,SBUX,AYE,ASBC,SBL,PCZ,OSI,TRP,ROH,SU,MTD,RAD,GUC,market
1/3/2000,0.031167109,0.05172414,-0.019867551,-0.00921659,0.058007564,0.010328638,-0.040540539,-0.016393442,0.016752576,-0.037122969,-0.041058395,-0.000983284,-0.021739131,-0.019277109,0.007142857,-0.007680492,-0.017964073,-0.073649757,0.067415729,0.002183406,-0.007123765
1/4/2000,-0.075241156,-0.023845008,-0.050675675,-0.032558139,-0.050059594,-0.034386616,-0.115023471,-0.064285718,-0.031685676,0.012048192,-0.039010465,-0.083661415,-0.017777778,0.007371007,-0.014184397,-0.017027864,0.033536587,-0.021201413,-0.042105265,-0.032135077,-0.039521188
1/5/2000,-0.025730181,-0.003053435,0.021352313,-0.002403846,-0.011292347,-0.02213667,-0.071618035,0.012722646,0.013089005,0.045238096,0.001980198,-0.066595063,0.06334842,0,0,0.061417323,0.085545726,-0.02166065,-0.021978023,-0.018570624,-0.000856311
1/6/2000,-0.049250536,-0.050535988,0.027874565,0.002409639,-0.02538071,-0.027559055,0.002857143,-0.042713568,0.036175709,-0.009111618,0.029644269,-0.024165709,-0.021276595,-0.004878049,0,0.037091989,-0.027173912,0.022140222,-0.033707865,-0.018348623,-0.00735285
1/7/2000,0.041291293,-0.008064516,0.013559322,0.002403846,0.104166664,0.010121457,0.048433047,0.05511811,-0.004987531,0.002298851,0.013435701,-0.003537736,-0.004347826,-0.031862747,-0.035971224,0.072961375,0.00698324,0.028880866,0.023255814,0.03271028,0.032510944
1/10/2000,0.094448447,0.082926832,-0.030100334,-0.002398082,0.069575474,0.047094189,0.078804351,0.009950249,0.042606518,0,0.001893939,0.028402368,0.004366812,0.055696204,0,-0.044,0.015256588,0.045614034,-0.022727273,0.007918552,0.018156419
1/11/2000,-0.031620555,-0.043543544,-0.006896552,-0.007211538,-0.068357222,0.023923445,-0.056675062,-0.04187192,-0.028846154,-0.009174312,-0.045368619,-0.006904488,0.004347826,-0.01438849,-0.014925373,-0.020920502,-0.034153007,-0.031879194,-0.011627907,0.028058361,-0.016823897
1/12/2000,0.020408163,-0.01255887,0.006944444,-0.012106538,0.035502959,0.138317764,0,-0.041131105,0.002475247,0.013888889,0.02079208,0.03128621,0.025974026,-0.054744527,-0.015151516,0,-0.026874116,-0.005199307,-0.270588249,0.005458515,-0.007047098
1/13/2000,0.058666665,0.106518283,0,0.019607844,0.027428571,-0.013136289,0.006675567,0.075067021,0.071604937,0.002283105,-0.006789525,-0.02247191,0.054852322,0.045045044,-0.007692308,0.00997151,0.011627907,0,0.032258064,0.034201954,0.016178807
1/14/2000,0.068010077,0.02586207,-0.010344828,-0.043269232,0.061179087,0.020798668,-0.00265252,0.117206983,-0.025345622,-0.013667426,0.009765625,0.043678161,-0.008,0.014778325,-0.007751938,0.014104372,0.047413792,-0.010452962,-0.0078125,0.005249344,0.010918095
1/18/2000,0.002948113,0.064425774,-0.024390243,0.005025126,0.012578616,0.026894866,-0.027925532,-0.017857144,-0.014184397,-0.016166281,-0.021276595,0.025330396,0.096774191,0.006067961,0.03125,-0.033379693,0.03292181,-0.01056338,0.007874016,-0.03446475,-0.001128723
1/19/2000,0.005291005,0.002631579,-0.014285714,-0.067500003,-0.014492754,-0.00952381,-0.025991792,-0.009090909,-0.021582734,0.04225352,-0.005928854,-0.030075189,-0.025735294,-0.001206273,-0.015151516,-0.020143885,-0.031872511,0.005338078,-0.0625,-0.022174148,0.004622551
1/20/2000,0.121637426,0.018372703,-0.021739131,-0.061662197,0.182773113,-0.005608974,0.012640449,0.020642202,-0.017156864,-0.031531531,-0.013916501,0.014396456,-0.04528302,-0.024154589,-0.069230773,-0.033773862,-0.045267489,-0.01238938,0,0.004977876,-0.003118787
1/21/2000,-0.013555788,-0.019329896,-0.022222223,0.002857143,0.006216696,-0.038678486,0.012482663,-0.02247191,-0.003740648,0.037209302,-0.016129032,0.055676855,-0.003952569,-0.007425743,-0.024793388,0.019756839,-0.034482758,0,-0.050000001,0.021463951,0.002661395
1/24/2000,-0.002114165,-0.073587388,-0.022727273,0.007122507,-0.017652251,-0.007544007,-0.043835618,0.048275862,-0.016270338,0.024663677,-0.016393442,0.05894519,-0.05952381,-0.014962593,-0.025423728,-0.008941878,-0.002976191,-0.007168459,0.043859649,-0.010775862,-0.02530985
1/25/2000,0.01006356,-0.041134752,-0.011627907,0.007072136,0.020664869,-0.027871622,-0.057306591,0.006578947,0.058524173,-0.043763675,0.00625,0.008789063,0.054852322,0.012658228,0.069565214,-0.037593983,0.014925373,-0.012635379,-0.008403362,0.001089325,0.005560734
1/26/2000,-0.057157841,-0.032544378,0.011764706,0.002808989,-0.055457745,0.014769766,-0.039513677,-0.047930282,0.115384616,0.013729977,0.01242236,-0.017424976,0.004,0.005,0,0.082812503,-0.01764706,-0.007312614,-0.050847456,0.005984766,-0.004406845
1/27/2000,-0.043381535,0,-0.003875969,0.025210084,-0.01863933,-0.014554795,-0.049050633,-0.048054919,-0.004310345,-0.011286682,-0.034764826,-0.028571429,0,0.062189054,0.040650405,0.023088023,0.068862274,-0.022099448,-0.026785715,-0.022714982,-0.00331643
1/28/2000,-0.022093024,-0.047400612,0,0.008196721,-0.037037037,-0.046915725,0.054076537,-0.012019231,0.032467533,-0.031963471,-0.025127118,-0.022312373,0,-0.038641687,0,-0.045133993,0.011204482,-0.026365349,-0.027522936,-0.01438849,-0.028033471
1/31/2000,-0.023781212,-0.028892456,-0.007782101,0,0.037475344,-0.010027347,0.011838989,0.00973236,0.073375262,0.035377357,0.062568605,-0.0093361,-0.035856575,-0.035322778,0.0234375,-0.001477105,-0.041551247,-0.013539651,0.066037737,-0.040426727,0.014975029
2/1/2000,0.040194884,0.104132235,0,0.01369863,0.048479088,-0.006445672,0.054602183,-0.007228916,0.009765625,0.013667426,-0.010330578,0.00104712,0.016528925,0.02020202,-0.022900764,0.02514793,0.00867052,0.003921569,0.07079646,0.025160912,0.012204345
2/2/2000,0.064988293,0.013473053,0.019607844,0,0.00543971,0.021316033,0.099112429,0.012135922,-0.015473888,0.008988764,-0.004175365,0.0041841,-0.048780486,-0.012376238,-0.015625,-0.024531025,-0.008595988,0.01171875,-0.016528925,0.02739726,0.002745931
2/3/2000,0.037932929,0.001477105,0.042307694,0.016216217,0.082957618,0.004537205,0.084791385,0.004796163,-0.01178782,0.020044543,0.01048218,0.06666667,-0.008547009,0.047619049,-0.023809524,0.022189349,-0.005780347,0.081081077,-0.033613447,0.031111112,0.015270558
2/4/2000,-0.004237288,-0.008849557,-0.003690037,-0.015957447,-0.034138218,0.014453478,-0.017369727,-0.019093079,0.093439363,-0.024017468,0,-0.010742188,-0.021551725,0.017942583,-0.016260162,-0.018813314,-0.018895349,0.08214286,0,-0.050646551,0.00093446
2/7/2000,0.076063827,-0.017857144,-0.014814815,-0.047297299,0.054310344,-0.016028496,0.03409091,-0.041362531,-0.003636364,-0.015659954,-0.026970955,0.030602172,0.004405286,0.015276146,-0.008264462,-0.041297935,0.004444445,0.00330033,0.034782607,-0.028376844,0.002851165
2/8/2000,0.029164607,0.015151516,-0.007518797,-0.009929078,0.008176615,0.009954751,0.042735044,0.02284264,0.02189781,0.011363637,0.023454158,0.075670496,0.00877193,0.006944444,0,-0.012307692,-0.01179941,-0.016447369,0,-0.068925232,0.012497767
2/9/2000,-0.024975985,-0.004477612,-0.03409091,-0.042979944,-0.039740469,-0.029569892,-0.011709602,-0.042183623,-0.014285714,0.011235955,-0.03125,0.048975956,-0.017391304,-0.098850578,-0.050000001,-0.03894081,-0.010447761,-0.008361204,0,-0.021329988,-0.017231325
