"X.Y..m..d","M.1","M.2","M.3","M.4","M.5","M.6","M.7","M.8","M.9","M.10","M.11","M.12","M.13","M.14","M.15","M.16","M.17","M.18","M.19","M.20","M.21","M.22","M.23","M.24","M.25","M.26","M.27","M.28","M.29","M.30","M.31","M.32","M.33","M.34","M.35","M.36","M.37","M.38","M.39","M.40","M.41","M.42","M.43","M.44","M.45","M.46","M.47","M.48","M.49","M.50","M.51","M.52","M.53","M.54","M.55"
"1985-08-01","0.07242","0.07212","0.07271","0.07372","0.07469","0.07546","0.07609","0.07670","0.07734","0.07808","0.07890","0.07976","0.08062","0.08147","0.08228","0.08304","0.08374","0.08439","0.08621","0.08795","0.09119","0.09332","0.09559","0.09859","0.10086","0.10172","0.10213","0.10281","0.10376","0.10485","0.10598","0.10705","0.10793","0.10862","0.10909","0.10933","0.10935","0.10914","0.10869","0.10802","0.10714","0.10609","0.10490","0.10362","0.10233","0.10108","0.09997","0.09908",NA,NA,NA,NA,NA,NA,NA
"1985-09-01","0.07109","0.07189","0.07255","0.07314","0.07375","0.07443","0.07519","0.07603","0.07696","0.07799","0.07907","0.08015","0.08118","0.08213","0.08298","0.08370","0.08430","0.08480","0.08606","0.08737","0.09031","0.09256","0.09536","0.09847","0.10072","0.10173","0.10242","0.10339","0.10459","0.10591","0.10724","0.10844","0.10943","0.11015","0.11062","0.11081","0.11073","0.11038","0.10976","0.10890","0.10782","0.10657","0.10522","0.10382","0.10246","0.10125","0.10027","0.09966",NA,NA,NA,NA,NA,NA,NA
"1985-10-01","0.07165","0.07297","0.07354","0.07389","0.07439","0.07509","0.07580","0.07638","0.07678","0.07714","0.07757","0.07815","0.07893","0.07988","0.08088","0.08188","0.08281","0.08361","0.08508","0.08579","0.08759","0.08998","0.09223","0.09534","0.09875","0.09976","0.09967","0.09996","0.10078","0.10195","0.10334","0.10479","0.10616","0.10727","0.10787","0.10788","0.10731","0.10623","0.10473","0.10292","0.10094","0.09896","0.09714","0.09567","0.09475","0.09463","0.09565","0.09836",NA,NA,NA,NA,NA,NA,NA
"1985-11-01","0.06592","0.07164","0.07381","0.07404","0.07411","0.07460","0.07529","0.07595","0.07645","0.07682","0.07713","0.07746","0.07787","0.07839","0.07899","0.07964","0.08029","0.08091","0.08237","0.08317","0.08452","0.08653","0.08972","0.09240","0.09472","0.09552","0.09539","0.09542","0.09591","0.09671","0.09774","0.09889","0.10009","0.10123","0.10219","0.10286","0.10324","0.10331","0.10307","0.10252","0.10168","0.10060","0.09932","0.09792","0.09650","0.09514","0.09397","0.09312",NA,NA,NA,NA,NA,NA,NA
"1985-12-01","0.06237","0.06895","0.07169","0.07228","0.07256","0.07297","0.07344","0.07386","0.07419","0.07446","0.07470","0.07496","0.07526","0.07562","0.07603","0.07645","0.07687","0.07727","0.07819","0.07877","0.08017","0.08215","0.08387","0.08557","0.08791","0.08886","0.08902","0.08940","0.09015","0.09114","0.09231","0.09357","0.09484","0.09602","0.09702","0.09775","0.09821","0.09838","0.09824","0.09781","0.09708","0.09609","0.09486","0.09346","0.09195","0.09041","0.08891","0.08755",NA,NA,NA,NA,NA,NA,NA
"1986-01-01","0.06805","0.07064","0.07163","0.07187","0.07216","0.07268","0.07324","0.07371","0.07404","0.07429","0.07454","0.07483","0.07518","0.07561","0.07607","0.07654","0.07700","0.07743","0.07847","0.07916","0.08041","0.08191","0.08458","0.08658","0.08808","0.08931","0.09043","0.09159","0.09280","0.09401","0.09517","0.09623","0.09712","0.09776","0.09806","0.09796","0.09748","0.09666","0.09557","0.09427","0.09285","0.09143","0.09010","0.08901","0.08829","0.08812","0.08874","0.09049",NA,NA,NA,NA,NA,NA,NA
"1986-02-01","0.06887","0.07116","0.07200","0.07204","0.07202","0.07219","0.07246","0.07272","0.07292","0.07304","0.07315","0.07327","0.07344","0.07365","0.07391","0.07420","0.07451","0.07482","0.07572","0.07648","0.07735","0.07760","0.07898","0.08017","0.08032","0.08030","0.08041","0.08073","0.08124","0.08189","0.08261","0.08336","0.08408","0.08472","0.08521","0.08551","0.08563","0.08556","0.08534","0.08497","0.08448","0.08390","0.08327","0.08265","0.08207","0.08161","0.08134","0.08136",NA,NA,NA,NA,NA,NA,NA
"1986-03-01","0.06579","0.06490","0.06464","0.06466","0.06471","0.06474","0.06487","0.06516","0.06561","0.06616","0.06671","0.06723","0.06768","0.06803","0.06829","0.06848","0.06862","0.06873","0.06899","0.06923","0.06983","0.07062","0.07240","0.07319","0.07306","0.07315","0.07354","0.07396","0.07434","0.07469","0.07503","0.07537","0.07573","0.07613","0.07659","0.07711","0.07767","0.07823","0.07875","0.07918","0.07949","0.07960","0.07945","0.07898","0.07811","0.07679","0.07497","0.07264",NA,NA,NA,NA,NA,NA,NA
"1986-04-01","0.05981","0.06100","0.06178","0.06233","0.06273","0.06304","0.06332","0.06361","0.06392","0.06425","0.06459","0.06493","0.06528","0.06563","0.06599","0.06634","0.06669","0.06705","0.06812","0.06912","0.07032","0.07073","0.07223","0.07315","0.07303","0.07318","0.07369","0.07425","0.07475","0.07523","0.07570","0.07618","0.07670","0.07729","0.07796","0.07872","0.07952","0.08032","0.08106","0.08167","0.08208","0.08219","0.08190","0.08111","0.07972","0.07765","0.07490","0.07150",NA,NA,NA,NA,NA,NA,NA
"1986-05-01","0.06234","0.06339","0.06426","0.06497","0.06553","0.06595","0.06632","0.06670","0.06714","0.06764","0.06816","0.06870","0.06924","0.06978","0.07030","0.07081","0.07129","0.07175","0.07294","0.07388","0.07565","0.07764","0.07981","0.08022","0.08056","0.08095","0.08135","0.08174","0.08212","0.08252","0.08296","0.08348","0.08411","0.08486","0.08578","0.08687","0.08804","0.08921","0.09027","0.09111","0.09159","0.09158","0.09091","0.08946","0.08710","0.08379","0.07954","0.07444",NA,NA,NA,NA,NA,NA,NA
