"X.Y..m..d","Open","High","Low","Close","Volume"
"2000-09-27","63.4375","63.5625","59.8125","60.6250"," 53077800"
"2000-09-28","60.8125","61.8750","60.6250","61.3125"," 26180200"
"2000-09-29","61.0000","61.3125","58.6250","60.3125"," 37026800"
"2000-10-02","60.5000","60.8125","58.2500","59.1250"," 29281200"
"2000-10-03","59.5625","59.8125","56.5000","56.5625"," 42687000"
"2000-10-04","56.3750","56.5625","54.5000","55.4375"," 68226700"
"2000-10-05","55.5000","57.2500","55.2500","55.3750"," 40549700"
"2000-10-06","55.8125","56.7500","54.7500","55.5625"," 30897000"
"2000-10-09","55.6250","55.7500","53.0000","54.1875"," 29161800"
"2000-10-10","53.9375","55.5625","53.8125","54.5625"," 31033100"
"2000-10-11","54.0000","56.9375","54.0000","55.7500"," 50602900"
"2000-10-12","56.3125","56.8750","53.8125","54.3750"," 45109800"
"2000-10-13","53.8750","54.8750","52.1250","53.7500"," 52260600"
"2000-10-16","53.5000","53.8125","49.5625","50.3750"," 59879500"
"2000-10-17","51.8750","52.4375","50.2500","50.4375"," 40638300"
"2000-10-18","49.6250","53.2500","48.4375","51.7500"," 55268200"
"2000-10-19","58.4375","62.1875","58.0000","61.8750","128496600"
"2000-10-20","61.3125","66.1250","61.1250","65.1875"," 80189300"
"2000-10-23","64.6250","66.2500","60.6875","62.1250"," 92585200"
"2000-10-24","62.6250","62.9375","60.1875","61.5000"," 47213700"
"2000-10-25","61.9375","63.4375","60.4375","61.2500"," 83801900"
"2000-10-26","61.0000","65.0625","60.8125","64.4375"," 57413300"
"2000-10-27","64.6875","69.1875","64.6250","67.6875"," 62146200"
"2000-10-30","67.5000","70.1250","67.3750","69.0625"," 55028800"
"2000-10-31","69.0000","69.5000","68.0000","68.8750"," 52237000"
"2000-11-01","68.5000","70.0625","68.4375","69.6250"," 40654700"
"2000-11-02","70.3750","70.8438","69.6250","70.3125"," 38992600"
"2000-11-03","69.2500","69.6250","68.0625","68.2500"," 34355500"
"2000-11-06","68.6875","70.1250","68.2500","69.5000"," 37425700"
"2000-11-07","69.7500","71.8750","69.5000","70.5000"," 52165600"
"2000-11-08","71.1250","72.3750","68.0000","69.4375","103074700"
"2000-11-09","68.5000","71.3125","68.4375","70.8750"," 45529300"
"2000-11-10","69.9375","70.3125","66.8125","67.3750"," 46872200"
"2000-11-13","66.6875","68.1250","64.4062","66.4375"," 41682400"
"2000-11-14","68.0000","69.8125","67.3125","68.8125"," 42109300"
"2000-11-15","69.0625","70.8750","68.6875","70.0625"," 30211100"
"2000-11-16","69.4375","71.5000","68.9375","68.9375"," 46064300"
"2000-11-17","69.4375","70.0000","67.7969","69.0625"," 53262800"
"2000-11-20","68.1250","68.5000","65.5625","67.1875"," 40078600"
"2000-11-21","67.3750","69.2500","67.3750","67.7500"," 29743800"
"2000-11-22","66.0625","69.5000","66.0000","68.2500"," 38171600"
"2000-11-24","69.0000","70.4375","68.5000","69.9375"," 17219600"
"2000-11-27","71.4375","72.2500","70.6250","70.6875"," 42653800"
"2000-11-28","69.3750","69.7500","66.8125","67.0000"," 63723100"
"2000-11-29","66.8125","67.1250","63.2500","65.0625"," 49140200"
"2000-11-30","62.0000","62.0625","57.0000","57.3750"," 98600400"
"2000-12-01","58.0625","60.6250","56.0625","56.6250"," 54904900"
"2000-12-04","57.2500","59.0000","55.1875","56.4375"," 40203600"
