"X.Y.m.d","gnp.r","gnp.n","gnp.pc","ip","emp","ur","gnp.p","cpi","wg.n","wg.r","M","vel","bnd","sp"
18601231,NA,NA,NA,0.9,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
18611231,NA,NA,NA,0.9,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
18621231,NA,NA,NA,0.9,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
18631231,NA,NA,NA,1,NA,NA,NA,37,NA,NA,NA,NA,NA,NA
18641231,NA,NA,NA,1,NA,NA,NA,48,NA,NA,NA,NA,NA,NA
18651231,NA,NA,NA,1,NA,NA,NA,47,NA,NA,NA,NA,NA,NA
18661231,NA,NA,NA,1.2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA
18671231,NA,NA,NA,1.3,NA,NA,NA,43,NA,NA,NA,NA,NA,NA
18681231,NA,NA,NA,1.3,NA,NA,NA,41,NA,NA,NA,NA,NA,NA
18691231,NA,NA,NA,1.4,NA,NA,NA,40,NA,NA,NA,5.61,NA,NA
18701231,NA,NA,NA,1.5,NA,NA,NA,38,NA,NA,NA,5.16,NA,NA
18711231,NA,NA,NA,1.5,NA,NA,NA,37,NA,NA,NA,4.63,NA,4.69
18721231,NA,NA,NA,1.8,NA,NA,NA,37,NA,NA,NA,5.05,NA,5.03
18731231,NA,NA,NA,1.8,NA,NA,NA,37,NA,NA,NA,4.95,NA,4.8
18741231,NA,NA,NA,1.7,NA,NA,NA,35,NA,NA,NA,4.71,NA,4.57
18751231,NA,NA,NA,1.7,NA,NA,NA,33,NA,NA,NA,4.46,NA,4.45
18761231,NA,NA,NA,1.7,NA,NA,NA,32,NA,NA,NA,4.65,NA,4.06
18771231,NA,NA,NA,1.8,NA,NA,NA,32,NA,NA,NA,4.89,NA,3.14
18781231,NA,NA,NA,1.9,NA,NA,NA,30,NA,NA,NA,5.06,NA,3.38
18791231,NA,NA,NA,2.2,NA,NA,NA,29,NA,NA,NA,5.1,NA,4.12
18801231,NA,NA,NA,2.5,NA,NA,NA,30,NA,NA,NA,5.31,NA,5.21
18811231,NA,NA,NA,2.8,NA,NA,NA,30,NA,NA,NA,4.41,NA,6.25
18821231,NA,NA,NA,3,NA,NA,NA,30,NA,NA,NA,4.41,NA,5.9
18831231,NA,NA,NA,3,NA,NA,NA,29,NA,NA,NA,4.01,NA,5.63
18841231,NA,NA,NA,2.9,NA,NA,NA,28,NA,NA,NA,3.89,NA,4.73
18851231,NA,NA,NA,2.9,NA,NA,NA,28,NA,NA,NA,3.53,NA,4.6
18861231,NA,NA,NA,3.5,NA,NA,NA,28,NA,NA,NA,3.38,NA,5.36
18871231,NA,NA,NA,3.7,NA,NA,NA,28,NA,NA,NA,3.29,NA,5.53
18881231,NA,NA,NA,3.8,NA,NA,NA,28,NA,NA,NA,3.15,NA,5.2
18891231,NA,NA,NA,4.1,NA,NA,25.9,28,NA,NA,3.6,3.08,NA,5.32
18901231,NA,NA,NA,4.4,22577,4,25.4,28,NA,NA,3.92,3,NA,5.27
18911231,NA,NA,NA,4.5,22792,5.4,24.9,28,NA,NA,4.08,2.96,NA,5.03
18921231,NA,NA,NA,4.8,23932,3,24,28,NA,NA,4.43,2.86,NA,5.55
18931231,NA,NA,NA,4.3,22321,11.7,24.5,28,NA,NA,4.26,2.93,NA,4.78
18941231,NA,NA,NA,4.2,21102,18.4,23,26,NA,NA,4.28,2.57,NA,4.39
18951231,NA,NA,NA,4.9,22824,13.7,22.7,25,NA,NA,4.43,2.73,NA,4.53
18961231,NA,NA,NA,4.6,23129,14.4,22.1,25,NA,NA,4.35,2.63,NA,4.23
18971231,NA,NA,NA,4.9,23604,14.5,22.2,25,NA,NA,4.64,2.72,NA,4.45
18981231,NA,NA,NA,5.6,24746,12.4,22.9,25,NA,NA,5.26,2.51,NA,5.05
18991231,NA,NA,NA,6.1,26911,6.5,23.6,25,NA,NA,6.09,2.49,NA,6.29
19001231,NA,NA,NA,6.3,27909,5,24.7,25,487,19.48,6.6,2.49,3.3,6.15
19011231,NA,NA,NA,7.1,28922,4,24.5,25,511,20.44,7.48,2.44,3.25,7.84
