B	T	B
9414	1	9414
9399	1	9399
9460	1	9460
9411	1	9411
9361	1	9361
9395	1	9395
9466	1	9466
9318	1	9318
9440	1	9440
9484	1	9484
9465	1	9465
9391	1	9391
9443	1	9443
9450	1	9450
9444	1	9444
9446	1	9446
9404	1	9404
9460	1	9460
9419	1	9419
9374	1	9374
9437	1	9437
9457	1	9457
9428	1	9428
9365	1	9365
9411	1	9411
9408	1	9408
9389	1	9389
9400	1	9400
9421	1	9421
9407	1	9407
0	9	0
5853	4	5853
5920	4	5920
5866	4	5866
5951	4	5951
5920	4	5920
5835	4	5835
5898	4	5898
5849	4	5849
5973	4	5973
5910	4	5910
5870	4	5870
5892	4	5892
5884	4	5884
5932	4	5932
5905	4	5905
5919	4	5919
5875	4	5875
5875	4	5875
5890	4	5890
5860	4	5860
5873	4	5873
5859	4	5859
5936	4	5936
5946	4	5946
5907	4	5907
5880	4	5880
5908	4	5908
5901	4	5901
5870	4	5870
5885	4	5885
1125	8	1125
1100	8	1100
1131	8	1131
1156	8	1156
1081	8	1081
1141	8	1141
1054	8	1054
1169	8	1169
1135	8	1135
1051	8	1051
1224	8	1224
1108	8	1108
1106	8	1106
1101	8	1101
1083	8	1083
1139	8	1139
1118	8	1118
1066	8	1066
1140	8	1140
1112	8	1112
1101	8	1101
1133	8	1133
1103	8	1103
1065	8	1065
1101	8	1101
1143	8	1143
1040	8	1040
1113	8	1113
1093	8	1093
1131	8	1131
8281	2	8281
8164	2	8164
8262	2	8262
8257	2	8257
8262	2	8262
8246	2	8246
8220	2	8220
8289	2	8289
8226	2	8226
8295	2	8295
8265	2	8265
8309	2	8309
8199	2	8199
8265	2	8265
8274	2	8274
8337	2	8337
8295	2	8295
8288	2	8288
8317	2	8317
8358	2	8358
8270	2	8270
8183	2	8183
8263	2	8263
8265	2	8265
8281	2	8281
8309	2	8309
8320	2	8320
8294	2	8294
8193	2	8193
8298	2	8298
7074	3	7074
7068	3	7068
7034	3	7034
7187	3	7187
7191	3	7191
7074	3	7074
7120	3	7120
7059	3	7059
7070	3	7070
7084	3	7084
7097	3	7097
7050	3	7050
7174	3	7174
6999	3	6999
7155	3	7155
7015	3	7015
7083	3	7083
7174	3	7174
7098	3	7098
7112	3	7112
7174	3	7174
7159	3	7159
7148	3	7148
7085	3	7085
7155	3	7155
7079	3	7079
7188	3	7188
7125	3	7125
7108	3	7108
7205	3	7205
3397	6	3397
3547	6	3547
3446	6	3446
3407	6	3407
3522	6	3522
3451	6	3451
3421	6	3421
3412	6	3412
3487	6	3487
3474	6	3474
3529	6	3529
3498	6	3498
3498	6	3498
3462	6	3462
3499	6	3499
3491	6	3491
3510	6	3510
3557	6	3557
3484	6	3484
3495	6	3495
3583	6	3583
3507	6	3507
3446	6	3446
3471	6	3471
3506	6	3506
3500	6	3500
3505	6	3505
3521	6	3521
3430	6	3430
3570	6	3570
2348	7	2348
2313	7	2313
2324	7	2324
2312	7	2312
2335	7	2335
2237	7	2237
2296	7	2296
2195	7	2195
2307	7	2307
2285	7	2285
2325	7	2325
2273	7	2273
2320	7	2320
2272	7	2272
2317	7	2317
2318	7	2318
2261	7	2261
2281	7	2281
2307	7	2307
2253	7	2253
2325	7	2325
2285	7	2285
2268	7	2268
2286	7	2286
2216	7	2216
2253	7	2253
2329	7	2329
2255	7	2255
2267	7	2267
2349	7	2349
