Mare	Time	follicles
1	-0.1363636	20
1	-0.0909091	15
1	-0.04545455	19
1	0	16
1	0.04545455	13
1	0.0909091	10
1	0.1363636	12
1	0.1818182	14
1	0.2272727	13
1	0.2727273	20
1	0.3181818	22
1	0.3636364	15
1	0.4090909	18
1	0.4545455	17
1	0.5	14
1	0.5454545	18
1	0.5909091	14
1	0.6363636	16
1	0.6818182	17
1	0.7272727	18
1	0.7727273	18
1	0.8181818	17
1	0.8636364	14
1	0.9090909	12
1	0.9545455	12
1	1	14
1	1.045455	10
1	1.090909	11
1	1.136364	16
2	-0.15	6
2	-0.1	6
2	-0.05	8
2	0	7
2	0.05	16
2	0.1	10
2	0.15	13
2	0.2	9
2	0.25	7
2	0.3	6
2	0.35	8
2	0.4	8
2	0.45	6
2	0.5	8
2	0.55	7
2	0.6	9
2	0.65	6
2	0.7	4
2	0.75	5
2	0.8	8
2	0.85	11
2	0.9	13
2	0.95	10
2	1	6
2	1.05	7
2	1.1	6
2	1.15	5
3	-0.1578947	13
3	-0.1052632	11
3	-0.05263158	10
3	0	6
3	0.05263158	8
3	0.1052632	6
3	0.1578947	9
3	0.2105263	9
3	0.2631579	10
3	0.3157895	8
3	0.3684211	14
3	0.4210526	13
3	0.4736842	14
3	0.5263158	16
3	0.5789474	20
3	0.631579	21
3	0.6842105	25
3	0.7368421	23
3	0.7894737	19
3	0.8421053	22
3	0.8947368	16
3	0.9473684	21
3	1	19
3	1.052632	20
3	1.105263	17
3	1.157895	24
4	-0.1363636	9
4	-0.0909091	9
4	-0.04545455	7
4	0	6
4	0.04545455	7
4	0.0909091	6
4	0.1363636	1
4	0.1818182	1
4	0.2272727	1
4	0.2727273	5
4	0.3181818	6
4	0.3636364	3
4	0.4090909	5
4	0.4545455	3
4	0.5	6
4	0.5454545	8
4	0.5909091	6
4	0.6363636	5
4	0.6818182	6
4	0.7272727	8
4	0.7727273	11
4	0.8181818	14
4	0.8636364	8
4	0.9090909	9
4	0.9545455	10
4	1	7
4	1.045455	7
4	1.090909	6
4	1.136364	11
5	-0.1363636	10
5	-0.0909091	12
