upper	lower	rain	month	yr
10.8	6.5	12.2	1	1987
10.5	4.5	1.3	1	1987
7.5	-1	0.1	1	1987
6.5	-3.3	1.1	1	1987
10	5	3.5	1	1987
8	3	0.1	1	1987
5.8	-3.3	0	1	1987
2.8	-5.5	0	1	1987
-0.8	-4.8	0	1	1987
1.5	-1	0	1	1987
1.5	-7.5	0	1	1987
-3.5	-11.5	0.7	1	1987
-6.8	-11.3	0.3	1	1987
-4.3	-7.5	5.3	1	1987
-2	-5.5	0	1	1987
0.8	-2.5	0	1	1987
1	-2	0	1	1987
-2	-3	0	1	1987
-1	-3.8	0	1	1987
0	-3.8	0	1	1987
2.8	-0.3	0	1	1987
5.5	2.3	0.7	1	1987
6.8	4.8	0.9	1	1987
6.3	4	0.2	1	1987
5.5	3.3	0	1	1987
4	2	0	1	1987
5.8	1.5	0	1	1987
3.5	-1.8	0	1	1987
5.5	-5	0	1	1987
4.5	-4.8	0	1	1987
1.8	-9.8	0	1	1987
3.8	-8.8	0	2	1987
4.5	-6.5	0.8	2	1987
6.3	3	0.4	2	1987
9.3	5.5	0	2	1987
9.5	6.3	0	2	1987
11	7.5	0	2	1987
12	2	0.2	2	1987
9.5	4	0	2	1987
12.5	8.5	2.4	2	1987
9.5	4.5	0.2	2	1987
8.8	-0.3	0.6	2	1987
8	2.3	0.9	2	1987
5	-3.3	0	2	1987
6.3	-0.8	14.9	2	1987
4.3	-1.5	0.5	2	1987
5.5	-3.3	0	2	1987
3	-1.3	0.1	2	1987
3.3	-1.3	0	2	1987
3.5	-4.3	0.4	2	1987
3.8	-2.5	0	2	1987
3	-1.3	0	2	1987
5.8	1.8	0.4	2	1987
6.8	-0.8	0.4	2	1987
4.5	-0.8	0	2	1987
4.5	-4	0	2	1987
5.8	-1.5	0	2	1987
10.8	2.8	5.8	2	1987
11.8	9.5	6.6	2	1987
14.5	7.5	5.6	3	1987
11.3	6.8	1.4	3	1987
9.5	0.3	0	3	1987
2.8	-3.3	0.9	3	1987
3.5	-0.8	0.2	3	1987
8.3	1.8	1	3	1987
3.5	1	4.8	3	1987
3.8	0.3	7.4	3	1987
4	-0.8	0	3	1987
4.5	-1.5	0	3	1987
7	-2.3	0	3	1987
7	-3.5	0	3	1987
7.5	-5.5	0	3	1987
5.5	-4.5	0	3	1987
6.3	-2.8	0	3	1987
8	0.8	0	3	1987
7.8	3.5	0	3	1987
12.3	3.3	2.8	3	1987
8.3	-2	2.3	3	1987
7	-0.8	0.3	3	1987
7.8	-2.8	0	3	1987
7.3	-2.5	0	3	1987
9.8	4	5	3	1987
10.8	7.8	6.4	3	1987
11.3	9.3	5	3	1987
10.3	1.8	0.5	3	1987
12.3	6.5	10.7	3	1987
11.5	3.8	1	3	1987
8.3	0.8	2.2	3	1987
9	1.3	0.4	3	1987
11.3	3.8	0	3	1987
10.8	7	2.7	4	1987
8.3	1.8	7	4	1987
10	3.5	0	4	1987
