Species	Scale
3	A
2	A
2	A
4	A
12	A
8	A
8	A
11	A
8	A
5	A
11	A
5	A
5	A
8	A
12	A
8	A
7	A
10	A
10	A
7	A
12	A
13	A
8	A
7	A
7	A
3	A
16	A
5	A
2	A
3	A
4	A
9	A
5	A
3	A
16	A
8	A
3	A
8	A
4	A
7	A
8	A
9	A
3	A
11	A
6	A
5	A
8	A
13	A
5	A
5	A
6	A
9	A
12	A
9	A
7	A
5	A
5	A
2	A
6	A
4	A
7	A
6	A
2	A
6	A
4	A
3	A
7	A
7	A
3	A
1	A
2	A
2	A
8	A
8	A
19	A
5	A
9	A
10	A
8	A
7	A
11	A
11	A
10	A
14	A
13	A
7	A
7	A
8	A
10	A
9	A
4	A
8	A
4	A
6	A
7	A
5	A
5	A
4	A
4	A
4	A
6	A
9	A
5	A
7	A
2	A
8	A
1	A
5	A
1	A
1	A
1	A
1	A
5	A
2	A
1	A
1	A
3	A
2	A
3	A
4	A
6	A
10	A
8	A
1	A
4	A
11	A
4	A
11	A
5	A
4	A
5	A
3	A
6	A
5	A
12	A
3	A
9	A
10	A
9	A
15	A
6	A
5	A
4	A
4	A
1	A
4	A
2	A
6	A
4	A
1	A
9	A
2	A
1	A
7	A
6	A
7	A
3	A
11	A
2	A
11	A
12	A
5	A
14	A
6	A
13	A
6	A
11	A
10	A
3	A
3	A
4	A
2	A
8	A
8	A
6	A
5	A
13	A
13	A
10	A
14	A
11	A
14	A
8	A
8	A
8	A
12	A
3	A
11	A
6	A
3	A
3	A
3	A
8	A
6	A
4	A
7	A
3	A
12	A
6	A
3	A
19	A
10	A
14	A
9	A
11	A
11	A
13	A
9	A
4	A
5	A
4	A
2	A
3	A
3	A
5	A
3	A
4	A
12	A
11	A
3	A
10	B
1	B
4	B
4	B
12	B
15	B
13	B
17	B
17	B
14	B
8	B
16	B
11	B
8	B
14	B
8	B
17	B
17	B
13	B
17	B
16	B
10	B
14	B
12	B
5	B
8	B
6	B
13	B
11	B
6	B
7	B
7	B
18	B
15	B
16	B
15	B
22	B
6	B
15	B
23	B
16	B
18	B
2	B
14	B
13	B
13	B
13	B
13	B
15	B
12	B
14	B
12	B
11	B
15	B
11	B
12	B
9	B
6	B
5	B
4	B
7	B
16	B
8	B
9	B
4	B
9	B
8	B
7	B
20	B
17	B
19	B
15	B
7	B
23	B
15	B
10	B
18	B
13	B
17	B
16	B
13	B
15	B
12	B
16	B
9	B
8	B
14	B
10	B
13	B
7	B
14	B
18	B
7	B
9	B
5	B
9	B
11	B
13	B
8	B
14	B
5	B
9	B
5	B
10	B
11	B
7	B
9	B
1	B
1	B
8	B
4	B
1	B
2	B
11	B
1	B
4	B
7	B
4	B
5	B
3	B
9	B
6	B
16	B
16	B
5	B
5	B
17	B
3	B
7	B
6	B
10	B
3	B
4	B
13	B
9	B
11	B
11	B
15	B
18	B
18	B
13	B
6	B
8	B
8	B
3	B
15	B
4	B
3	B
11	B
3	B
5	B
10	B
1	B
6	B
2	B
8	B
6	B
13	B
12	B
14	B
3	B
14	B
6	B
8	B
12	B
12	B
18	B
15	B
12	B
5	B
8	B
7	B
12	B
11	B
12	B
11	B
28	B
23	B
18	B
18	B
17	B
17	B
16	B
11	B
25	B
2	B
21	B
15	B
4	B
3	B
3	B
8	B
11	B
11	B
10	B
15	B
27	B
9	B
9	B
3	B
8	B
13	B
15	B
12	B
18	B
17	B
15	B
15	B
4	B
4	B
12	B
4	B
5	B
6	B
6	B
8	B
4	B
13	B
4	B
4	B
17	C
21	C
21	C
18	C
19	C
17	C
10	C
24	C
25	C
11	C
12	C
13	C
16	C
17	C
14	C
16	C
1	C
25	C
17	C
21	C
20	C
16	C
9	C
38	C
17	C
14	C
13	C
11	C
10	C
9	C
4	C
9	C
13	C
9	C
18	C
8	C
5	C
31	C
12	C
17	C
21	C
21	C
7	C
12	C
25	C
17	C
32	C
13	C
16	C
6	C
27	C
26	C
20	C
6	C
25	C
47	D
44	D
49	D
74	D
49	D
93	D
58	D
58	D
58	D
58	D
75	D
85	D
54	D
64	D
102	D
110	D
135	D
72	D
72	D
58	D
58	D
78	D
68	D
65	D
94	D
53	D
70	D
117	D
69	D
71	D
62	D
58	D
74	D
60	D
82	D
103	D
96	D
85	D
116	D
62	D
45	D
44	D
67	D
58	D
90	D
130	D
89	D
103	D
86	D
67	D
45	D
49	D
42	D
67	D
79	D
55	D
53	D
81	D
53	D
92	D
28	D
47	D
39	D
63	D
60	D
69	D
39	D
54	D
74	D
129	D
209	D
136	D
28	D
94	D
88	D
69	D
61	D
62	D
61	D
111	D
119	D
202	D
65	D
135	D
74	D
73	D
54	D
70	D
67	D
110	D
143	D
140	D
146	D
115	D
160	D
49	D
72	D
79	D
67	D
104	D
130	D
146	D
150	D
117	D
55	D
49	D
95	D
112	D
84	D
155	D
