Species	Ind	count
Ama	1	224
Ama	2	227
Ama	3	208
Ama	4	203
Ama	5	209
Ama	6	222
Ama	7	214
Ama	8	228
Ama	9	223
Ana	1	69
Ana	2	62
Ana	3	67
Ana	4	70
Ana	5	68
Ana	6	72
Ana	7	70
Ana	8	70
Ana	9	66
Ana	10	73
Cel	1	65
Cel	2	67
Cel	3	61
Cel	4	65
Cel	5	64
Cel	6	64
Cel	7	63
Cel	8	67
Cel	9	67
Cel	10	66
Cel	11	67
Csp	1	60
Csp	2	61
Csp	3	61
Csp	4	62
Csp	5	62
Csp	6	63
Csp	7	61
Csp	8	60
Csp	9	60
Csp	10	59
Dhe	1	82
Dhe	2	81
Dhe	3	77
Dhe	4	82
Dhe	5	87
Dhe	6	88
Dhe	7	82
Dhe	8	89
Dhe	9	85
Dhe	10	77
Dol	1	104
Dol	2	107
Dol	3	100
Dol	4	106
Dol	5	106
Dol	6	105
Dol	7	106
Dol	8	106
Dol	9	112
Dol	10	117
Omy	1	82
Omy	2	81
Omy	3	81
Omy	4	82
Omy	5	83
Omy	6	84
Omy	7	84
Omy	8	78
Omy	9	83
Omy	10	84
Pre	1	190
Pre	2	292
Pre	3	214
Pre	4	221
Pre	5	300
Pre	6	289
Pre	7	279
Pre	8	255
Pre	9	272
Pre	10	209
Pre	11	252
Pre	12	214
Pre	13	233
Pre	14	230
Pri	1	204
Pri	2	197
Pri	3	208
Pri	4	210
Pri	5	207
Pri	6	208
Pri	7	202
Pri	8	204
Pri	9	187
Pri	10	198
Psp	1	128
Psp	2	147
Psp	3	150
Psp	4	123
Psp	5	121
Psp	6	157
Psp	7	149
Psp	8	148
Psp	9	134
Psp	10	151
Pty	1	64
Pty	2	63
Pty	3	69
Pty	4	70
Pty	5	68
Pty	6	68
Pty	7	69
Pty	8	66
Pty	9	66
Pty	10	66
Roc	1	145
Roc	2	142
Roc	3	139
Roc	4	140
Roc	5	137
Roc	6	147
Roc	7	139
Roc	8	133
Roc	9	140
Roc	10	145
Rre	1	190
Rre	2	209
Rre	3	168
Rre	4	218
Rre	5	209
Rre	6	207
Rre	7	218
Rre	8	221
Rre	9	192
Rre	10	223
Rre	11	188
Ama	1	214
Ama	2	221
Ama	3	214
Ama	4	201
Ama	5	211
Ama	6	226
Ama	7	203
Ama	8	227
Ama	9	212
Ana	1	69
Ana	2	68
Ana	3	69
Ana	4	70
Ana	5	66
Ana	6	73
Ana	7	68
Ana	8	66
Ana	9	67
Ana	10	74
Cel	1	61
Cel	2	66
Cel	3	64
Cel	4	65
Cel	5	62
Cel	6	62
Cel	7	62
Cel	8	65
Cel	9	68
Cel	10	66
Cel	11	64
Csp	1	61
Csp	2	62
Csp	3	58
Csp	4	59
Csp	5	64
Csp	6	64
Csp	7	62
Csp	8	62
Csp	9	60
Csp	10	61
Dhe	1	79
Dhe	2	79
Dhe	3	76
Dhe	4	82
Dhe	5	83
Dhe	6	85
Dhe	7	84
Dhe	8	86
Dhe	9	81
Dhe	10	74
Dol	1	108
Dol	2	108
Dol	3	101
Dol	4	110
Dol	5	106
Dol	6	112
Dol	7	106
Dol	8	111
Dol	9	114
Dol	10	116
Omy	1	80
Omy	2	84
Omy	3	80
Omy	4	81
Omy	5	80
Omy	6	83
Omy	7	83
Omy	8	80
Omy	9	83
Omy	10	85
Pre	1	185
Pre	2	292
Pre	3	214
Pre	4	222
Pre	5	301
Pre	6	291
Pre	7	279
Pre	8	259
Pre	9	269
Pre	10	204
Pre	11	246
Pre	12	212
Pre	13	232
Pre	14	229
Pri	1	203
Pri	2	197
Pri	3	204
Pri	4	207
Pri	5	208
Pri	6	205
Pri	7	207
Pri	8	197
Pri	9	196
Pri	10	200
Psp	1	128
Psp	2	146
Psp	3	149
Psp	4	120
Psp	5	122
Psp	6	154
Psp	7	147
Psp	8	146
Psp	9	134
Psp	10	149
Pty	1	64
Pty	2	64
Pty	3	68
Pty	4	70
Pty	5	68
Pty	6	67
Pty	7	67
Pty	8	71
Pty	9	68
Pty	10	67
Roc	1	140
Roc	2	144
Roc	3	140
Roc	4	143
Roc	5	142
Roc	6	148
Roc	7	143
Roc	8	135
Roc	9	151
Roc	10	147
Rre	1	193
Rre	2	207
Rre	3	171
Rre	4	216
Rre	5	202
Rre	6	210
Rre	7	214
Rre	8	219
Rre	9	203
Rre	10	217
Rre	11	181
Ama	8	227
Ama	6	224
Rre	6	214
Pri	7	209
Pri	8	204
Pri	3	203
Pri	9	200
Pri	6	194
Rre	9	193
Rre	11	181
Rre	3	179
Psp	3	150
Psp	10	150
Psp	7	149
Psp	8	144
Roc	3	143
Psp	1	131
Psp	5	122
Dol	9	116
Dol	4	109
Dol	1	106
Dol	7	101
Dhe	8	86
Omy	6	81
Dhe	2	80
Omy	7	80
Ana	10	77
Dhe	10	77
Dhe	3	76
Ana	9	73
Pty	3	71
Ana	3	69
Pty	6	68
Pty	9	68
Pty	10	67
Ana	2	65
Cel	2	65
Cel	8	65
Csp	5	65
Pty	1	64
Csp	7	63
Csp	3	62
Csp	6	61
Csp	4	60
Csp	9	57
