Replicate	Plot	Yearsown	den	out	lambda
1	A1	2002	3	328	109.3333333
1	A1	2002	7	999	142.7142857
1	A1	2002	15	3007	200.4666667
1	A1	2002	30	3694	123.1333333
1	A1	2002	60	5185	86.41666667
1	A1	2002	250	10014	40.056
1	A1	2002	500	14131	28.262
1	A1	2002	1000	11204	11.204
1	A1	2002	2000	11095	5.5475
2	F11	2002	3	82	27.33333333
2	F11	2002	7	328	46.85714286
2	F11	2002	15	1094	72.93333333
2	F11	2002	30	1669	55.63333333
2	F11	2002	60	2558	42.63333333
2	F11	2002	250	3776	15.104
2	F11	2002	500	3830	7.66
2	F11	2002	1000	3092	3.092
2	F11	2002	2000	6129	3.0645
3	D23	2002	3	246	82
3	D23	2002	7	328	46.85714286
3	D23	2002	15	356	23.73333333
3	D23	2002	30	1026	34.2
3	D23	2002	60	930	15.5
3	D23	2002	250	3146	12.584
3	D23	2002	500	5677	11.354
3	D23	2002	1000	5143	5.143
3	D23	2002	2000	5267	2.6335
4	G22	2002	3	205	68.33333333
4	G22	2002	7	1218	174
4	G22	2002	15	3215	214.3333333
4	G22	2002	30	4298	143.2666667
4	G22	2002	60	3461	57.68333333
4	G22	2002	250	3488	13.952
4	G22	2002	500	6115	12.23
4	G22	2002	1000	5800	5.8
4	G22	2002	2000	7401	3.7005
1	A1	2003	7	1341	191.5714286
1	A1	2003	15	2449	163.2666667
1	A1	2003	30	2312	77.06666667
1	A1	2003	60	2627	43.78333333
1	A1	2003	250	4815	19.26
1	A1	2003	500	7866	15.732
1	A1	2003	1000	9343	9.343
1	A1	2003	2000	9398	4.699
1	A1	2003	4000	11395	2.84875
2	F11	2003	7	629	89.85714286
2	F11	2003	15	1272	84.8
2	F11	2003	30	2545	84.83333333
2	F11	2003	60	1163	19.38333333
2	F11	2003	250	3885	15.54
2	F11	2003	500	5144	10.288
2	F11	2003	1000	6566	6.566
2	F11	2003	2000	5116	2.558
2	F11	2003	4000	7770	1.9425
3	D23	2003	7	1053	150.4285714
3	D23	2003	15	848	56.53333333
3	D23	2003	30	1067	35.56666667
3	D23	2003	60	2572	42.86666667
3	D23	2003	250	2709	10.836
3	D23	2003	500	3502	7.004
3	D23	2003	1000	6279	6.279
3	D23	2003	2000	7141	3.5705
3	D23	2003	4000	5103	1.27575
4	G22	2003	7	958	136.8571429
4	G22	2003	15	684	45.6
4	G22	2003	30	1122	37.4
4	G22	2003	60	1943	32.38333333
4	G22	2003	250	3105	12.42
4	G22	2003	500	3092	6.184
4	G22	2003	1000	5773	5.773
4	G22	2003	2000	5636	2.818
4	G22	2003	4000	7592	1.898
1	A1	2004	7	875.52	125.0742857
1	A1	2004	15	889.2	59.28
1	A1	2004	30	1340.64	44.688
1	A1	2004	60	1696.32	28.272
1	A1	2004	250	1969.92	7.87968
1	A1	2004	500	4965.84	9.93168
1	A1	2004	1000	2339.28	2.33928
1	A1	2004	2000	4870.08	2.43504
1	A1	2004	4000	4514.4	1.1286
2	F11	2004	7	642.96	91.85142857
2	F11	2004	15	875.52	58.368
2	F11	2004	30	1354.32	45.144
2	F11	2004	60	2818.08	46.968
2	F11	2004	250	2982.24	11.92896
2	F11	2004	500	5636.16	11.27232
2	F11	2004	1000	3461.04	3.46104
2	F11	2004	2000	7893.36	3.94668
2	F11	2004	4000	4678.56	1.16964
3	D23	2004	7	164.16	23.45142857
3	D23	2004	15	478.8	31.92
3	D23	2004	30	1217.52	40.584
3	D23	2004	60	2188.8	36.48
3	D23	2004	250	2517.12	10.06848
3	D23	2004	500	2448.72	4.89744
3	D23	2004	1000	3146.4	3.1464
3	D23	2004	2000	4541.76	2.27088
3	D23	2004	4000	6019.2	1.5048
4	G22	2004	7	287.28	41.04
4	G22	2004	15	957.6	63.84
4	G22	2004	30	3023.28	100.776
4	G22	2004	60	2913.84	48.564
4	G22	2004	250	5636.16	22.54464
4	G22	2004	500	5362.56	10.72512
4	G22	2004	1000	7291.44	7.29144
4	G22	2004	2000	8139.6	4.0698
4	G22	2004	4000	7291.44	1.82286
