place,east,north
Abingdon,50,97
Admoor Copse,60,70
AERE Harwell,48,87
Agates Meadow,70,73
Aldermaston,59,65
Aldermaston Court,60,65
Aldermaston Decoy,60,63
Aldermaston Mill,59,66
Aldermaston Soke,61,63
Aldermaston Wharfe,60,67
Aldworth,55,79
Alfreds Castle,27,82
Ambarrow,82,67
Anvilles Copse,34,64
Appleford,53,93
Appleton,44,1
Appleton Lower Common,42,0
Appleton Upper Common,42,99
Arborfield,75,67
Ardington,42,88
Ardington Down,43,85
Ardington Mead,42,91
Arlington,46,71
Ascot,92,68
Ascot Gate,94,70
Ascot Place,91,71
Ashampstead,56,76
Ashampstead Common,58,75
Ashbury,26,85
Ashdown Park,28,81
Ashley Hill,82,81
Ashridge Wood,49,78
Aston Ferry,78,84
Aston Tirrold,55,86
Aston Upthorpe,54,86
Aston Upthorpe Downs,54,83
Avington,37,68
Bablockhythe,43,4
Badbury Hill,26,94
Bagley Wood,50,2
Bagnor,45,69
Bagshot Heath,87,63
Balking,31,91
Balsdon,36,63
Barkham Common,79,65
Barkham Ride,80,64
Barrow Farm Fen,46,97
Barrow Hills,51,98
Barton Court,50,97
Basildon,60,78
Basildon Park,61,78
Battle Farm,69,74
Baughurst,58,62
Baydon,28,78
Bayworth,50,1
Beacon Hill,44,7
Bear Grove,80,79
Bearwood,77,68
Beech Hill,69,74
Beech Wood,53,76
Beedon,48,78
Beenham,58,68
Benson Lock,61,91
Benyons Enclosure,62,63
Bere Court,61,75
Bessels Leigh,45,1
Betterton House,43,86
Billingbear Park,83,72
Binfield,84,71
Bisham Wood,85,84
Bishops Green,50,63
Blackwater,85,59
Blewburton Hill,54,86
Blewbury,53,85
Blewbury Downs,51,82
Boars Hill,48,2
Bolney Court,78,80
Borough Bridge,77,77
Botley,48,6
Botley Copse,28,80
Bottomhouse Farm,59,74
Boulters Lock,90,82
Bourton,23,87
Bowsey Hill,80,79
Boxford,42,71
Bracknell,87,69
Bradfield,60,72
Bradley Farm,46,3
Bray,90,79
Bray Court,90,78
Bray Wick,89,79
Brightwalton,42,79
Brightwalton Holt,43,77
Brightwell,57,90
Brimpton,56,64
Brimpton Common,57,63
Britchcombe,30,87
Broadleaze Farm,22,96
Broadleaze Farm,25,89
Broadmoor,85,64
Broadmoor Bottom,85,62
Brocas Land Farm,65,63
Buckland,35,98
Buckland Marsh,33,99
Buckland Warren,34,95
Bucklebury,55,70
Bucklebury Lower Common,56,69
Bucklebury Upper Common,53,69
Bulls Lock,49,66
Bulmershe,75,72
Burchetts Green,83,81
Burghfield,66,68
Burghfield Bridge,68,70
Burghfield Common,65,66
Burnetts Copse,56,77
Burnt Common,62,64
Burnt Hill,56,74
Buscot,23,97
Buscot Park,24,96
Bushy Leaze Copse,44,5
Caesars Camp,86,65
Cainfield Quarry,32,94
Cake Wood,30,69
Calcot,66,71
Calcot Row,66,72
California,80,65
Carbins Wood,56,69
Carswell,32,97
Castle Hill,88,84
Catmore,45,80
Catmore Wood,46,80
Chaddleworth,41,77
Challow,37,88
Chapel Row,57,69
Chapel Wood,45,75
Charney Bassett,37,94
Chawley,47,4
Cherbury Camp,37,96
Cheseridge Wood,50,78
Chieveley,47,73
Childrey,36,87
Childs Court Farm,57,75
Chilswell,49,3
Chilton,48,86
Chilton Foliat,32,70
Cholsey,58,86
Church Farm,61,79
Churn,51,83
Clay Hill Bucklebury,57,70
Clay Hill Shaw,48,68
Cleeve Hill,33,76
Cleeve Lock,60,81
Clewer,95,76
Clifton Hampden,54,95
Clifton Lock,54,94
Cliveden Reach,90,84
Cock Marsh,89,86
Cold Ash,51,69
Coldridge Copse,37,74
Colemans Moor,77,72
Coleshill,23,93
Coley Park,70,72
Colliers Copse,44,1
Combe Gibbet,36,62
Combe Hill,37,61
Compton,52,79
Compton Beauchamp,28,87
Compton Downs,50,82
Cookham,89,85
Cookham Dean,86,84
Cookham Down,87,86
Cookham Moor,89,85
Coombe Wood,54,73
Coppington Down,31,77
Corpus Wood,58,80
Cothill,46,99
Cow Common,56,82
Cox Green,87,79
Coxes Wood,84,63
Cranbourne,94,73
Cransemoor Lake,62,71
Crazies Hill,79,80
Crockham Heath,43,64
Crog Hill,32,83
Crookham Common,51,64
Crowthorne,84,63
Culham Bridge,50,94
Culham Court,78,83
Cumberland Lodge,96,71
Cumnor,46,4
Cumnor Hurst,47,4
Curridge Common,48,71
Dean Bottom,27,80
Deans Bottom,54,82
Deer Rock Hill,88,63
Denchworth,38,91
Devils Punchbowl,35,85
Didcot,51,90
Donnington,46,68
Douai Abbey,57,67
Downe House,50,71
Dragon Hill,30,86
Drayton,47,94
Dry Sandford,46,0
Duxford,36,99
Earley,74,72
Earlywood,92,65
East Court,31,64
East Court,79,63
East Garston,36,76
East Ginge Down,44,85
East Hagbourne,53,88
East Hanney,41,92
East Hendred,45,88
East Hendred Down,46,85
East Ilsley,49,81
East Shefford,38,74
Eastbury,34,77
Easthampstead,86,67
Easthampstead Park,84,67
Eaton,44,3
Eaton Wood,26,96
Eddington,34,69
Elcot,39,69
Eling Common,52,74
Emmbrook,79,69
Enborne,43,65
Enborne Lodge,44,64
Enborne Street,43,63
Englefield,62,71
Erleigh Park,74,71
Eversley,77,62
Eynsham Lock,44,7
Fair Mile,55,83
Faringdon,29,95
Farley Hill,75,64
Farmoor,44,6
Farnborough,43,82
Farnborough Down,41,82
Farncombe Down,29,77
Fawley,39,81
Fence Wood,50,71
Fernham,29,91
Fieldridge Wood,35,74
Fifield (not Fyfield),90,76
Filchampstead,45,5
Finchampstead,79,63
Finchampstead Leas,76,63
Finchampstead Ridges,80,63
Fleet Copse,78,62
Forbury,38,65
Forbury Gardens,72,73
Fort Belvedere,96,68
Foxcombe Hill,49,1
Foxhill,73,72
Foxley Covert,36,67
Frilford,44,97
Frisham,53,73
Frogmill Farm,81,83
Frogmore,97,75
Furze Hill Hermitage,51,74
Furze Hill Stockcross,42,68
Furze Platt,87,82
Furzewick Down,39,84
Fyfield (not Fifield),42,98
Fyfield Wick,41,96
Gardeners Green,82,66
Garford,42,96
Gibbet Piece,64,65
Ginge Brook,44,87
Goldfinch Bottom,50,64
Goosey,35,91
Gore Hill,48,83
Gozzards Ford,46,98
Grafton Lock,27,99
Grandpont,51,5
Grazeley,69,66
Great Bear,61,74
Great Coxwell,26,93
Great Hazes,84,74
Great Lea Common,71,68
Great Park Copse,68,75
Great Park Wood,34,75
Great Shefford,38,75
Great Wood Waltham,85,76
Greathouse Wood,59,73
Greenham,47,65
Greenham Common,48,64
Grims Dyke,59,79
Grims Dyke,49,84
Grimsbury Castle,51,72
Grove,40,90
Grovewick Farm,40,91
Hackpen Hill,35,85
Hagbourne,52,88
Hagbourne Moor,53,87
Hagley Pool,47,10
Hailey Wood,27,83
Hallplace Farm,82,81
Ham,33,63
Ham Island,99,75
Hambridge,48,67
Hampstead Norreys,52,76
Hamstead Marshall,41,65
Hamstead Park,42,66
Hanney,41,92
Hare Hatch,80,77
Harley Hill Wood,59,77
Harrowdown Hill,38,0
Harts Weir,42,1
Harwell,49,89
Harwell AERE,48,87
Hatford,33,94
Hawkridge,54,72
Hawthorn Hill,87,74
Heath Hanger Copse,36,70
Heath Lake,82,65
Heath Pool,81,64
Hemley Copse,44,79
Hen Wood,48,3
Hendred,45,88
Henley,76,83
Henley Farm,39,78
Hennerton,78,80
Hermitage,51,73
Heywood Park,85,79
High Standing Hill,93,73
Hillgreen,45,76
Hinksey,50,4
Hinton Waldrist,37,99
Hoe Benham,40,69
Holme Park Farm,75,75
Holtwood,41,64
Holyport,89,77
Honey Bottom,45,70
Honeyhill,82,66
Hookend Farm,59,77
Hungerford,33,68
Hungerford Newtown,35,71
Hungerford Park,35,67
Hurdle Shaw,58,79
Hurley,82,83
Hurst,79,72
Hurst Hill,47,4
Iffley Lock,52,3
Ilsley,49,81
Ilsley Downs,50,81
Inglesham,20,98
Inholmes,33,73
Inkpen,35,64
Inkpen Common,38,64
Inkpen Hill,35,62
Inkpen Lower Common,35,64
Inkydown Wood,85,84
Irish Hill,40,67
Jarn Mound,48,2
Joulderns Ford,75,63
Kennington,52,2
Kent Wood,67,74
Kingstanding Hill,57,83
Kingston Bagpuize,40,98
Kingston Lisle,32,87
Kingston Warren,32,86
Kingstone Down,28,82
Kintbury,38,66
Kirby House,37,63
Knights Farm,68,69
Knollend Down,45,83
Knowl Hill,82,79
Lambourn,32,78
Langley Wood,48,76
Leighton Park,73,71
Letcombe Bassett,37,85
Letcombe Bowers,38,82
Letcombe Regis,37,86
Leverton,33,70
Lilley,44,79
Little Bowden,61,76
Little Coxwell,28,93
Little Heath,65,73
Little London,52,1
Little Wittenham,56,93
Little Wittenham Wood,57,92
Littlejohns Farm,69,74
Lockinge,43,87
Loddon Bridge,76,71
Loddon Mill,76,70
Lodge Down Wood,30,77
Lollingdon Hill,57,85
Long Copse Cumnor,47,4
Long Lane Hermitage,49,71
Long Leys,44,4
Long Moor,78,65
Long Wittenham,54,93
Longcot,27,90
Longlane Spinney Cookham,87,84
Longworth,38,99
Lough Down,58,81
Lowbury Hill,53,82
Lower Basildon,60,78
Lower Poughley,34,74
Lower Radley,52,98
Lower Star Post,87,64
Lower Whitley Farm,44,5
Lynch Wood,32,79
Maidenhead,88,81
Maidenhead Thicket,85,80
Manstone Farm,54,75
Marcham,45,96
Marley Wood,47,7
Marlston,53,72
Marsh Benham,42,67
Middle Brake Wood,32,98
Midgham,55,67
Milton,48,92
Moor Copse,74,66
More Wood,41,66
Mortimer,67,64
Mortimer Common,65,64
Mortimer West End,63,63
Moulsford,59,83
Moulsford Downs,57,82
Near Down,29,79
New Lodge,91,75
New Mill,76,62
Newbridge,40,1
Newbury,47,66
Newtown,50,67
Nine Mile Ride,84,65
Noahs Ark,43,96
Norris Green,77,74
North Audley Farm,41,0
North Heath,45,74
North Hinksey,49,5
North Moreton,56,89
Northcourt,49,98
Northmoor Lock,43,2
Nuneham,53,97
Nunhide Lane,64,72
Nutwood,36,82
Oaken Copse,35,69
Oakfield,67,66
Oakley House,44,98
Oare,50,74
Oareborough Hill,49,75
Odney Common,90,84
Odstone Lane,28,85
Old Deerpark Wood,61,72
Old Hungerford Fishery,32,68
Old Windsor,98,74
Osney,49,6
Owlsmoor,85,62
Padworth,61,66
Padworth Common,61,64
Padworth Gully,61,65
Pangbourne,63,76
Park Place,77,81
Park Wood Basildon,60,77
Park Wood Bisham,85,83
Park Wood Hampstead Norreys,52,75
Peasemore,45,77
Peat Bottom Wood,34,95
Pen Barn,50,99
Pennyhooks Farm,23,90
Pepper Lane,73,71
Pickling Yard,63,64
Pingewood,68,69
Pinkhill Lock,43,2
Pinkneys Green,85,82
Pit Down,33,83
Pitchpole Wood,37,84
Pond Wood,82,71
Poughley,34,73
Powder Hill Copse,48,3
Priors Court,48,73
Prospect Park,68,72
Prosperous,33,64
Pucketty Farm,31,98
Purley,66,76
Pusey,35,96
Pusey Common Wood,35,97
Pyle Hill Greenham,47,66
Quarry Wood,86,85
Queens Mere,81,65
Quicks Green,58,76
Radley,53,98
Radley College,51,99
Radley Large Wood,52,0
Ramshill,31,86
Ranikhet Camp,68,73
Rapley Farm,89,65
Rapley Lake,89,64
Ray Mill Island,90,82
Reading,70,73
Red Hill,59,73
Red Hill,42,64
Redhill Copse,54,70
Redhill Wood,42,64
