fact	response
1	10.51389
1	15.25925
1	14.57177
1	10.2842
1	10.80653
1	12.29515
1	13.01283
1	9.946381
1	9.631006
1	18.88906
1	15.79786
1	15.21324
1	15.08397
1	10.09769
1	13.56519
1	9.923107
1	17.58367
1	11.69883
1	7.095517
1	10.41979
2	8.034967
2	5.505109
2	11.55482
2	9.602624
2	3.479868
2	10.24865
2	8.858732
2	10.06346
2	12.63174
2	3.534122
2	5.655648
2	7.572537
2	5.873547
2	10.78819
2	6.168658
2	8.726214
2	13.46336
2	12.37098
2	6.029313
2	9.404623
3	8.21894
3	7.936806
3	6.50873
3	11.67326
3	9.465097
3	3.675626
3	5.873212
3	7.370255
3	9.040158
3	8.96393
3	8.277607
3	6.622266
3	8.379644
3	11.09554
3	1.197524
3	6.78674
3	10.99341
3	9.678895
3	8.09795
3	11.33125
4	13.09999
4	9.072926
4	9.79392
4	5.173712
4	11.02482
4	6.86731
4	7.919847
4	11.5989
4	5.783542
4	14.53267
4	13.60841
4	11.85372
4	8.432732
4	14.09891
4	12.77796
4	10.83266
4	11.69202
4	8.877103
4	12.37778
4	9.774526
5	10.01539
5	17.98437
5	14.34123
5	10.50512
5	11.92571
5	12.48271
5	8.99654
5	17.00603
5	15.30242
5	16.17453
5	12.13229
5	13.49297
5	15.1794
5	14.33724
5	13.2043
5	12.80058
5	15.49685
5	17.79089
5	10.22827
5	16.87336
6	5.4
6	5.481774
6	6.939023
6	7.252865
6	5.2
6	11.36465
6	7.514228
6	11.90395
6	6.1
6	5.033954
6	6.868163
6	10.17268
6	6.958485
6	7.79441
6	4.333108
6	8.33968
6	6.532301
6	1.899584
6	9.555666
6	4.959119
7	18.20428
7	14.48611
7	15.32403
7	11.09084
7	10.08162
7	16.74934
7	16.31314
7	12.83064
7	11.08367
7	12.33696
7	14.6589
7	14.55049
7	8.992104
7	11.68337
7	14.49105
7	8.81145
7	12.15405
7	13.32243
7	15.57783
7	15.58604
8	15.7373
8	7.769114
8	8.46306
8	12.7739
8	11.60786
8	14.98253
8	9.213606
8	9.198075
8	10.70671
8	14.07383
8	12.77323
8	12.99807
8	12.95318
8	4.553908
8	7.92734
8	10.56871
8	12.99293
8	9.884699
8	7.10075
8	8.441644
