deathtime	status	id	plotc	SOWNDIV	FUNCGR	GRASS	LEG	SHERB	THERB	GLST
1.5	0	1	B1A01	16	4	1	1	1	1	GLST
1.5	0	2	B1A01	16	4	1	1	1	1	GLST
11.5	0	3	B1A01	16	4	1	1	1	1	GLST
11.5	0	4	B1A01	16	4	1	1	1	1	GLST
11.5	0	5	B1A01	16	4	1	1	1	1	GLST
11.5	0	6	B1A01	16	4	1	1	1	1	GLST
11.5	0	7	B1A01	16	4	1	1	1	1	GLST
11.5	0	8	B1A01	16	4	1	1	1	1	GLST
11.5	0	9	B1A01	16	4	1	1	1	1	GLST
11.5	0	10	B1A01	16	4	1	1	1	1	GLST
11.5	0	11	B1A01	16	4	1	1	1	1	GLST
11.5	0	12	B1A01	16	4	1	1	1	1	GLST
18	0	13	B1A01	16	4	1	1	1	1	GLST
18	0	14	B1A01	16	4	1	1	1	1	GLST
18	0	15	B1A01	16	4	1	1	1	1	GLST
22.5	0	16	B1A01	16	4	1	1	1	1	GLST
22.5	0	17	B1A01	16	4	1	1	1	1	GLST
27	0	18	B1A01	16	4	1	1	1	1	GLST
29.5	0	19	B1A01	16	4	1	1	1	1	GLST
47	0	20	B1A01	16	4	1	1	1	1	GLST
1.5	0	1	B1A02	8	2	1	0	0	1	GT
1.5	0	2	B1A02	8	2	1	0	0	1	GT
1.5	0	3	B1A02	8	2	1	0	0	1	GT
6.5	0	4	B1A02	8	2	1	0	0	1	GT
6.5	0	5	B1A02	8	2	1	0	0	1	GT
18	0	6	B1A02	8	2	1	0	0	1	GT
18	0	7	B1A02	8	2	1	0	0	1	GT
18	0	8	B1A02	8	2	1	0	0	1	GT
18	0	9	B1A02	8	2	1	0	0	1	GT
18	0	10	B1A02	8	2	1	0	0	1	GT
18	0	11	B1A02	8	2	1	0	0	1	GT
18	0	12	B1A02	8	2	1	0	0	1	GT
18	0	13	B1A02	8	2	1	0	0	1	GT
18	0	14	B1A02	8	2	1	0	0	1	GT
29.5	0	15	B1A02	8	2	1	0	0	1	GT
50	1	16	B1A02	8	2	1	0	0	1	GT
50	1	17	B1A02	8	2	1	0	0	1	GT
50	1	18	B1A02	8	2	1	0	0	1	GT
50	1	19	B1A02	8	2	1	0	0	1	GT
50	1	20	B1A02	8	2	1	0	0	1	GT
1.5	0	1	B1A03	8	3	1	1	1	0	GLS
1.5	0	2	B1A03	8	3	1	1	1	0	GLS
1.5	0	3	B1A03	8	3	1	1	1	0	GLS
1.5	0	4	B1A03	8	3	1	1	1	0	GLS
1.5	0	5	B1A03	8	3	1	1	1	0	GLS
6.5	0	6	B1A03	8	3	1	1	1	0	GLS
