y	dish	Isolate	temp	day
4.5	3	4	20	4
4.5	2	7	20	4
4.5	1	2	27	10
5	1	5	20	4
5	2	5	20	4
5	3	7	20	4
5.5	3	5	20	4
5.5	1	6	20	4
5.5	1	7	20	4
6	1	1	20	4
6	1	4	20	4
6	1	5	20	5
6.5	2	2	20	4
6.5	3	2	20	4
6.5	2	6	20	4
6.5	3	5	35	4
6.5	3	6	35	4
6.5	1	7	35	4
7	2	1	20	4
7	2	3	20	4
7	3	3	20	4
7	2	4	20	4
7	2	5	35	4
7	1	6	35	4
7	2	6	35	4
7	1	4	20	5
7	3	4	20	5
7	2	5	20	5
7	1	7	20	5
7	3	7	20	5
7.5	3	1	20	4
7.5	3	6	20	4
7.5	1	5	35	4
7.5	2	7	35	4
7.5	3	7	35	4
7.5	3	5	20	5
7.5	3	6	35	5
8	1	2	20	4
8	2	4	35	4
8	3	4	35	4
8	2	7	20	5
8	2	5	35	5
8	1	7	35	5
8.5	1	3	20	4
8.5	2	3	35	4
8.5	1	6	20	5
8.5	2	6	20	5
8.5	3	5	35	5
8.5	1	6	35	5
8.5	2	6	35	5
9	2	1	35	4
9	1	3	35	4
9	3	3	35	4
9	1	4	35	4
9	1	1	20	5
9	2	1	20	5
9	2	4	20	5
9	1	5	35	5
9	2	7	35	5
9.5	3	2	20	5
9.5	3	2	35	5
9.5	1	6	35	7
10	1	1	35	4
10	3	1	20	5
10	1	2	20	5
10	2	3	20	5
10	3	3	20	5
10	3	6	20	5
10	2	4	35	5
10	3	7	35	5
10	2	6	35	7
10	3	6	35	7
10	1	7	35	7
10	3	6	35	8
10.5	3	1	35	4
10.5	2	2	20	5
10.5	2	3	35	5
10.5	1	4	35	5
10.5	3	4	35	5
10.5	2	5	35	7
10.5	3	5	35	7
10.5	1	6	35	8
10.5	3	6	35	10
10.5	2	7	35	13
11	1	2	35	4
11	1	3	20	5
11	1	1	35	5
11	2	1	35	5
11	1	3	35	5
11	3	4	20	7
11	1	5	35	7
11	2	5	35	8
11	3	5	35	8
11	2	6	35	8
11	1	7	35	8
11.5	1	4	27	4
11.5	2	2	35	4
11.5	3	3	35	5
11.5	2	5	20	7
11.5	1	4	35	7
11.5	2	7	35	7
11.5	3	7	35	7
11.5	1	5	35	8
11.5	3	7	35	8
11.5	3	5	35	10
11.5	3	5	35	13
11.5	3	5	35	14
12	3	4	27	4
12	3	2	35	4
12	3	1	35	5
12	1	7	20	7
12	3	7	20	7
12	2	7	35	8
12	2	5	35	10
12	2	6	35	10
12.5	1	4	20	7
12.5	1	5	20	7
12.5	3	4	35	7
12.5	1	6	35	10
12.5	1	7	35	10
12.5	3	7	35	10
12.5	3	3	35	13
12.5	3	4	35	13
12.5	3	7	35	13
13	3	2	27	4
13	1	5	27	4
13	3	5	27	4
13	2	6	27	4
13	1	7	27	4
13	3	7	27	4
13	3	5	20	7
13	2	7	20	7
13	3	4	20	8
13	3	4	35	8
13	3	6	35	13
13	3	4	35	14
13	3	6	35	14
13	3	7	35	14
13.5	2	5	27	4
13.5	3	6	27	4
13.5	1	2	35	5
13.5	1	6	20	7
13.5	2	6	20	7
13.5	2	3	35	7
13.5	1	4	35	8
13.5	3	4	35	10
13.5	1	5	35	10
13.5	1	6	35	13
14	1	3	27	4
14	2	3	27	4
14	1	6	27	4
14	2	2	35	5
14	1	1	20	7
14	3	6	20	7
14	1	3	35	7
14	2	4	35	7
14	2	5	20	8
14	3	7	20	8
14	2	6	35	13
14	1	7	35	13
14.5	3	1	27	4
14.5	2	3	20	7
14.5	1	1	35	7
14.5	2	1	35	7
14.5	1	4	20	8
14.5	3	5	20	8
14.5	1	7	20	8
15	1	1	27	4
15	2	1	27	4
15	2	2	27	4
15	3	3	27	4
15	1	4	27	5
15	2	1	20	7
15	3	1	20	7
15	1	2	20	7
15	3	2	20	7
15	2	4	20	7
15	3	3	35	7
15	1	5	20	8
15	2	3	35	8
15	2	4	35	8
15.5	1	2	27	4
15.5	2	2	20	7
15.5	3	1	35	7
15.5	1	6	20	8
15.5	2	6	20	8
15.5	2	7	20	8
15.5	2	1	35	8
15.5	1	3	35	8
15.5	3	3	35	8
15.5	1	6	35	14
16	2	6	27	5
16	3	3	35	10
16.5	1	2	35	7
16.5	2	4	20	8
16.5	3	6	20	8
16.5	1	3	35	10
16.5	2	3	35	10
16.5	2	6	35	14
17	3	4	27	5
17	2	5	27	5
17	1	7	27	5
17	3	7	27	5
17	1	1	20	8
17	2	1	20	8
17	3	1	20	8
17	1	2	20	8
17	1	1	35	8
17	3	1	35	8
17	2	7	35	10
17	1	7	35	14
17.5	1	5	27	5
17.5	3	5	27	5
17.5	3	6	27	5
17.5	2	2	35	7
17.5	3	2	35	7
17.5	2	3	20	8
18	3	2	27	5
18	1	3	27	5
18	2	3	27	5
18	1	6	27	5
18	2	2	20	8
18	3	2	20	8
18	1	2	35	8
18	2	5	20	10
18.5	3	1	27	5
18.5	2	1	35	10
18.5	1	3	35	13
19	1	1	27	5
19	2	1	27	5
19	2	2	27	5
19	3	3	27	5
19	3	3	20	7
19	2	2	35	8
19	1	1	35	10
19	1	3	35	14
19	2	3	35	14
19	3	3	35	14
19.5	3	2	35	8
20	1	4	20	10
20	3	4	20	10
20	3	5	20	10
20	1	6	20	10
20	1	7	20	10
20	3	7	20	10
20	3	1	35	10
20	2	7	35	14
20.5	1	2	27	5
