cases	treatment
0	control
2	control
0	control
1	control
2	control
0	control
0	control
1	control
0	control
3	control
2	control
0	control
0	control
0	control
1	control
0	control
2	control
0	control
4	control
0	control
1	control
3	control
2	control
0	control
0	cull
0	cull
0	cull
1	cull
0	cull
0	cull
1	cull
0	cull
0	cull
0	cull
0	cull
4	cull
0	cull
0	cull
0	cull
3	cull
0	cull
0	cull
0	cull
0	cull
1	cull
2	cull
1	cull
0	cull
0	cull
0	cull
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
1	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
2	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
1	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
1	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
3	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
1	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
0	vaccinate
