xvalues	yvalues
0	0.061894424
0.02	11.30263218
0.04	13.56534236
0.06	15.08285891
0.08	16.1869485
0.1	17.36183107
0.12	18.18069199
0.14	18.88017254
0.16	19.52106281
0.18	20.17881378
0.2	20.7376836
0.22	21.41625589
0.24	21.96237135
0.26	22.27455218
0.28	22.70022743
0.3	23.29725831
0.32	23.72295146
0.34	24.07041658
0.36	24.48461149
0.38	24.83056323
0.4	25.01720373
0.42	25.47790946
0.44	25.758308
0.46	26.06066493
0.48	26.42678358
0.5	26.60546296
0.52	27.00242325
0.54	27.17308581
0.56	27.51211184
0.58	27.72752143
0.6	27.89291939
0.62	28.29797031
0.64	28.51364727
0.66	28.75734124
0.68	28.99582764
0.7	29.14832571
0.72	29.30627051
0.74	29.68997589
0.76	29.81635786
0.78	30.09129194
0.8	30.13669573
0.82	30.45406465
0.84	30.59719657
0.86	30.88986147
0.88	31.05057377
0.9	31.27235243
0.92	31.34014206
0.94	31.61562566
0.96	31.67811742
0.98	31.926557
1	32.16086138
