Growth.rate	Water	Detergent	Daphnia
2.919085587	Tyne	BrandA	Clone1
2.49290403	Tyne	BrandA	Clone1
3.021804251	Tyne	BrandA	Clone1
2.350874335	Tyne	BrandA	Clone2
3.148173559	Tyne	BrandA	Clone2
4.423852931	Tyne	BrandA	Clone2
4.870958803	Tyne	BrandA	Clone3
3.897731347	Tyne	BrandA	Clone3
5.830881925	Tyne	BrandA	Clone3
2.3027171	Tyne	BrandB	Clone1
3.195969626	Tyne	BrandB	Clone1
2.829021095	Tyne	BrandB	Clone1
3.027499621	Tyne	BrandB	Clone2
5.285108403	Tyne	BrandB	Clone2
4.260954913	Tyne	BrandB	Clone2
4.049527754	Tyne	BrandB	Clone3
4.623400317	Tyne	BrandB	Clone3
5.625844909	Tyne	BrandB	Clone3
2.634182102	Tyne	BrandC	Clone1
3.513746393	Tyne	BrandC	Clone1
3.714657446	Tyne	BrandC	Clone1
3.862106084	Tyne	BrandC	Clone2
3.955181039	Tyne	BrandC	Clone2
3.044307782	Tyne	BrandC	Clone2
3.358051334	Tyne	BrandC	Clone3
5.633479467	Tyne	BrandC	Clone3
4.613174755	Tyne	BrandC	Clone3
2.200592859	Tyne	BrandD	Clone1
2.233799598	Tyne	BrandD	Clone1
3.357183631	Tyne	BrandD	Clone1
3.111763697	Tyne	BrandD	Clone2
4.842597624	Tyne	BrandD	Clone2
4.36259229	Tyne	BrandD	Clone2
2.23021006	Tyne	BrandD	Clone3
3.104322517	Tyne	BrandD	Clone3
4.762764289	Tyne	BrandD	Clone3
2.319406055	Wear	BrandA	Clone1
2.098190677	Wear	BrandA	Clone1
3.541968991	Wear	BrandA	Clone1
3.888784107	Wear	BrandA	Clone2
3.960037772	Wear	BrandA	Clone2
5.742290286	Wear	BrandA	Clone2
5.244230091	Wear	BrandA	Clone3
4.795048308	Wear	BrandA	Clone3
5.380755443	Wear	BrandA	Clone3
3.610532158	Wear	BrandB	Clone1
2.24765071	Wear	BrandB	Clone1
3.388947185	Wear	BrandB	Clone1
4.061629942	Wear	BrandB	Clone2
5.478983004	Wear	BrandB	Clone2
4.303407161	Wear	BrandB	Clone2
3.973059861	Wear	BrandB	Clone3
4.632224111	Wear	BrandB	Clone3
5.284316226	Wear	BrandB	Clone3
2.480983544	Wear	BrandC	Clone1
3.950709949	Wear	BrandC	Clone1
2.133731304	Wear	BrandC	Clone1
5.586468488	Wear	BrandC	Clone2
6.918344272	Wear	BrandC	Clone2
5.270420973	Wear	BrandC	Clone2
2.015706722	Wear	BrandC	Clone3
3.467041808	Wear	BrandC	Clone3
5.028927385	Wear	BrandC	Clone3
2.3071735	Wear	BrandD	Clone1
2.96227354	Wear	BrandD	Clone1
2.69976154	Wear	BrandD	Clone1
6.569411852	Wear	BrandD	Clone2
6.405129788	Wear	BrandD	Clone2
5.990972601	Wear	BrandD	Clone2
2.553241161	Wear	BrandD	Clone3
2.592765531	Wear	BrandD	Clone3
1.761603478	Wear	BrandD	Clone3
