Wheat	Beans	Plant
100	0	12.79548703
200	0	6.860237113
400	0	4.448027564
800	0	2.055087373
100	12	12.22686231
200	12	4.657619613
400	12	3.048256645
800	12	2.480359309
100	24	4.365277754
200	24	3.448295885
400	24	3.37822812
800	24	1.980118153
100	48	3.161419976
200	48	3.142819776
400	48	2.048738566
800	48	1.388842449
100	0	18.65987121
200	0	8.24938847
400	0	3.65354396
800	0	2.132235683
100	12	9.294500564
200	12	7.064736404
400	12	3.867907448
800	12	1.861052389
100	24	8.156298742
200	24	4.060661775
400	24	2.486782824
800	24	1.445786011
100	48	3.182477578
200	48	3.512339983
400	48	2.66466548
800	48	1.154523571
100	0	16.62139837
200	0	9.43960376
400	0	3.761281603
800	0	2.011266953
100	12	6.921631992
200	12	6.117734899
400	12	4.501124004
800	12	1.267814145
100	24	6.683256515
200	24	3.384845906
400	24	3.580435405
800	24	1.843989524
100	48	2.901511819
200	48	3.427154577
400	48	1.844375148
800	48	1.815001785
100	0	21.61019292
200	0	6.915239701
400	0	5.093794633
800	0	2.260945048
100	12	10.03131114
200	12	4.156381724
400	12	4.183344164
800	12	2.232926076
100	24	6.104201413
200	24	4.203867641
400	24	3.83924043
800	24	1.877524076
100	48	4.36237451
200	48	3.888866767
400	48	2.051931583
800	48	1.706683622
100	0	18.24334077
200	0	7.321094851
400	0	3.60106076
800	0	2.746818178
100	12	7.977060277
200	12	6.865800722
400	12	3.070849996
800	12	2.298766418
100	24	6.623253433
200	24	3.712245525
400	24	3.157613521
800	24	1.986354782
100	48	2.949615398
200	48	2.522769268
400	48	2.21307544
800	48	1.231280043
100	0	15.0204389
200	0	9.039271015
400	0	4.594003904
800	0	2.205236755
100	12	10.52497967
200	12	5.853293016
400	12	3.424505666
800	12	1.598017611
100	24	8.389070658
200	24	3.864358202
400	24	3.203539703
800	24	1.204734772
100	48	4.762682478
200	48	4.056562106
400	48	1.690833626
800	48	1.676638593
100	0	13.43429776
200	0	9.182085738
400	0	3.10792545
800	0	2.039209614
100	12	10.53835183
200	12	6.945068656
400	12	3.486533153
800	12	1.802921255
100	24	7.48344008
200	24	3.116490503
400	24	3.763043397
800	24	1.693662926
100	48	4.031418666
200	48	2.564176145
400	48	2.699881193
800	48	1.266704429
100	0	11.53284008
200	0	10.96303811
400	0	4.030085444
800	0	2.528080956
100	12	9.723074673
200	12	6.518164005
400	12	4.544622614
800	12	1.962678315
100	24	5.891458925
200	24	4.492475154
400	24	2.55007453
800	24	1.770179161
100	48	4.736640736
200	48	2.612658249
400	48	2.444944993
800	48	1.846054643
100	0	15.05332524
200	0	9.416495442
400	0	4.176778429
800	0	2.030650993
100	12	7.334438975
200	12	5.231765267
400	12	2.929012355
800	12	1.325799354
100	24	6.778997378
200	24	3.457122673
400	24	3.550595561
800	24	2.190305519
100	48	4.51619106
200	48	3.929513891
400	48	1.77947746
800	48	1.805671604
100	0	17.55724125
200	0	10.45164851
400	0	3.962580028
800	0	1.598293263
100	12	11.94310699
200	12	6.819205828
400	12	2.336289202
800	12	1.666804943
100	24	4.302876489
200	24	5.2840339
400	24	2.040341691
800	24	1.692113296
100	48	3.636852982
200	48	3.074469582
400	48	1.812505186
800	48	1.000827178
100	0	21.8670406
200	0	7.054668205
400	0	3.646351857
800	0	1.537636789
100	12	6.330711709
200	12	5.501257629
400	12	2.846814947
800	12	1.658325095
100	24	4.481399981
200	24	6.109141694
400	24	3.025068682
800	24	1.907275385
100	48	2.90758815
200	48	2.481419313
400	48	2.130018728
800	48	1.654316988
