DOM	BRYO	total	spp
0	0	83	4
3.679328622	0	59.5	4
3.1	0	75.61	3
0	0	110.4	2
2.268041237	3.969072165	66	7
0	35.42533825	97.3	5
23.22222222	0.422222222	98.8	5
7.294067797	0.511864407	75.5	6
0	0.130590887	81.11	5
0	0.90726979	93.6	6
3.549544863	0.998309493	85.3	6
2.3952161	0.012606401	76.42	5
3.1	0.01	70.51	5
0	0	104.6	1
0	1.7	78.3	4
0.344521061	0	76.61	4
2.174087817	0.014493919	70.31	3
15.33050847	0	87.1	3
0	16.79046105	67.7	6
0	3	44.5	7
0	0	53.8	3
0	0	40.61	5
0	0	73.51	5
0	0	77.62	7
6.837286203	0	98.3	3
3.130346096	0.601989634	72.01	5
0	1.8	44.5	4
0	0	54.93	8
1.210909091	0.672727273	44.4	5
9.575757576	0	126.4	3
6.213320724	23.27171035	83.62	7
12.20330644	0.011622197	131.11	6
0	0	86.62	9
0.4	2.2	40.72	7
11.72091872	0	78.91	5
0	0	88.71	5
1.446026397	0.2224656	39.61	9
5.059456557	0	102.41	6
1.065590975	0.01065591	81.23	8
0.4	0.01	62.43	9
0.750627615	0.01251046	53.82	5
0	0	58.82	8
0	0	115.71	7
14.6	0	69	2
14.37573595	0.898483497	125.9	5
4.628918099	0	109	5
4	10.55555556	73	9
1.145582141	2.187020452	77.91	5
0	20.11613595	64.51	6
0	0	75.3	1
0	0	71	5
0	0	68.5	4
0.706060606	11.65	46.6	5
0	13.29154303	62.32	5
1.366465621	0.011387214	56.64	10
0	0	102.1	3
3.034642466	7.713049601	80.81	7
7.699338022	0.011158461	80.91	3
0	0.772936552	68.83	9
7.4	0	209.2	1
0	0	154.8	1
0	0	155.4	1
0	11.23423156	64.31	8
3.45519009	1.860486971	62.22	8
0	0	120.8	3
12.01008538	0	155.22	5
0	0	43.61	7
1.4	0.3	56.71	4
0	0.107152792	53.93	10
0	0	76.92	5
0	1.098727545	32.62	5
4	2.7	91.43	6
6.625617502	2.529781228	102.42	9
0	0.010572995	127.32	7
0	0	152.5	4
0.01	0.01	137.62	1
0	0	161.31	4
1.989361702	0	187	9
14.8542595	0.487024902	92.9	6
0	0	219.61	4
1.783619134	0	232.5	6
0	0	101.91	6
1.395552538	2.442216941	68.51	9
0	0.222667288	71.71	13
0.8	0	78.11	9
11.3	0	38.34	10
4.48522794	0	57.31	6
13.599182	0	50	4
30.72402076	0.927517608	93.83	13
15.20266721	0	75.61	5
0	0	118.61	7
3.347368421	0	63.6	4
21.6	0	51.3	5
0.8	0.1	33.85	13
5.682395382	0	52.01	9
29.48549618	0	71.2	3
9.00719323	0.010722849	60.82	7
3.531896856	0.012613917	35.71	5
25.5	0	90.6	5
8.3	0	59.81	4
20.79872909	0	84.41	5
20.84401034	15.86460787	80.62	7
12.66404339	0.012538657	54.33	6
8.191561181	0	57.1	4
9.8	0	83.4	7
2.1	0	40.01	4
15.31960784	20.37656577	78.13	12
0	35.2	62.22	7
49.3	0.5	91.44	7
15.8	0	65.41	5
24.01412502	0	77.43	9
16.62429749	0	73.73	7
0.3	0.01	56.42	8
9.483870968	0	38.5	4
16.33124592	12.87031963	66.32	8
4.015869489	0	92.81	4
27.9	8.8	94.01	6
1.8	0	58.6	4
13.31328413	1.587822878	66.2	6
14.5611336	11.88663968	84.41	7
8.692030414	0	83.42	6
19.25960113	0	92.21	4
15.6	0	48	5
7.697533632	0	62.42	4
8.495457582	0	74.81	6
3.5	13.5	55.42	8
4.444371674	0	33.93	6
31.9	0.5	85.53	9
19.90881774	0	68.71	5
4.874698795	46.30963855	86.7	7
22.60490798	1.856441718	60.52	7
2.292313466	0.010915778	72.71	5
4.026929546	2.208316203	69.51	6
6.105775076	0	50.22	8
1.785924139	0	50.91	4
7.436102236	0	47.5	7
19.2	0.4	64.63	7
12.77958	10.66817113	70.91	5
23.4	0.2	81.2	6
4.359077444	0.622725349	29.43	10
8.5	0	62.2	4
0	22.41191865	72.53	11
4.233400402	0.63501006	63.12	8
4.81953125	0	79.6	7
44.38895706	0	93	5
5.043849417	4.907529162	51.42	6
