N	size	farm
18.18014	96.48147	1
20.47343	98.64003	1
21.34757	99.36465	1
18.41299	93.19268	1
19.75629	98.39972	1
29.02022	99.53934	2
25.18396	104.4138	2
25.968	101.9247	2
27.77836	106.8442	2
27.27887	104.8441	2
12.7725	97.02734	3
15.3491	101.5088	3
17.49699	100.9461	3
17.13871	99.73882	3
14.80163	101.7369	3
24.25352	110.1122	4
23.33775	110.2449	4
22.47975	108.9124	4
24.26728	110.995	4
23.50835	107.9166	4
24.38196	107.4521	5
24.78257	105.3191	5
20.49479	103.4488	5
22.88978	101.3676	5
19.5066	103.3026	5
16.10668	103.8394	6
15.92913	101.6163	6
16.5276	105.2019	6
13.83546	102.1408	6
18.17074	103.2839	6
25.62996	92.5495	7
25.06923	92.79934	7
29.17695	96.08694	7
24.74094	91.60183	7
26.15852	91.71207	7
15.09465	103.2276	8
14.20204	106.2666	8
17.54298	104.3525	8
12.62626	100.1281	8
17.15813	106.733	8
17.43984	108.4658	9
13.65262	103.2917	9
12.47765	103.0872	9
19.07891	108.1755	9
14.10607	105.0851	9
15.81501	109.8585	10
17.77448	113.782	10
17.38928	107.3477	10
18.1262	110.1978	10
21.68179	117.505	10
25.27343	107.7401	11
24.71245	108.5788	11
23.32204	109.0364	11
21.04536	107.9831	11
20.81483	110.3611	11
12.51258	91.64084	12
15.38252	100.0904	12
18.16384	99.29641	12
12.65603	97.38062	12
15.19281	99.33618	12
17.63842	83.58492	13
16.94825	78.22893	13
14.49654	79.22557	13
15.88273	79.86374	13
14.18131	82.62936	13
22.72169	97.87992	14
24.68684	94.58558	14
24.77398	96.52827	14
26.72968	98.09285	14
27.70388	100.7225	14
26.69732	110.4905	15
22.17517	106.3133	15
25.09147	111.6095	15
25.31653	111.1612	15
25.20025	106.809	15
24.24677	94.35574	16
19.31652	91.9921	16
23.04581	94.91172	16
22.05699	95.90086	16
21.64345	99.25876	16
25.82001	97.62478	17
26.20724	98.67196	17
24.79571	96.11096	17
25.279	97.7603	17
25.39007	95.23152	17
17.94623	100.5459	18
11.93996	91.49128	18
18.24705	97.97491	18
17.13587	98.4119	18
11.45551	95.46206	18
21.11174	93.87668	19
18.59177	93.08238	19
18.83224	93.90733	19
22.66298	93.0875	19
18.60574	91.02742	19
20.43165	109.0086	20
20.4789	109.9598	20
14.81878	105.5384	20
16.61824	108.5892	20
23.34342	114.2939	20
12.77791	102.1663	21
15.33175	100.8528	21
16.35499	101.1888	21
20.14972	107.4761	21
17.37941	103.7662	21
17.07071	99.13464	22
19.79086	100.4389	22
21.08728	102.6686	22
19.1695	98.3481	22
22.10563	104.4833	22
17.96743	76.55943	23
20.56804	78.18361	23
23.74651	82.92604	23
18.52719	78.61935	23
19.66487	78.93581	23
15.4573	93.12872	24
14.03248	91.15116	24
18.39862	91.10887	24
15.02083	89.51195	24
15.35307	89.03599	24
