root	week	plant	fertilizer
1.3	2	ID1	added
3.5	4	ID1	added
7	6	ID1	added
8.1	8	ID1	added
10	10	ID1	added
2	2	ID2	added
3.5	4	ID2	added
5.5	6	ID2	added
7.2	8	ID2	added
9.1	10	ID2	added
1.7	2	ID3	added
3.2	4	ID3	added
5.8	6	ID3	added
7.5	8	ID3	added
9.4	10	ID3	added
2.6	2	ID4	added
4.4	4	ID4	added
6.23	6	ID4	added
7.5	8	ID4	added
11.1	10	ID4	added
1.1	2	ID5	added
4.4	4	ID5	added
5.2	6	ID5	added
7.1	8	ID5	added
8.8	10	ID5	added
1.3	2	ID6	added
3.1	4	ID6	added
6.1	6	ID6	added
7.3	8	ID6	added
9.3	10	ID6	added
1.7	2	ID7	control
2.6	4	ID7	control
4.7	6	ID7	control
6.3	8	ID7	control
8.8	10	ID7	control
1.5	2	ID8	control
2.7	4	ID8	control
4.1	6	ID8	control
6.4	8	ID8	control
8.2	10	ID8	control
1.2	2	ID9	control
2.1	4	ID9	control
4.1	6	ID9	control
5.9	8	ID9	control
8.2	10	ID9	control
1.1	2	ID10	control
2.3	4	ID10	control
4.1	6	ID10	control
6.2	8	ID10	control
8.8	10	ID10	control
1.2	2	ID11	control
2.4	4	ID11	control
4.1	6	ID11	control
5.6	8	ID11	control
8.3	10	ID11	control
0.8	2	ID12	control
1.4	4	ID12	control
3.5	6	ID12	control
5.1	8	ID12	control
7.7	10	ID12	control
