year	number	February
1950	1340.191574	19
1951	576.0957754	8
1952	1095.168871	17
1953	550.1206666	4
1954	1205.078441	7
1955	1411.164194	18
1956	810.0490741	6
1957	993.0647043	8
1958	698.0079331	8
1959	901.3443981	7
1960	550.5154998	9
1961	626.7274333	10
1962	1209.744574	11
1963	817.4719095	3
1964	1611.79838	21
1965	704.1015588	4
1966	583.6883184	5
1967	979.5876631	7
1968	701.4797058	3
1969	1249.865279	3
1970	1131.544503	7
1971	1225.087357	9
1972	1450.139829	7
1973	1063.980525	20
1974	582.2290022	2
1975	666.6597502	3
1976	680.1664035	8
1977	741.624675	7
1978	1077.474123	6
1979	1028.064301	4
1980	915.8815464	8
1981	1398.395869	17
1982	686.4008593	4
1983	1234.96525	10
1984	1041.799979	5
1985	1582.364697	16
1986	1157.509548	18
1987	751.5586848	4
1988	863.2456058	9
1989	862.4303601	5
1990	1604.32644	7
1991	1240.271324	3
1992	1414.61215	21
1993	641.549509	2
1994	862.9713956	6
1995	1032.37248	5
1996	1325.462799	7
1997	1601.214399	17
1998	857.4852458	3
1999	1102.655884	6
2000	1369.17384	6
2001	1129.040342	3
2002	1559.864046	7
