conc	yield	Batch
0	4	new
1	4.844105818	new
2	4.954732428	new
3	5.478255049	new
4	6.509203961	new
5	7.186546429	new
6	8.769750865	new
7	9.504326159	new
8	12.86272047	new
9	11.49572847	new
10	11.9304724	new
11	12.2836466	new
12	18.9504353	new
13	14.69870704	new
14	21.30948376	new
15	22.68792721	new
16	26.25976065	new
17	26.0121127	new
18	26.53406796	new
19	33.74438435	new
20	35.27100254	new
0	4	old
1	4.448129869	old
2	4.514418446	old
3	5.881726383	old
4	6.10487556	old
5	6.216823428	old
6	6.450691551	old
7	8.377986881	old
8	7.848361964	old
9	8.823038261	old
10	10.50642468	old
11	12.73151984	old
12	12.62129546	old
13	9.436974812	old
14	13.51584576	old
15	13.52436626	old
16	17.20661913	old
17	17.48135982	old
18	17.65302093	old
19	16.12661602	old
20	13.8437237	old
