site	quad	direct	drop	N	cb	cp	ov	sp	male	female	nymph
1	1	10	31.4	28	7	10	11	0	5	1	6
1	2	10.5	18.86666667	6	0	1	5	0	1	5	2
1	3	7	5.833333333	5	1	2	2	0	1	0	1
1	4	4.2	4.266666667	4	1	1	2	0	2	1	3
1	5	8.5	8.066666667	13	3	3	7	0	0	4	4
1	6	9.5	17.53333333	36	4	12	20	0	8	9	8
1	7	5	5	17	0	6	11	0	6	5	1
1	8	11	10.5	31	11	9	11	0	10	2	6
1	9	24	14.33333333	18	2	2	14	0	4	12	6
1	10	0.2	2.2	18	5	6	7	0	3	3	4
2	1	11	28.875	20	3	4	6	7	6	2	2
2	2	12	8.75	22	4	5	6	7	4	5	4
2	3	12	8.25	0	0	0	0	0	0	0	0
2	4	13	8.775	11	2	4	3	2	1	1	6
2	5	9	6.075	6	1	2	2	1	0	0	1
2	6	12.5	9.95	14	2	4	5	3	1	1	3
2	7	9	10.025	24	4	7	8	5	4	0	6
2	8	11	8.525	51	10	10	14	17	15	10	0
2	9	7	10.8	13	2	4	4	3	0	4	8
2	10	13	8.4	37	5	10	13	9	9	4	6
3	1	12	6.466666667	15	0	15	0	0	3	6	6
3	2	14	8.766666667	2	0	2	0	0	0	1	1
3	3	19	14	10	1	9	0	0	7	0	3
3	4	9	7.166666667	23	4	19	0	0	4	9	10
3	5	14	9	10	0	10	0	0	3	3	4
3	6	36	14.1	12	0	12	0	0	2	5	5
3	7	48	21.8	14	0	14	0	0	6	3	5
3	8	24	15	11	0	11	0	0	3	6	2
3	9	38	22	12	3	9	0	0	5	4	3
3	10	45	29	0	0	0	0	0	0	0	0
4	1	7	5.5	3	3	0	0	0	0	1	2
4	2	8	6.25	15	9	6	0	0	0	0	15
4	3	5.5	5.55	13	10	3	0	0	1	0	12
4	4	9	8.5	15	8	7	0	0	4	3	8
4	5	9	6.7	15	12	3	0	0	2	1	12
4	6	3.5	4.75	7	5	2	0	0	0	2	5
4	7	10.5	19.375	23	8	15	0	0	3	4	16
4	8	5	8.625	20	17	3	0	0	1	5	14
4	9	11	11.75	19	3	16	0	0	9	8	2
4	10	12.5	9.8	6	1	5	0	0	2	1	3
