subject	town	district	street	family	gender	replicate
0.6619806	A	d1	s1	f1	male	1
2.879195	A	d1	s1	f1	male	2
8.588237	A	d1	s1	f1	female	1
11.66618	A	d1	s1	f1	female	2
15.47548	A	d1	s1	f2	male	1
16.29736	A	d1	s1	f2	male	2
6.054205	A	d1	s1	f2	female	1
5.904179	A	d1	s1	f2	female	2
0.01	A	d1	s1	f3	male	1
0.01	A	d1	s1	f3	male	2
4.701072	A	d1	s1	f3	female	1
3.740198	A	d1	s1	f3	female	2
6.106496	A	d1	s2	f1	male	1
4.518274	A	d1	s2	f1	male	2
8.026298	A	d1	s2	f1	female	1
6.948835	A	d1	s2	f1	female	2
4.50793	A	d1	s2	f2	male	1
3.991323	A	d1	s2	f2	male	2
6.809771	A	d1	s2	f2	female	1
6.477788	A	d1	s2	f2	female	2
0.01	A	d1	s2	f3	male	1
0.01	A	d1	s2	f3	male	2
0.01	A	d1	s2	f3	female	1
0.01	A	d1	s2	f3	female	2
0.01	A	d1	s3	f1	male	1
0.01	A	d1	s3	f1	male	2
6.790752	A	d1	s3	f1	female	1
6.648476	A	d1	s3	f1	female	2
3.449483	A	d1	s3	f2	male	1
4.503383	A	d1	s3	f2	male	2
2.415385	A	d1	s3	f2	female	1
3.052966	A	d1	s3	f2	female	2
5.791482	A	d1	s3	f3	male	1
4.732365	A	d1	s3	f3	male	2
9.991294	A	d1	s3	f3	female	1
10.50397	A	d1	s3	f3	female	2
11.60749	A	d1	s4	f1	male	1
13.46555	A	d1	s4	f1	male	2
11.90587	A	d1	s4	f1	female	1
11.72454	A	d1	s4	f1	female	2
9.74167	A	d1	s4	f2	male	1
8.725872	A	d1	s4	f2	male	2
0.01	A	d1	s4	f2	female	1
0.01	A	d1	s4	f2	female	2
0.944318	A	d1	s4	f3	male	1
1.298413	A	d1	s4	f3	male	2
11.05687	A	d1	s4	f3	female	1
10.71421	A	d1	s4	f3	female	2
11.20633	A	d2	s1	f1	male	1
10.71834	A	d2	s1	f1	male	2
15.16012	A	d2	s1	f1	female	1
15.44777	A	d2	s1	f1	female	2
12.2886	A	d2	s1	f2	male	1
11.83958	A	d2	s1	f2	male	2
10.64832	A	d2	s1	f2	female	1
9.212352	A	d2	s1	f2	female	2
10.72369	A	d2	s1	f3	male	1
9.581257	A	d2	s1	f3	male	2
12.76584	A	d2	s1	f3	female	1
12.75435	A	d2	s1	f3	female	2
8.270953	A	d2	s2	f1	male	1
8.266839	A	d2	s2	f1	male	2
2.380743	A	d2	s2	f1	female	1
4.66302	A	d2	s2	f1	female	2
9.799552	A	d2	s2	f2	male	1
9.161448	A	d2	s2	f2	male	2
10.41292	A	d2	s2	f2	female	1
11.28436	A	d2	s2	f2	female	2
2.195272	A	d2	s2	f3	male	1
2.475312	A	d2	s2	f3	male	2
6.556589	A	d2	s2	f3	female	1
5.293934	A	d2	s2	f3	female	2
10.49016	A	d2	s3	f1	male	1
8.625669	A	d2	s3	f1	male	2
13.16962	A	d2	s3	f1	female	1
10.98768	A	d2	s3	f1	female	2
3.04656	A	d2	s3	f2	male	1
3.728362	A	d2	s3	f2	male	2
11.23803	A	d2	s3	f2	female	1
13.30879	A	d2	s3	f2	female	2
1.702212	A	d2	s3	f3	male	1
2.457424	A	d2	s3	f3	male	2
8.956464	A	d2	s3	f3	female	1
7.730216	A	d2	s3	f3	female	2
4.62492	A	d2	s4	f1	male	1
4.561135	A	d2	s4	f1	male	2
5.844032	A	d2	s4	f1	female	1
8.525866	A	d2	s4	f1	female	2
4.777284	A	d2	s4	f2	male	1
5.557087	A	d2	s4	f2	male	2
13.52418	A	d2	s4	f2	female	1
14.16895	A	d2	s4	f2	female	2
6.471825	A	d2	s4	f3	male	1
5.94735	A	d2	s4	f3	male	2
11.15753	A	d2	s4	f3	female	1
11.3682	A	d2	s4	f3	female	2
0.01	A	d3	s1	f1	male	1
0.01	A	d3	s1	f1	male	2
4.715916	A	d3	s1	f1	female	1
5.228295	A	d3	s1	f1	female	2
3.973444	A	d3	s1	f2	male	1
3.981231	A	d3	s1	f2	male	2
4.96178	A	d3	s1	f2	female	1
4.599041	A	d3	s1	f2	female	2
8.775453	A	d3	s1	f3	male	1
6.700645	A	d3	s1	f3	male	2
11.93754	A	d3	s1	f3	female	1
10.96116	A	d3	s1	f3	female	2
2.263072	A	d3	s2	f1	male	1
0.2618591	A	d3	s2	f1	male	2
7.419957	A	d3	s2	f1	female	1
8.02594	A	d3	s2	f1	female	2
10.37418	A	d3	s2	f2	male	1
12.81642	A	d3	s2	f2	male	2
6.974825	A	d3	s2	f2	female	1
8.006286	A	d3	s2	f2	female	2
5.013546	A	d3	s2	f3	male	1
4.192765	A	d3	s2	f3	male	2
14.54785	A	d3	s2	f3	female	1
13.20773	A	d3	s2	f3	female	2
9.79232	A	d3	s3	f1	male	1
10.51047	A	d3	s3	f1	male	2
3.126418	A	d3	s3	f1	female	1
4.991388	A	d3	s3	f1	female	2
