response	treatment
16.3	A
12.8	A
12.4	A
3.3	A
5.4	A
20.0	A
20.5	A
5.6	A
6.6	A
18.0	A
27.0	A
4.4	A
28.9	A
14.6	A
30.8	A
18.6	A
23.6	A
3.0	A
22.1	A
4.1	A
7.8	A
7.2	A
14.6	B
14.1	B
6.3	B
2.8	B
3.9	B
18.2	B
20.6	B
4.9	B
9.8	B
21.0	B
19.0	B
3.6	B
11.8	B
14.1	B
22.6	B
12.2	B
19.1	B
3.0	B
5.3	B
3.7	B
3.9	B
4.0	B
16.6	C
32.7	C
7.2	C
2.5	C
3.8	C
28.3	C
21.3	C
14.1	C
11.5	C
23.4	C
33.0	C
3.6	C
40.8	C
15.0	C
20.7	C
25.1	C
24.0	C
4.1	C
20.5	C
27.7	C
16.4	C
3.1	C
16.4	D
22.0	D
5.1	D
3.3	D
2.9	D
24.6	D
20.3	D
7.8	D
5.1	D
18.7	D
16.0	D
3.3	D
22.5	D
11.8	D
20.5	D
16.0	D
24.0	D
3.4	D
10.4	D
19.4	D
10.3	D
11.1	D
