incidence	area	isolation	quality	enemy	competitors
1	7.928	3.317	3	18.146	8.434
0	1.925	7.554	8	9.266	252.312
1	2.045	5.883	8	9.215	304.363
0	4.781	5.932	2	14.253	3.129
0	1.536	5.308	3	8.68	20.917
1	7.369	4.934	4	17.56	17.886
1	8.599	2.882	6	18.622	2.098
0	2.422	8.771	7	10.299	32.51
1	6.403	6.092	3	16.4	2.044
1	7.199	6.977	3	17.46	413.624
0	2.654	7.748	8	10.733	946.642
1	4.128	4.297	5	12.989	12.765
0	4.175	8.516	3	13.349	1.124
1	7.098	3.318	2	16.788	8.899
0	2.392	9.292	5	10.425	18.025
1	8.69	5.923	2	19.071	15.88
1	4.667	4.997	9	13.726	1.009
1	2.307	2.434	3	10.202	3.764
1	1.053	6.842	3	7.184	35.766
0	0.657	6.452	2	5.615	30.293
1	5.632	2.506	7	15.009	11.521
1	5.895	6.613	6	15.34	92.411
0	4.855	9.577	6	13.963	566.944
1	8.241	6.33	5	18.924	7.125
1	2.898	6.649	3	11.16	12.771
1	4.445	5.032	3	14.119	230.498
1	6.027	2.023	3	15.82	9.924
0	1.574	5.737	1	8.784	41.596
0	2.7	5.762	3	10.677	892.876
0	3.106	6.924	9	11.947	42.399
0	4.33	7.262	5	13.391	8.114
1	7.799	3.219	8	18.026	5.378
0	4.63	9.229	2	14.413	989.395
1	6.951	5.841	7	17.235	11.122
0	0.859	9.294	4	6.615	8.953
1	3.657	2.759	8	12.082	1.469
0	2.696	8.342	8	11.212	23.086
0	4.171	8.805	6	13.328	18.371
1	8.063	2.274	1	18.777	4.862
0	0.153	5.65	7	3.095	1.581
1	1.948	5.447	3	9.573	910.289
1	2.006	5.48	1	9.387	554.552
1	6.508	4.007	3	16.857	61.702
1	1.501	5.4	9	8.681	42.6
1	9.269	5.272	5	19.236	19.9
1	4.17	4.786	5	13.352	252.506
0	3.376	5.219	1	11.904	15.713
0	2.228	7.99	1	9.43	4.884
0	1.801	8.466	6	8.55	2.186
1	6.441	3.451	8	16.718	15.108
