incidence	area	isolation
1	7.928	3.317
0	1.925	7.554
1	2.045	5.883
0	4.781	5.932
0	1.536	5.308
1	7.369	4.934
1	8.599	2.882
0	2.422	8.771
1	6.403	6.092
1	7.199	6.977
0	2.654	7.748
1	4.128	4.297
0	4.175	8.516
1	7.098	3.318
0	2.392	9.292
1	8.69	5.923
1	4.667	4.997
1	2.307	2.434
1	1.053	6.842
0	0.657	6.452
1	5.632	2.506
1	5.895	6.613
0	4.855	9.577
1	8.241	6.33
1	2.898	6.649
1	4.445	5.032
1	6.027	2.023
0	1.574	5.737
0	2.7	5.762
0	3.106	6.924
0	4.33	7.262
1	7.799	3.219
0	4.63	9.229
1	6.951	5.841
0	0.859	9.294
1	3.657	2.759
0	2.696	8.342
0	4.171	8.805
1	8.063	2.274
0	0.153	5.65
1	1.948	5.447
1	2.006	5.48
1	6.508	4.007
1	1.501	5.4
1	9.269	5.272
1	4.17	4.786
0	3.376	5.219
0	2.228	7.99
0	1.801	8.466
1	6.441	3.451
