code	overlap	reprod	NAO	density	age
ALB93	0.51494439	0	-0.2	328	4
ALB93	0.314282485	0	0.72	347	5
ALB94	0.764509024	0	0.72	347	4
ALD01	0.259804499	0	0.12	291	4
ALD01	0.100044621	0	0.12	291	5
ALD91	0.971173761	0	3.96	265	4
ALD91	0.794936048	0	-3.78	299	5
ALD91	0.978659104	1	-0.2	328	6
ALD91	0.802634976	0	0.72	347	7
ALD91	0.607750116	1	1.7	359	8
ALD94	0.99436235	0	0.72	347	4
ALD95	0.740910794	0	1.7	359	4
ALD98	0.728341692	0	0.76	284	4
ALD98	0.784000496	1	0.2	247	5
ALD98	0.391545567	0	0.12	291	7
ANK89	0.81153865	0	2.67	297	4
ANM02	0.944834063	0	0.12	291	4
APH91	0.999969032	1	3.96	265	4
APH91	0.304395435	0	-3.78	299	5
ARI96	0.899911329	0	2.8	336	4
ARI96	0.513517101	1	-1.89	271	5
ARI96	0.931472013	0	0.76	284	6
ARI99	0.716532714	1	0.2	247	4
ASP78	0.939301603	0	0.8	272	4
ASP78	0.736363946	0	3.42	293	5
ASP78	0.866469252	0	1.6	302	6
ASP78	0.359918227	0	-0.63	307	7
AST90	0.648632495	0	3.03	243	4
AST90	0.822750907	0	3.96	265	5
AST90	0.639693325	0	-3.78	299	6
AST90	0.460425968	0	-0.2	328	7
AST90	0.751331474	0	0.72	347	8
ATH87	0.795679853	0	1.03	331	4
ATH87	0.703030711	0	2.67	297	6
ATH87	0.614707418	1	3.03	243	7
ATH87	0	0	3.96	265	8
ATH89	0.924066163	0	2.67	297	4
ATH89	0.60291478	1	3.03	243	5
ATH89	0	0	3.96	265	6
AVO89	0.295249045	0	2.67	297	4
BAC98	0.725563418	0	0.76	284	4
BAC98	0.92965536	1	0.2	247	5
BAR79	0.927668199	0	3.42	293	4
BAR79	0.558238455	0	1.6	302	5
BAR79	0.610735469	1	-0.63	307	6
BAR80	0.395556595	0	1.6	302	4
BAR80	0.406107946	1	-0.63	307	5
BCL84	0.964838891	0	0.72	325	4
BCL84	0.60664049	0	3.96	318	6
BCL84	0.938379158	0	1.03	331	7
BCL84	0.486114452	0	2.67	297	9
BCL87	0.90047426	0	1.03	331	4
BCL87	0.471214359	0	2.67	297	6
BCL93	0.935153702	0	-0.2	328	4
BEE90	0.526035749	0	3.03	243	4
BEE93	0.779240504	0	-0.2	328	4
BEE93	0.678422431	0	0.72	347	5
BEE94	0.64223034	0	0.72	347	4
BET73	0.088945665	1	0.17	296	5
BET73	0.084272371	1	-2.25	323	6
BET73	0.006282002	0	0.56	296	7
BET73	0	0	2.05	293	8
BIE01	0.911168411	0	0.12	291	4
BIE01	0.842500264	1	0.12	291	5
BIE97	0.691111503	0	-1.89	271	4
BIE97	0.848964177	0	0.76	284	5
BIE97	0.965615111	1	0.2	247	6
BIE97	0.751943888	0	0.12	291	8
BIE97	0.592608345	1	0.12	291	9
BIG76	0.539870044	0	0.56	296	4
BIG76	0.932243242	0	2.05	293	5
BLC83	0.903069549	0	-0.75	309	4
BLC83	0.523802498	0	0.72	325	5
BLC83	0.963765883	0	3.96	318	7
BLO72	0.815350032	0	1.37	251	4
BLO72	0.966557283	1	0.17	296	6
BLO72	0.280252566	0	-2.25	323	7
BLO72	0.507326312	0	0.56	296	8
BLO72	0.709075184	0	2.05	293	9
BLO72	0.702030457	1	0.8	272	10
BLO72	0.243552125	1	1.6	302	12
BLO72	0.781503322	0	-0.63	307	13
BLO75	0.808800919	0	-2.25	323	4
BLO75	0.990733199	1	0.56	296	5
BLO75	1	0	2.05	293	6
BLO75	0.425847959	0	0.8	272	7
BLO75	0.188299181	0	1.6	302	9
BLO75	0.845950438	1	-0.63	307	10
BLO80	0.7805974	0	1.6	302	4
BLO80	0.960161105	0	-0.63	307	5
BLT68	0.603819012	1	1.37	251	8
BLT68	0.550601278	0	0.17	296	10
BLT68	0.693948188	1	-2.25	323	11
BLT68	0.558792501	0	0.56	296	12
BLT69	0.527367065	1	1.37	251	7
BLT69	0.146371072	1	0.17	296	9
BLT69	0.859593495	0	-2.25	323	10
BLT69	0.336651112	0	0.56	296	11
BLT73	0.830322016	1	0.17	296	5
BLT73	0.833777242	0	-2.25	323	6
BLT73	0.671708762	1	0.56	296	7
BLT75	0.812586973	0	-2.25	323	4
BLT75	0.716000795	0	0.56	296	5
BNX93	0.962191674	0	-0.2	328	4
BNX93	0.943142768	0	0.72	347	5
BNX93	0.901997647	0	1.7	359	6
BNX93	0.831872898	0	2.8	336	7
BNX94	0.912498035	0	0.72	347	4
BNX94	0.76604413	0	1.7	359	5
BNX94	0.737517751	0	2.8	336	6
BNX95	0.963508171	0	1.7	359	4
BNX95	0.868110619	0	2.8	336	5
BOT79	0.885084174	0	3.42	293	4
BOT79	0.882410879	1	1.6	302	5
BOT79	0.149631313	0	-0.63	307	6
BR274	0.954266346	0	0.17	296	4
BR274	0.998628286	0	-2.25	323	5
BR274	0.741232993	0	0.56	296	6
BR274	0.286665118	0	2.05	293	7
BR274	0.349311185	0	0.8	272	8
BRA72	0.985087564	0	1.37	251	4
BRA72	0.870551201	0	0.17	296	6
BRA72	0.363354502	1	-2.25	323	7
BRA72	0.684471586	0	0.56	296	8
BRA72	0.957053787	0	2.05	293	9
BRA72	0.392649973	0	0.8	272	10
BRA77	0.920820189	1	2.05	293	4
BRF79	0.996728148	0	3.42	293	4
BST73	0.73731177	0	0.17	296	5
BUC82	0.666233667	0	-0.75	309	5
BUC82	0.867991512	0	0.72	325	6
BUC82	0.600462542	0	5.08	365	7
BUC82	0.867990673	1	3.96	318	8
BUL65	0.616178404	0	1.63	222	10
BUL65	0.367682004	0	1.37	251	11
BUL70	0.439278762	0	1.63	222	5
BUL70	0.398724337	1	1.37	251	6
BUL71	0.652185276	0	1.63	222	4
BUL71	0.552435555	0	1.37	251	5
BUT02	0.858578668	0	0.12	291	4
BUT96	0.92474064	0	2.8	336	4
BUT96	0.237732352	1	-1.89	271	5
BUT96	0.256725059	0	0.76	284	6
BUT96	0.360423145	1	0.2	247	7
BUT96	0.799513912	0	0.12	291	9
BUT96	0.211241452	1	0.12	291	10
BUT98	0.873331045	0	0.76	284	4
BUT98	0.673674449	0	0.2	247	5
BUT98	0.924644442	0	0.12	291	7
BUT98	0.083869032	0	0.12	291	8
CAF89	0.859307596	0	2.67	297	4
CAF89	0.899229338	0	3.03	243	5
CAF89	0.558175297	1	3.96	265	6
CAF89	0.490077596	0	-3.78	299	7
CAF89	0.853836349	0	-0.2	328	8
CAF89	0.461784512	1	0.72	347	9
CAF89	0.655562939	1	1.7	359	10
CAF93	0.982753475	0	-0.2	328	4
CAF93	0.989930566	0	0.72	347	5
CAF93	0.890018111	0	1.7	359	6
CAL82	0.86551369	0	-0.75	309	5
CAL82	0.954444375	1	0.72	325	6
CAL84	0.874655403	0	0.72	325	4
CAN80	1	0	1.6	302	4
CAN80	0.816749106	1	-0.63	307	5
CAN80	0.189916998	0	0.72	325	8
CAN80	0.930421113	1	3.96	318	10
CAN82	0.325051384	1	0.72	325	6
CAN82	0.867639674	0	3.96	318	8
CAN83	0.298498062	0	0.72	325	5
CAP84	0.895313182	0	0.72	325	4
CAP84	0.985683484	0	5.08	365	5
CCO87	0.848366124	0	1.03	331	4
CCO87	0.742298617	0	2.67	297	6
CCO87	0.454855989	0	3.03	243	7
CCO87	0.895612413	0	3.96	265	8
CCO87	0.930309076	0	-3.78	299	9
CCO87	0.890483499	0	-0.2	328	10
CCO87	0.97210335	1	0.72	347	11
CED00	0.004351862	1	0.12	291	5
CED00	0	0	0.12	291	6
CED02	0.03643693	0	0.12	291	4
CED99	0.537661854	0	0.2	247	4
CED99	0.210904625	0	0.12	291	6
CEL95	0.780790018	0	1.7	359	4
CFU82	0.844279924	0	0.72	325	6
CFU82	0.695936282	0	3.96	318	8
CGH94	0.841899888	0	0.72	347	4
CGH94	0.965690346	0	1.7	359	5
