x	y	group
2.918896	8.587122	2
10.72451	8.194907	1
5.588091	10.38289	2
6.619314	5.399704	5
8.725792	4.253471	5
9.923255	3.216071	4
14.64689	16.5483	3
4.262558	11.3368	2
10.40412	10.27264	1
10.55695	6.609653	4
15.30275	8.549208	4
10.95005	18.3148	6
8.929611	9.898636	1
5.477392	9.868928	2
7.639568	13.54754	6
6.680422	5.161953	5
14.02009	11.28162	3
6.224909	4.80524	5
12.42182	7.198146	4
16.0024	12.94647	3
15.59037	12.26833	3
4.64051	10.04774	2
7.63478	13.16352	6
13.95365	12.7092	3
10.42732	15.14674	6
11.58403	9.249381	1
4.698836	10.80574	2
5.528493	4.569669	5
8.869537	9.03882	1
5.070471	9.944454	2
9.242725	8.552754	1
7.969769	14.9523	6
12.09262	3.380335	4
9.69953	12.08455	1
16.311	13.70875	3
8.942188	16.89879	6
5.514764	11.2388	2
6.421327	10.40389	2
7.761693	5.617214	5
6.354821	4.713681	5
14.76544	14.73696	3
13.02928	6.379092	4
8.117376	17.63638	6
10.56271	14.02439	6
4.558372	7.221654	2
16.31321	14.55437	3
18.69107	13.54432	3
14.21598	14.32683	3
9.052764	11.05185	1
13.59413	13.26766	3
15.58408	16.08351	3
6.806346	4.113749	5
6.016622	3.758061	5
16.06324	12.21247	3
6.158649	8.958623	2
5.379908	12.94142	2
10.24719	17.20267	6
9.944655	9.504145	1
3.932923	9.892167	2
10.36849	16.72762	6
10.72235	10.00438	1
13.4962	8.203497	4
14.36374	17.41195	3
3.748605	9.79531	2
16.91929	14.10903	3
9.840207	9.859297	1
9.718652	9.44169	1
5.146409	10.10017	2
10.42776	10.23967	1
6.70813	13.05876	2
7.838193	16.75693	6
9.03997	17.42848	6
18.07091	13.41745	3
6.802197	2.040751	5
12.91702	15.00143	3
14.4922	15.98459	3
4.594967	8.329824	2
17.29859	9.136394	4
14.69826	6.420159	4
8.261436	16.56633	6
9.374118	16.95766	6
14.22925	6.599133	4
8.415867	17.37536	6
16.92312	11.52429	3
7.302881	3.734169	5
9.186262	15.43222	6
19.09283	11.27708	3
10.30125	11.02451	1
14.89236	7.305506	4
7.961518	7.243157	5
7.917227	17.40853	6
14.50486	7.065129	4
5.905841	8.59511	2
10.88804	7.073353	4
12.59735	8.435864	4
4.916355	4.374423	5
6.940557	7.482501	5
6.522735	3.457934	5
9.336785	2.153673	5
6.834045	15.57116	6
6.729555	9.019888	2
9.90666	14.86532	6
11.59661	7.871892	4
9.129584	9.802035	1
12.41932	5.479698	4
12.97766	6.574947	4
15.10846	12.77753	3
7.64236	5.505463	5
5.898718	9.804006	2
7.33486	2.60316	5
11.34521	9.415352	4
10.72133	10.37762	1
14.15117	15.5526	3
8.939836	3.344822	5
3.746197	9.693975	2
16.36108	11.18955	3
9.085757	16.28183	6
6.204956	7.576287	5
5.65896	12.6113	2
17.47593	13.58448	3
14.54664	6.667985	4
10.43427	16.00524	6
11.55559	17.87002	6
5.574312	5.137273	5
10.21113	2.557794	5
9.617205	15.67634	6
7.931258	6.924926	5
12.06716	5.849316	4
10.11411	9.43258	1
6.255621	2.620698	5
9.591504	10.49739	1
8.569407	3.952028	5
5.671677	6.591528	2
12.12301	18.73368	6
4.061823	3.964491	5
4.321099	7.697662	2
7.069798	5.515823	5
10.59906	8.337005	1
11.13808	16.09491	6
7.178631	4.492794	5
8.705759	9.156585	1
9.330257	3.40599	5
14.81576	15.38886	3
4.783938	6.768952	5
4.755212	10.29709	2
