species	density	lambda
AP	3	71.75
AP	7	105.0466667
AP	15	89.58955556
AP	30	68.52433333
AP	60	41.7445
AP	250	16.01448
AP	500	11.29504667
AP	1000	5.786513333
AP	2000	3.442825
AP	4000	1.6988625
AT	30	338.4
AT	60	116.8666667
AT	150	74.98666667
AT	300	61.53333333
AT	600	30.96666667
AT	1200	16.25666667
AT	2500	13.368
AT	5000	7.498833333
AT	10000	4.082
AT	20000	2.2629
CG	30	236.9
CG	60	80.81388889
CG	150	52.6825
CG	300	37.28166667
CG	600	27.27506944
CG	1200	9.749756944
CG	2500	6.59855
CG	5000	2.934091667
CG	10000	0.823691667
CG	20000	1.153703125
EV	23	151.5652174
EV	30	63.35
EV	45	76.76666667
EV	60	47.94375
EV	113	41.16371681
EV	150	46.62
EV	225	20.34666667
EV	300	32.515
EV	450	20.13666667
EV	600	15.61
EV	900	15.19
EV	1200	11.265625
EV	1875	7.9576
EV	2500	4.9581
EV	3750	3.7576
EV	5000	2.82975
EV	7500	2.1196
EV	10000	1.560825
EV	20000	1.615425
MD	3	44.29166667
MD	7	51.65904762
MD	15	39.962
MD	30	33.65877778
MD	60	16.8705
MD	250	7.20508
MD	500	4.47712
MD	1000	1.901563333
MD	2000	0.867393333
MD	4000	0.24934
OP	3	0
OP	7	44.40238095
OP	15	23.02444444
OP	30	23.00555556
OP	60	17.70111111
OP	125	10.57266667
OP	250	4.117866667
OP	500	4.255833333
OP	1000	2.120033333
OP	2000	1.832075
VA	30	279.7333333
VA	60	110.2222222
VA	150	48.85777778
VA	300	29.76888889
VA	600	13.09555556
VA	1200	6.249444444
VA	2500	3.141866667
VA	5000	1.4296
VA	10000	0.5896
VA	20000	0.3765
