fate	fly	cage	dish	site	trt	size
2	0	25	80	1	2	1.544616388
2	0	25	80	1	2	1.50089589
2	0	25	80	1	2	1.443169125
2	0	25	80	1	2	1.414305743
2	0	25	80	1	2	1.413716694
2	0	25	80	1	2	1.387536755
2	0	25	80	1	2	1.361356817
2	0	25	80	1	2	1.346761501
2	0	25	80	1	2	1.335176878
2	0	25	80	1	2	1.323134106
2	0	25	80	1	2	1.308996939
2	0	25	80	1	2	1.299506711
2	0	25	80	1	2	1.252251922
2	0	25	80	1	2	1.230457123
2	0	25	80	1	2	1.230457123
2	0	25	80	1	2	1.151917306
2	0	25	80	1	2	1.145110522
2	0	25	80	1	2	1.123904772
2	0	25	80	1	2	1.123904772
2	0	25	80	1	2	1.102699021
2	0	25	80	1	2	1.097070335
2	0	25	80	1	2	1.081493271
2	0	25	80	1	2	1.059240323
2	0	25	80	1	2	1.03908177
2	0	25	80	1	2	1.015977974
2	0	25	80	1	2	1.015977974
2	0	25	80	1	2	0.964665294
2	0	25	80	1	2	0.870090265
2	0	25	80	1	2	0.854513202
2	0	25	80	1	2	0.618501054
1	1	25	80	1	2	1.230457123
1	1	25	80	1	2	1.102699021
1	1	25	80	1	2	1.01787602
1	1	25	80	1	2	0.813345248
2	0	25	80	2	2	1.868985829
2	0	25	80	2	2	1.674076185
2	0	25	80	2	2	1.674076185
2	0	25	80	2	2	1.645212803
2	0	25	80	2	2	1.39401629
2	0	25	80	2	2	1.335176878
2	0	25	80	2	2	1.204997132
2	0	25	80	2	2	1.187522023
2	0	25	81	1	2	1.868985829
2	0	25	81	1	2	1.558622655
2	0	25	81	1	2	1.544616388
2	0	25	81	1	2	1.413716694
2	0	25	81	1	2	1.361356817
2	0	25	81	1	2	1.346761501
2	0	25	81	1	2	1.299506711
2	0	25	81	1	2	1.228624527
2	0	25	81	1	2	1.204277184
2	0	25	81	1	2	1.181369737
2	0	25	81	1	2	1.181369737
2	0	25	81	1	2	1.181369737
2	0	25	81	1	2	1.178097245
2	0	25	81	1	2	1.134114948
2	0	25	81	1	2	1.081493271
2	0	25	81	1	2	1.060287521
2	0	25	81	1	2	1.060287521
2	0	25	81	1	2	1.03908177
2	0	25	81	1	2	1.01787602
2	0	25	81	1	2	1.01787602
2	0	25	81	1	2	0.996670269
2	0	25	81	1	2	0.9835803
2	0	25	81	1	2	0.975464519
2	0	25	81	1	2	0.954258769
2	0	25	81	1	2	0.954258769
2	0	25	81	1	2	0.926835283
2	0	25	81	1	2	0.907920277
2	0	25	81	1	2	0.889005271
2	0	25	81	1	2	0.85117526
2	0	25	81	1	2	0.832260254
2	0	25	81	1	2	0.804247719
2	0	25	81	1	2	0.794430242
2	0	25	81	1	2	0.703716754
2	0	25	81	1	2	0.703716754
2	0	25	81	2	2	1.252251922
2	0	25	82	1	2	1.674076185
2	0	25	82	1	2	1.647241748
2	0	25	82	1	2	1.583886296
2	0	25	82	1	2	1.529759273
2	0	25	82	1	2	1.518436449
2	0	25	82	1	2	1.466076572
2	0	25	82	1	2	1.335176878
2	0	25	82	1	2	1.335176878
2	0	25	82	1	2	1.208727773
2	0	25	82	1	2	1.204997132
2	0	25	82	1	2	1.134114948
2	0	25	82	1	2	1.086860158
2	0	25	82	1	2	1.081493271
2	0	25	82	1	2	1.060287521
2	0	25	82	1	2	1.060287521
2	0	25	82	1	2	1.03908177
2	0	25	82	1	2	1.03908177
2	0	25	82	1	2	0.996670269
2	0	25	82	1	2	0.996670269
2	0	25	82	1	2	0.9835803
2	0	25	82	1	2	0.870090265
1	1	25	82	1	2	1.529759273
1	1	25	82	1	2	0.926835283
2	0	24	76	1	2	1.361356817
2	0	24	76	1	2	1.361356817
2	0	24	76	1	2	1.335176878
2	0	24	76	1	2	1.282817
2	0	24	76	1	2	1.256637061
2	0	24	76	1	2	1.252251922
2	0	24	76	1	2	1.252251922
2	0	24	76	1	2	1.230457123
2	0	24	76	1	2	1.204997132
2	0	24	76	1	2	1.181369737
2	0	24	76	1	2	1.181369737
2	0	24	76	1	2	1.157742343
2	0	24	76	1	2	1.110487553
2	0	24	76	1	2	1.102699021
2	0	24	76	1	2	1.060287521
2	0	24	76	1	2	1.060287521
2	0	24	76	1	2	1.060287521
2	0	24	76	1	2	1.060287521
2	0	24	76	1	2	1.03908177
2	0	24	76	1	2	1.01787602
2	0	24	76	1	2	1.01787602
2	0	24	76	1	2	1.01787602
2	0	24	76	1	2	0.992350579
2	0	24	76	1	2	0.964665294
2	0	24	76	1	2	0.954258769
2	0	24	76	1	2	0.945750288
2	0	24	76	1	2	0.945750288
2	0	24	76	1	2	0.945750288
2	0	24	76	1	2	0.85117526
2	0	24	76	1	2	0.837758041
2	0	24	76	1	2	0.787492558
2	0	24	76	1	2	0.753982237
2	0	24	76	1	2	0.6626797
2	0	24	76	1	2	0.618501054
2	0	24	76	2	2	1.61634942
2	0	24	76	2	2	1.413716694
2	0	24	76	2	2	1.299506711
2	0	24	76	2	2	1.299506711
2	0	24	77	1	2	1.282817
2	0	24	77	1	2	1.125737368
2	0	24	77	1	2	1.086860158
2	0	24	77	1	2	0.933053018
2	0	24	77	1	2	0.933053018
2	0	24	77	1	2	0.870090265
2	0	24	77	1	2	0.870090265
2	0	24	77	1	2	0.870090265
2	0	24	77	1	2	0.870090265
2	0	24	77	1	2	0.85117526
2	0	24	77	1	2	0.794430242
2	0	24	77	1	2	0.787492558
2	0	24	77	1	2	0.703716754
2	0	24	77	1	2	0.589048623
1	1	24	77	1	2	1.178097245
1	1	24	77	1	2	0.870090265
2	0	24	78	1	2	1.414305743
2	0	24	78	1	2	1.282817
2	0	24	78	1	2	1.256637061
2	0	24	78	1	2	1.230457123
2	0	24	78	1	2	1.204997132
2	0	24	78	1	2	1.204277184
2	0	24	78	1	2	1.151917306
2	0	24	78	1	2	1.110487553
2	0	24	78	1	2	1.086860158
2	0	24	78	1	2	1.07337749
2	0	24	78	1	2	1.063232764
2	0	24	78	1	2	1.03908177
2	0	24	78	1	2	1.01787602
2	0	24	78	1	2	0.992350579
2	0	24	78	1	2	0.975464519
2	0	24	78	1	2	0.954258769
2	0	24	78	1	2	0.933053018
2	0	24	78	1	2	0.933053018
2	0	24	78	1	2	0.911847268
2	0	24	78	1	2	0.889005271
2	0	24	78	1	2	0.869435767
2	0	24	78	1	2	0.837758041
2	0	24	78	1	2	0.794430242
2	0	24	78	1	2	0.787492558
2	0	24	78	1	2	0.775515237
2	0	24	78	1	2	0.670206433
2	0	24	78	1	2	0.475624038
2	0	24	79	1	2	1.256637061
2	0	24	79	1	2	1.181369737
2	0	24	79	1	2	1.157742343
2	0	24	79	1	2	1.086860158
2	0	24	79	1	2	1.086860158
2	0	24	79	1	2	1.081493271
2	0	24	79	1	2	1.03908177
2	0	24	79	1	2	0.996670269
2	0	24	79	1	2	0.945750288
2	0	24	79	1	2	0.926835283
2	0	24	79	1	2	0.926835283
2	0	24	79	1	2	0.926835283
2	0	24	79	1	2	0.911847268
2	0	24	79	1	2	0.890641517
2	0	24	79	1	2	0.870090265
2	0	24	79	1	2	0.85117526
2	0	24	79	1	2	0.85117526
2	0	24	79	1	2	0.756600231
2	0	24	79	1	2	0.753982237
2	0	23	73	1	2	0.603774838
2	0	23	73	1	2	0.559596191
2	0	23	73	1	2	0.559596191
2	0	23	73	1	2	0.53014376
2	0	23	73	1	2	0.50029863
2	0	23	73	1	2	0.48747046
2	0	23	73	1	2	0.46181412
2	0	23	73	1	2	0.44898595
2	0	23	73	1	2	0.420318917
2	0	23	73	1	2	0.398196869
1	1	23	73	1	2	0.515417545
1	1	23	73	1	2	0.5131268
1	1	23	73	1	2	0.44898595
2	0	23	74	1	2	0.933053018
2	0	23	74	1	2	0.753982237
2	0	23	74	1	2	0.737227076
2	0	23	74	1	2	0.718770219
2	0	23	74	1	2	0.703716754
2	0	23	74	1	2	0.686961594
2	0	23	74	1	2	0.686961594
2	0	23	74	1	2	0.686961594
2	0	23	74	1	2	0.662025202
2	0	23	74	1	2	0.633227269
2	0	23	74	1	2	0.603774838
2	0	23	74	1	2	0.589048623
2	0	23	74	1	2	0.574322407
2	0	23	74	1	2	0.574322407
2	0	23	74	1	2	0.559596191
2	0	23	74	1	2	0.53014376
2	0	23	74	1	2	0.500691329
2	0	23	74	1	2	0.48747046
2	0	23	74	1	2	0.47464229
2	0	23	74	1	2	0.464563014
2	0	23	74	1	2	0.44898595
2	0	23	74	1	2	0.442440965
2	0	23	74	1	2	0.431379941
2	0	23	74	1	2	0.42332961
2	0	23	74	1	2	0.420318917
2	0	23	74	1	2	0.420318917
2	0	23	74	1	2	0.376991118
2	0	23	74	2	2	1.518436449
2	0	23	74	2	2	1.49225651
2	0	23	74	2	2	1.49225651
2	0	23	74	2	2	1.466076572
2	0	23	74	2	2	1.466076572
2	0	23	74	2	2	1.413716694
2	0	23	74	2	2	1.370388895
2	0	23	74	2	2	1.361356817
2	0	23	74	2	2	1.346761501
2	0	23	74	2	2	1.323134106
2	0	23	74	2	2	1.323134106
2	0	23	74	2	2	1.299506711
2	0	23	74	2	2	1.299506711
2	0	23	74	2	2	1.228624527
2	0	23	74	2	2	0.926835283
2	0	23	75	1	2	1.439896633
2	0	23	75	1	2	1.335176878
2	0	23	75	1	2	1.335176878
2	0	23	75	1	2	1.308996939
2	0	23	75	1	2	1.308996939
2	0	23	75	1	2	1.308996939
2	0	23	75	1	2	1.204997132
2	0	23	75	1	2	1.166316273
2	0	23	75	1	2	1.110487553
2	0	23	75	1	2	1.081493271
2	0	23	75	1	2	1.060287521
2	0	23	75	1	2	1.060287521
2	0	23	75	1	2	1.03908177
2	0	23	75	1	2	0.996670269
2	0	23	75	1	2	0.975464519
2	0	23	75	1	2	0.975464519
2	0	23	75	1	2	0.975464519
2	0	23	75	1	2	0.975464519
2	0	23	75	1	2	0.975464519
2	0	23	75	1	2	0.968657735
2	0	23	75	1	2	0.964665294
2	0	23	75	1	2	0.964665294
2	0	23	75	1	2	0.954258769
2	0	23	75	1	2	0.890641517
2	0	23	75	1	2	0.889005271
2	0	23	75	1	2	0.870090265
2	0	23	75	1	2	0.794430242
2	0	23	75	1	2	0.753982237
2	0	23	75	2	2	0.753982237
2	0	23	75	2	2	0.53878314
2	0	23	75	2	2	0.53878314
2	0	22	69	1	2	0.996670269
2	0	22	70	1	2	0.703716754
2	0	22	70	1	2	0.53014376
2	0	22	71	1	2	1.151917306
2	0	22	71	1	2	0.911847268
2	0	22	71	1	2	0.890641517
2	0	22	72	1	2	0.827024266
2	0	22	72	1	2	0.753982237
2	0	22	72	1	2	0.662025202
2	0	22	72	1	2	0.618501054
2	0	21	65	1	2	0.794430242
2	0	21	65	1	2	0.756600231
2	0	21	65	1	2	0.686961594
2	0	21	65	1	2	0.618501054
2	0	21	66	1	2	0.968723185
2	0	21	66	1	2	0.968723185
2	0	21	66	1	2	0.813345248
2	0	21	66	1	2	0.794430242
2	0	21	66	1	2	0.775515237
2	0	21	66	1	2	0.756600231
2	0	21	66	1	2	0.756600231
2	0	21	66	1	2	0.692132131
2	0	21	66	1	2	0.686961594
2	0	21	66	1	2	0.670206433
2	0	21	66	1	2	0.647953485
2	0	21	66	1	2	0.633227269
2	0	21	66	1	2	0.618501054
2	0	21	66	1	2	0.589048623
2	0	21	66	1	2	0.559596191
2	0	21	66	1	2	0.442440965
2	0	21	67	1	2	1.230457123
2	0	21	67	1	2	0.874213606
2	0	21	67	1	2	0.848230016
2	0	21	67	1	2	0.832260254
2	0	21	67	1	2	0.794430242
2	0	21	67	1	2	0.794430242
2	0	21	67	1	2	0.756600231
2	0	21	67	1	2	0.686961594
2	0	21	67	1	2	0.6626797
2	0	21	67	1	2	0.653451272
2	0	21	67	1	2	0.574322407
2	0	21	67	1	2	0.544869976
2	0	21	67	1	2	0.544869976
2	0	21	67	1	2	0.515417545
2	0	21	67	1	2	0.515417545
2	0	21	67	1	2	0.50029863
2	0	21	67	1	2	0.50029863
2	0	21	67	1	2	0.47464229
2	0	21	67	1	2	0.47464229
2	0	21	67	1	2	0.387135845
2	0	21	68	1	2	1.157742343
2	0	21	68	1	2	1.151917306
2	0	21	68	1	2	0.975464519
2	0	21	68	1	2	0.911847268
2	0	21	68	1	2	0.889005271
2	0	21	68	1	2	0.870090265
2	0	21	68	1	2	0.869435767
2	0	21	68	1	2	0.869435767
2	0	21	68	1	2	0.827024266
2	0	21	68	1	2	0.827024266
2	0	21	68	1	2	0.813345248
2	0	21	68	1	2	0.794430242
2	0	21	68	1	2	0.756600231
2	0	21	68	1	2	0.753982237
2	0	21	68	1	2	0.753982237
2	0	21	68	1	2	0.703716754
2	0	21	68	1	2	0.703716754
2	0	21	68	1	2	0.686961594
2	0	21	68	1	2	0.670206433
2	0	21	68	1	2	0.670206433
2	0	21	68	1	2	0.618501054
2	0	21	68	1	2	0.618501054
2	0	21	68	1	2	0.603774838
2	0	21	68	1	2	0.603774838
2	0	21	68	1	2	0.603774838
2	0	21	68	1	2	0.603185789
2	0	21	68	1	2	0.603185789
2	0	21	68	1	2	0.589048623
2	0	21	68	1	2	0.586430629
2	0	21	68	1	2	0.559596191
2	0	21	68	1	2	0.515417545
2	0	21	68	1	2	0.515417545
2	0	21	68	1	2	0.48747046
2	0	20	64	1	2	0.911847268
2	0	20	64	1	2	0.703716754
1	1	20	64	1	2	0.670206433
2	0	19	60	1	2	1.134114948
2	0	19	61	1	2	1.327715595
2	0	19	61	1	2	1.178097245
2	0	19	61	1	2	0.718770219
2	0	19	62	1	2	1.308996939
2	0	19	62	1	2	1.03908177
2	0	19	62	1	2	0.975464519
2	0	19	62	1	2	0.889005271
2	0	19	62	1	2	0.848230016
2	0	19	62	1	2	0.686961594
2	0	19	62	1	2	0.56443948
2	0	19	63	1	2	1.282817
2	0	19	63	1	2	1.228624527
2	0	19	63	1	2	1.204277184
2	0	19	63	1	2	1.110487553
2	0	19	63	1	2	0.870090265
2	0	18	57	1	2	0.889005271
1	1	18	57	1	2	0.85117526
2	0	18	58	1	2	1.151917306
2	0	18	58	1	2	1.063232764
2	0	18	58	1	2	0.954258769
2	0	18	58	1	2	0.85117526
2	0	18	58	1	2	0.794430242
2	0	18	58	1	2	0.686961594
2	0	18	58	2	2	1.110487553
2	0	18	59	1	2	1.443169125
2	0	18	59	1	2	1.178097245
2	0	18	59	1	2	1.178097245
2	0	18	59	1	2	1.178097245
2	0	18	59	1	2	1.151917306
2	0	18	59	1	2	0.85117526
1	1	18	59	1	2	1.063232764
1	1	18	59	1	2	0.975464519
2	0	18	59	2	2	1.230457123
2	0	17	53	1	2	1.063232764
2	0	17	54	1	2	1.204277184
2	0	17	54	1	2	1.063232764
2	0	17	54	1	2	1.060287521
2	0	17	54	1	2	0.954258769
2	0	17	54	1	2	0.907920277
2	0	17	54	2	2	1.060287521
2	0	17	54	2	2	0.954258769
2	0	17	54	2	2	0.933053018
2	0	17	54	2	2	0.770737398
2	0	17	54	2	2	0.589048623
1	1	17	54	2	2	1.308996939
2	0	17	55	1	2	0.832260254
2	0	17	55	1	2	0.813345248
1	1	17	55	2	2	0.954258769
2	0	17	56	1	2	1.282817
2	0	17	56	1	2	1.228624527
2	0	17	56	1	2	1.204277184
2	0	17	56	1	2	1.110487553
2	0	17	56	1	2	0.870090265
2	0	17	56	2	2	1.308996939
2	0	17	56	2	2	1.308996939
2	0	17	56	2	2	1.252251922
2	0	17	56	2	2	1.230457123
2	0	17	56	2	2	1.157742343
2	0	17	56	2	2	1.03908177
1	1	17	56	2	2	0.975464519
1	1	16	50	1	2	0.477129384
1	1	16	50	1	2	0.477129384
1	1	16	50	1	2	0.424115008
2	0	16	50	2	2	0.813345248
1	1	16	50	2	2	1.157742343
1	1	16	50	2	2	1.01787602
1	1	16	50	2	2	0.6626797
2	0	16	51	1	2	1.361356817
2	0	16	51	1	2	1.282817
2	0	16	51	1	2	1.151917306
2	0	16	51	1	2	1.03908177
2	0	16	51	1	2	1.03908177
2	0	16	51	1	2	1.03908177
2	0	16	51	1	2	1.03908177
2	0	16	51	1	2	1.01787602
2	0	16	51	1	2	0.926835283
2	0	16	51	2	2	1.178097245
2	0	16	51	2	2	1.060287521
2	0	16	51	2	2	1.060287521
2	0	16	51	2	2	1.01787602
2	0	16	51	2	2	1.01787602
2	0	16	51	2	2	0.996670269
2	0	16	51	2	2	0.992350579
2	0	16	51	2	2	0.975464519
2	0	16	51	2	2	0.954258769
2	0	16	51	2	2	0.933053018
2	0	16	51	2	2	0.848230016
2	0	16	51	2	2	0.837758041
2	0	16	51	2	2	0.703716754
2	0	16	51	2	2	0.692132131
2	0	16	52	1	2	1.466076572
2	0	16	52	1	2	1.181369737
2	0	16	52	1	2	1.178097245
2	0	16	52	1	2	1.134114948
2	0	16	52	1	2	1.134114948
2	0	16	52	1	2	1.063232764
2	0	16	52	1	2	1.015977974
2	0	16	52	1	2	0.794430242
1	1	16	52	1	2	1.178097245
2	0	16	52	2	2	1.181369737
2	0	16	52	2	2	1.060287521
2	0	16	52	2	2	1.03908177
2	0	16	52	2	2	1.01787602
2	0	16	52	2	2	1.01787602
2	0	16	52	2	2	0.945750288
2	0	16	52	2	2	0.933053018
2	0	16	52	2	2	0.870090265
2	0	16	52	2	2	0.85117526
2	0	16	52	2	2	0.832260254
2	0	16	52	2	2	0.82100288
2	0	16	52	2	2	0.775515237
2	0	16	52	2	2	0.775515237
2	0	16	52	2	2	0.706858347
2	0	16	52	2	2	0.6626797
2	0	15	46	1	1	1.558622655
2	0	15	46	1	1	1.50089589
2	0	15	46	1	1	1.472032508
2	0	15	46	1	1	1.387536755
2	0	15	46	1	1	1.361356817
2	0	15	46	1	1	1.361356817
2	0	15	46	1	1	1.335176878
2	0	15	46	1	1	1.335176878
2	0	15	46	1	1	1.308996939
2	0	15	46	1	1	1.308996939
2	0	15	46	1	1	1.282817
2	0	15	46	1	1	1.282817
2	0	15	46	1	1	1.256637061
2	0	15	46	1	1	1.181369737
2	0	15	46	1	1	1.181369737
2	0	15	46	1	1	1.102699021
2	0	15	46	1	1	1.081493271
2	0	15	46	1	1	1.063232764
2	0	15	46	1	1	1.060287521
2	0	15	46	1	1	1.060287521
2	0	15	46	1	1	1.03908177
2	0	15	46	1	1	0.964665294
2	0	15	46	1	1	0.907920277
2	0	15	46	1	1	0.82100288
2	0	15	46	1	1	0.751036994
2	0	15	46	1	1	0.721584563
1	1	15	46	1	1	1.615564022
1	1	15	46	1	1	1.443169125
1	1	15	46	1	1	1.414305743
1	1	15	46	1	1	1.414305743
1	1	15	46	1	1	1.413716694
1	1	15	46	1	1	1.323134106
1	1	15	46	1	1	1.308996939
1	1	15	46	1	1	1.308996939
1	1	15	46	1	1	1.282817
1	1	15	46	1	1	1.282817
1	1	15	46	1	1	1.282817
1	1	15	46	1	1	1.228624527
1	1	15	46	1	1	1.181369737
1	1	15	46	1	1	1.181369737
1	1	15	46	1	1	1.181369737
1	1	15	46	1	1	1.181369737
1	1	15	46	1	1	1.157742343
1	1	15	46	1	1	1.134114948
1	1	15	46	1	1	1.134114948
1	1	15	46	1	1	1.102699021
1	1	15	46	1	1	1.102699021
1	1	15	46	1	1	1.099557429
1	1	15	46	1	1	1.060287521
1	1	15	46	1	1	1.060287521
1	1	15	46	1	1	1.015977974
1	1	15	46	1	1	0.945750288
1	1	15	46	1	1	0.889005271
1	1	15	46	1	1	0.85117526
1	1	15	46	1	1	0.780489425
1	1	15	46	1	1	0.737227076
1	1	15	46	1	1	0.6626797
2	0	15	46	2	1	1.387536755
