n	sun	height	perch	time	species
20	Shade	High	Broad	Morning	opalinus
13	Shade	Low	Broad	Morning	opalinus
8	Shade	High	Narrow	Morning	opalinus
6	Shade	Low	Narrow	Morning	opalinus
34	Sun	High	Broad	Morning	opalinus
31	Sun	Low	Broad	Morning	opalinus
17	Sun	High	Narrow	Morning	opalinus
12	Sun	Low	Narrow	Morning	opalinus
8	Shade	High	Broad	Mid.day	opalinus
8	Shade	Low	Broad	Mid.day	opalinus
4	Shade	High	Narrow	Mid.day	opalinus
0	Shade	Low	Narrow	Mid.day	opalinus
69	Sun	High	Broad	Mid.day	opalinus
55	Sun	Low	Broad	Mid.day	opalinus
60	Sun	High	Narrow	Mid.day	opalinus
21	Sun	Low	Narrow	Mid.day	opalinus
4	Shade	High	Broad	Afternoon	opalinus
12	Shade	Low	Broad	Afternoon	opalinus
5	Shade	High	Narrow	Afternoon	opalinus
1	Shade	Low	Narrow	Afternoon	opalinus
18	Sun	High	Broad	Afternoon	opalinus
13	Sun	Low	Broad	Afternoon	opalinus
8	Sun	High	Narrow	Afternoon	opalinus
4	Sun	Low	Narrow	Afternoon	opalinus
2	Shade	High	Broad	Morning	grahamii
0	Shade	Low	Broad	Morning	grahamii
3	Shade	High	Narrow	Morning	grahamii
0	Shade	Low	Narrow	Morning	grahamii
11	Sun	High	Broad	Morning	grahamii
5	Sun	Low	Broad	Morning	grahamii
15	Sun	High	Narrow	Morning	grahamii
1	Sun	Low	Narrow	Morning	grahamii
1	Shade	High	Broad	Mid.day	grahamii
0	Shade	Low	Broad	Mid.day	grahamii
1	Shade	High	Narrow	Mid.day	grahamii
0	Shade	Low	Narrow	Mid.day	grahamii
20	Sun	High	Broad	Mid.day	grahamii
4	Sun	Low	Broad	Mid.day	grahamii
32	Sun	High	Narrow	Mid.day	grahamii
5	Sun	Low	Narrow	Mid.day	grahamii
4	Shade	High	Broad	Afternoon	grahamii
0	Shade	Low	Broad	Afternoon	grahamii
3	Shade	High	Narrow	Afternoon	grahamii
1	Shade	Low	Narrow	Afternoon	grahamii
10	Sun	High	Broad	Afternoon	grahamii
3	Sun	Low	Broad	Afternoon	grahamii
8	Sun	High	Narrow	Afternoon	grahamii
4	Sun	Low	Narrow	Afternoon	grahamii
