y	machine	operator
100.67	1	1
98.21	1	1
102.25	1	1
101.59	1	1
100.40	1	1
100.02	1	2
99.53	1	2
99.90	1	2
101.84	1	2
101.08	1	2
95.63	1	3
98.74	1	3
96.97	1	3
98.60	1	3
98.59	1	3
101.79	1	4
102.09	1	4
99.96	1	4
102.80	1	4
102.08	1	4
98.61	1	5
101.64	1	5
100.95	1	5
99.77	1	5
98.79	1	5
98.66	2	1
98.36	2	1
98.46	2	1
100.10	2	1
99.23	2	1
99.87	2	2
100.34	2	2
101.64	2	2
103.33	2	2
98.53	2	2
97.87	2	3
98.92	2	3
100.96	2	3
102.79	2	3
100.60	2	3
101.34	2	4
98.83	2	4
104.99	2	4
102.89	2	4
98.93	2	4
98.96	2	5
99.10	2	5
99.43	2	5
97.88	2	5
100.97	2	5
110.65	3	1
108.64	3	1
110.68	3	1
107.84	3	1
109.59	3	1
110.94	3	2
113.29	3	2
111.30	3	2
110.20	3	2
108.86	3	2
110.77	3	3
113.76	3	3
109.17	3	3
106.02	3	3
110.80	3	3
114.08	3	4
109.55	3	4
110.44	3	4
110.98	3	4
110.81	3	4
110.85	3	5
111.28	3	5
107.11	3	5
108.41	3	5
107.93	3	5
119.79	4	1
118.84	4	1
123.40	4	1
118.80	4	1
121.79	4	1
119.84	4	2
120.00	4	2
122.13	4	2
124.55	4	2
118.79	4	2
117.78	4	3
121.93	4	3
120.02	4	3
118.94	4	3
120.40	4	3
116.49	4	4
118.07	4	4
119.19	4	4
114.60	4	4
120.94	4	4
117.69	4	5
118.62	4	5
119.58	4	5
119.51	4	5
117.36	4	5
89.11	5	1
90.75	5	1
91.24	5	1
91.45	5	1
92.74	5	1
91.56	5	2
90.38	5	2
87.99	5	2
90.15	5	2
93.20	5	2
92.05	5	3
92.12	5	3
91.98	5	3
93.35	5	3
88.32	5	3
91.51	5	4
95.49	5	4
92.28	5	4
90.43	5	4
92.03	5	4
91.56	5	5
88.34	5	5
89.97	5	5
92.52	5	5
90.02	5	5
107.19	6	1
107.35	6	1
104.67	6	1
103.65	6	1
104.21	6	1
104.35	6	2
105.09	6	2
105.78	6	2
104.34	6	2
103.48	6	2
103.65	6	3
103.18	6	3
107.91	6	3
104.39	6	3
107.07	6	3
102.61	6	4
105.27	6	4
101.93	6	4
107.09	6	4
105.09	6	4
104.38	6	5
104.59	6	5
104.06	6	5
103.37	6	5
104.61	6	5
