Weight	Age	Genotype
7.44563039	1	CloneA
8.000223376	2	CloneA
7.705105123	3	CloneA
8.348736726	4	CloneA
8.454716107	5	CloneA
8.778212882	1	CloneB
8.340044871	2	CloneB
9.092006302	3	CloneB
9.105216761	4	CloneB
9.845136836	5	CloneB
6.100193712	1	CloneC
6.513768952	2	CloneC
7.236199692	3	CloneC
7.228504191	4	CloneC
7.650989006	5	CloneC
7.874350905	1	CloneD
8.511566673	2	CloneD
8.607624762	3	CloneD
8.994112473	4	CloneD
9.689926545	5	CloneD
6.479922339	1	CloneE
6.828618805	2	CloneE
7.376614806	3	CloneE
7.245332705	4	CloneE
7.923819602	5	CloneE
9.143637003	1	CloneF
9.170335854	2	CloneF
9.379750168	3	CloneF
10.03772954	4	CloneF
10.0531328	5	CloneF
8.128602512	1	CloneA
8.516594654	2	CloneA
8.987419296	3	CloneA
8.956231029	4	CloneA
9.656264805	5	CloneA
9.18797551	1	CloneB
9.618807211	2	CloneB
9.816943243	3	CloneB
9.71091241	4	CloneB
10.38210711	5	CloneB
7.685253334	1	CloneC
7.384318914	2	CloneC
7.907385712	3	CloneC
7.946400479	4	CloneC
8.110432545	5	CloneC
9.06934822	1	CloneD
9.580191173	2	CloneD
9.568835855	3	CloneD
10.04826226	4	CloneD
10.4949405	5	CloneD
7.52193091	1	CloneE
7.394792392	2	CloneE
7.767411841	3	CloneE
8.263021356	4	CloneE
8.644069167	5	CloneE
9.714612618	1	CloneF
9.721849885	2	CloneF
10.79904741	3	CloneF
10.95591672	4	CloneF
10.56946689	5	CloneF
