x	y	z
0	0	2
1	0	2.0088336
2	0	2.079033239
3	0	2.159941476
4	0	2.145153112
5	0	2.176907766
6	0	2.502015513
7	0	2.034271109
8	0	2.676619075
9	0	2.137717322
10	0	2.262502947
0	1	4.967902404
1	1	5.074974321
2	1	5.175147182
3	1	5.243763686
4	1	5.349392346
5	1	4.945803093
6	1	5.471497424
7	1	5.244353731
8	1	5.406365921
9	1	5.251941256
10	1	4.876375517
0	2	7.857094074
1	2	7.851174208
2	2	7.815956586
3	2	7.817513762
4	2	7.742040113
5	2	7.826533783
6	2	7.968667028
7	2	8.133788488
8	2	7.6206457
9	2	8.079392233
10	2	8.110801375
0	3	10.71193436
1	3	10.59874161
2	3	10.4616107
3	3	10.45020837
4	3	10.395487
5	3	10.28517154
6	3	10.28650814
7	3	10.10955825
8	3	9.51994564
9	3	9.629659202
10	3	10.0116898
0	4	13.42374765
1	4	13.25751846
2	4	13.12330092
3	4	12.65746543
4	4	12.74611933
5	4	12.63032175
6	4	12.28760733
7	4	11.95430058
8	4	11.93379282
9	4	11.57912865
10	4	11.42054632
0	5	16.19020281
1	5	15.84355292
2	5	15.18801511
3	5	15.16256198
4	5	14.78114377
5	5	14.21859153
6	5	13.57802834
7	5	13.54944818
8	5	13.37558822
9	5	12.20839713
10	5	12.97057354
0	6	18.32980307
1	6	17.99083327
2	6	17.63344484
3	6	17.24276072
4	6	16.48902755
5	6	15.6422909
6	6	15.32442286
7	6	14.27225263
8	6	14.6502979
9	6	13.31562868
10	6	13.67936487
0	7	21.26231583
1	7	20.08508864
2	7	19.82031079
3	7	18.90015057
4	7	18.4960214
5	7	17.1121326
6	7	16.64330448
7	7	15.51657518
8	7	14.68509264
9	7	14.21341919
10	7	13.99635211
0	8	23.21352592
1	8	22.16711349
2	8	21.62373229
3	8	20.9453143
4	8	19.58930705
5	8	18.67831919
6	8	17.19640519
7	8	15.6208527
8	8	14.72773237
9	8	14.10437367
10	8	13.71201676
0	9	25.05365946
1	9	24.11411331
2	9	23.10697065
3	9	21.54574268
4	9	20.14730096
5	9	19.30381266
6	9	17.43836347
7	9	16.71801654
8	9	15.60263968
9	9	13.48242065
10	9	13.52840519
0	10	28.0509319
1	10	26.51256082
2	10	25.42047325
3	10	22.69624739
4	10	21.32911325
5	10	19.57692951
6	10	17.59145172
7	10	15.64789663
8	10	13.9931448
9	10	13.57164012
10	10	11.67476352
