logdose	n	dead	product
0.1	18	0	A
0.2	16	4	A
0.3	21	7	A
0.4	19	6	A
0.5	16	5	A
0.6	20	10	A
0.7	21	8	A
0.8	18	8	A
0.9	22	15	A
1	24	19	A
1.1	17	13	A
1.2	16	14	A
1.3	21	17	A
1.4	21	19	A
1.5	15	13	A
1.6	15	12	A
1.7	16	16	A
0.1	24	6	B
0.2	22	7	B
0.3	19	6	B
0.4	15	8	B
0.5	22	12	B
0.6	17	10	B
0.7	16	8	B
0.8	22	13	B
0.9	24	14	B
1	16	13	B
1.1	15	9	B
1.2	21	13	B
1.3	23	18	B
1.4	18	16	B
1.5	22	15	B
1.6	16	11	B
1.7	16	10	B
0.1	18	1	C
0.2	20	4	C
0.3	24	4	C
0.4	19	6	C
0.5	15	6	C
0.6	23	8	C
0.7	22	12	C
0.8	24	14	C
0.9	15	9	C
1	18	14	C
1.1	23	19	C
1.2	17	13	C
1.3	24	20	C
1.4	17	16	C
1.5	24	20	C
1.6	23	23	C
1.7	24	24	C
