"xlong" "ylong"
"1" 1 45
"2" 2 44
"3" 2 44
"4" 3 40
"5" 3 40
"6" 3 40
"7" 4 46
"8" 4 46
"9" 4 46
"10" 4 46
"11" 5 54
"12" 5 54
"13" 5 54
"14" 5 54
"15" 5 54
"16" 6 38
"17" 6 38
"18" 6 38
"19" 6 38
"20" 6 38
"21" 6 38
"22" 7 55
"23" 7 55
"24" 7 55
"25" 7 55
"26" 7 55
"27" 7 55
"28" 7 55
"29" 8 44
"30" 8 44
"31" 8 44
"32" 8 44
"33" 8 44
"34" 8 44
"35" 8 44
"36" 8 44
"37" 9 57
"38" 9 57
"39" 9 57
"40" 9 57
"41" 9 57
"42" 9 57
"43" 9 57
"44" 9 57
"45" 9 57
"46" 10 39
"47" 10 39
"48" 10 39
"49" 10 39
"50" 10 39
"51" 10 39
"52" 10 39
"53" 10 39
"54" 10 39
"55" 10 39
"56" 11 49
"57" 11 49
"58" 11 49
"59" 11 49
"60" 11 49
"61" 11 49
"62" 11 49
"63" 11 49
"64" 11 49
"65" 11 49
"66" 11 49
"67" 12 46
"68" 12 46
"69" 12 46
"70" 12 46
"71" 12 46
"72" 12 46
"73" 12 46
"74" 12 46
"75" 12 46
"76" 12 46
"77" 12 46
"78" 12 46
"79" 13 44
"80" 13 44
"81" 13 44
"82" 13 44
"83" 13 44
"84" 13 44
"85" 13 44
"86" 13 44
"87" 13 44
"88" 13 44
"89" 13 44
"90" 13 44
"91" 13 44
"92" 14 35
"93" 14 35
"94" 14 35
"95" 14 35
"96" 14 35
"97" 14 35
"98" 14 35
"99" 14 35
"100" 14 35
"101" 14 35
"102" 14 35
"103" 14 35
"104" 14 35
"105" 14 35
"106" 15 60
"107" 15 60
"108" 15 60
"109" 15 60
"110" 15 60
"111" 15 60
"112" 15 60
"113" 15 60
"114" 15 60
"115" 15 60
"116" 15 60
"117" 15 60
"118" 15 60
"119" 15 60
"120" 15 60
"121" 16 56
"122" 16 56
"123" 16 56
"124" 16 56
"125" 16 56
"126" 16 56
"127" 16 56
"128" 16 56
"129" 16 56
"130" 16 56
"131" 16 56
"132" 16 56
"133" 16 56
"134" 16 56
"135" 16 56
"136" 16 56
"137" 17 56
"138" 17 56
"139" 17 56
"140" 17 56
"141" 17 56
"142" 17 56
"143" 17 56
"144" 17 56
"145" 17 56
"146" 17 56
"147" 17 56
"148" 17 56
"149" 17 56
"150" 17 56
"151" 17 56
"152" 17 56
"153" 17 56
"154" 18 42
"155" 18 42
"156" 18 42
"157" 18 42
"158" 18 42
"159" 18 42
"160" 18 42
"161" 18 42
"162" 18 42
"163" 18 42
"164" 18 42
"165" 18 42
"166" 18 42
"167" 18 42
"168" 18 42
"169" 18 42
"170" 18 42
"171" 18 42
"172" 19 60
"173" 19 60
"174" 19 60
"175" 19 60
"176" 19 60
"177" 19 60
"178" 19 60
"179" 19 60
"180" 19 60
"181" 19 60
"182" 19 60
"183" 19 60
"184" 19 60
"185" 19 60
"186" 19 60
"187" 19 60
"188" 19 60
"189" 19 60
"190" 19 60
"191" 20 40
"192" 20 40
"193" 20 40
"194" 20 40
"195" 20 40
"196" 20 40
"197" 20 40
"198" 20 40
"199" 20 40
"200" 20 40
"201" 20 40
"202" 20 40
"203" 20 40
"204" 20 40
"205" 20 40
"206" 20 40
"207" 20 40
"208" 20 40
"209" 20 40
"210" 20 40
"211" 21 53
"212" 21 53
"213" 21 53
"214" 21 53
"215" 21 53
"216" 21 53
"217" 21 53
"218" 21 53
"219" 21 53
"220" 21 53
"221" 21 53
"222" 21 53
"223" 21 53
"224" 21 53
"225" 21 53
"226" 21 53
"227" 21 53
"228" 21 53
"229" 21 53
"230" 21 53
"231" 21 53
"232" 22 54
"233" 22 54
"234" 22 54
"235" 22 54
"236" 22 54
"237" 22 54
"238" 22 54
"239" 22 54
"240" 22 54
"241" 22 54
"242" 22 54
"243" 22 54
"244" 22 54
"245" 22 54
"246" 22 54
"247" 22 54
"248" 22 54
"249" 22 54
"250" 22 54
"251" 22 54
"252" 22 54
"253" 22 54
"254" 23 55
"255" 23 55
"256" 23 55
"257" 23 55
"258" 23 55
"259" 23 55
"260" 23 55
"261" 23 55
"262" 23 55
"263" 23 55
"264" 23 55
"265" 23 55
"266" 23 55
"267" 23 55
"268" 23 55
"269" 23 55
"270" 23 55
"271" 23 55
"272" 23 55
"273" 23 55
"274" 23 55
"275" 23 55
"276" 23 55
"277" 24 40
"278" 24 40
"279" 24 40
"280" 24 40
"281" 24 40
"282" 24 40
"283" 24 40
"284" 24 40
"285" 24 40
"286" 24 40
"287" 24 40
"288" 24 40
"289" 24 40
"290" 24 40
"291" 24 40
"292" 24 40
"293" 24 40
"294" 24 40
"295" 24 40
"296" 24 40
"297" 24 40
"298" 24 40
"299" 24 40
"300" 24 40
"301" 25 50
"302" 25 50
"303" 25 50
"304" 25 50
"305" 25 50
"306" 25 50
"307" 25 50
"308" 25 50
"309" 25 50
"310" 25 50
"311" 25 50
"312" 25 50
"313" 25 50
"314" 25 50
"315" 25 50
"316" 25 50
"317" 25 50
"318" 25 50
"319" 25 50
"320" 25 50
"321" 25 50
"322" 25 50
"323" 25 50
"324" 25 50
"325" 25 50
"326" 26 54
