Replicate	Plot	Year	den	out
1	A1	2002	3	328
1	A1	2002	7	999
1	A1	2002	15	3007
1	A1	2002	30	3694
1	A1	2002	60	5185
1	A1	2002	250	10014
1	A1	2002	500	14131
1	A1	2002	1000	11204
1	A1	2002	2000	11095
2	F11	2002	3	82
2	F11	2002	7	328
2	F11	2002	15	1094
2	F11	2002	30	1669
2	F11	2002	60	2558
2	F11	2002	250	3776
2	F11	2002	500	3830
2	F11	2002	1000	3092
2	F11	2002	2000	6129
3	D23	2002	3	246
3	D23	2002	7	328
3	D23	2002	15	356
3	D23	2002	30	1026
3	D23	2002	60	930
3	D23	2002	250	3146
3	D23	2002	500	5677
3	D23	2002	1000	5143
3	D23	2002	2000	5267
4	G22	2002	3	205
4	G22	2002	7	1218
4	G22	2002	15	3215
4	G22	2002	30	4298
4	G22	2002	60	3461
4	G22	2002	250	3488
4	G22	2002	500	6115
4	G22	2002	1000	5800
4	G22	2002	2000	7401
1	A1	2003	7	1341
1	A1	2003	15	2449
1	A1	2003	30	2312
1	A1	2003	60	2627
1	A1	2003	250	4815
1	A1	2003	500	7866
1	A1	2003	1000	9343
1	A1	2003	2000	9398
1	A1	2003	4000	11395
2	F11	2003	7	629
2	F11	2003	15	1272
2	F11	2003	30	2545
2	F11	2003	60	1163
2	F11	2003	250	3885
2	F11	2003	500	5144
2	F11	2003	1000	6566
2	F11	2003	2000	5116
2	F11	2003	4000	7770
3	D23	2003	7	1053
3	D23	2003	15	848
3	D23	2003	30	1067
3	D23	2003	60	2572
3	D23	2003	250	2709
3	D23	2003	500	3502
3	D23	2003	1000	6279
3	D23	2003	2000	7141
3	D23	2003	4000	5103
4	G22	2003	7	958
4	G22	2003	15	684
4	G22	2003	30	1122
4	G22	2003	60	1943
4	G22	2003	250	3105
4	G22	2003	500	3092
4	G22	2003	1000	5773
4	G22	2003	2000	5636
4	G22	2003	4000	7592
1	A1	2004	7	875.52
1	A1	2004	15	889.2
1	A1	2004	30	1340.64
1	A1	2004	60	1696.32
1	A1	2004	250	1969.92
1	A1	2004	500	4965.84
1	A1	2004	1000	2339.28
1	A1	2004	2000	4870.08
1	A1	2004	4000	4514.4
2	F11	2004	7	642.96
2	F11	2004	15	875.52
2	F11	2004	30	1354.32
2	F11	2004	60	2818.08
2	F11	2004	250	2982.24
2	F11	2004	500	5636.16
2	F11	2004	1000	3461.04
2	F11	2004	2000	7893.36
2	F11	2004	4000	4678.56
3	D23	2004	7	164.16
3	D23	2004	15	478.8
3	D23	2004	30	1217.52
3	D23	2004	60	2188.8
3	D23	2004	250	2517.12
3	D23	2004	500	2448.72
3	D23	2004	1000	3146.4
3	D23	2004	2000	4541.76
3	D23	2004	4000	6019.2
4	G22	2004	7	287.28
4	G22	2004	15	957.6
4	G22	2004	30	3023.28
4	G22	2004	60	2913.84
4	G22	2004	250	5636.16
4	G22	2004	500	5362.56
4	G22	2004	1000	7291.44
4	G22	2004	2000	8139.6
4	G22	2004	4000	7291.44
