time	dish	isolate	diam
0	1	A	1.387027737
1	1	A	4.81188641
2	1	A	6.081094653
3	1	A	6.641911213
4	1	A	8.088017835
5	1	A	8.44401173
6	1	A	8.350524025
7	1	A	8.985554674
8	1	A	8.78822957
9	1	A	9.595756917
10	1	A	8.836976845
0	2	A	1.494256483
1	2	A	5.30424989
2	2	A	7.249498594
3	2	A	7.737015665
4	2	A	9.242170683
5	2	A	9.141034639
6	2	A	10.31251328
7	2	A	10.73755804
8	2	A	10.70212978
9	2	A	11.04604881
10	2	A	11.09308463
0	3	A	1.395518278
1	3	A	4.346332556
2	3	A	6.247908786
3	3	A	7.261178682
4	3	A	8.305988709
5	3	A	8.120557837
6	3	A	8.535932691
7	3	A	8.683204893
8	3	A	8.780900014
9	3	A	9.626482202
10	3	A	9.776965141
0	1	B	0.785978516
1	1	B	4.63967087
2	1	B	5.752275503
3	1	B	7.309043134
4	1	B	7.990617136
5	1	B	7.871743807
6	1	B	8.107255473
7	1	B	8.845104056
8	1	B	9.422707613
9	1	B	8.804616548
10	1	B	9.047411662
0	2	B	1.174594691
1	2	B	3.57245176
2	2	B	4.926728944
3	2	B	5.416286903
4	2	B	6.098334272
5	2	B	6.999829492
6	2	B	6.536772393
7	2	B	7.075220442
8	2	B	6.90684315
9	2	B	7.463354487
10	2	B	7.573315906
0	3	B	1.413509554
1	3	B	4.365584276
2	3	B	6.152964268
3	3	B	7.789196182
4	3	B	7.811331824
5	3	B	8.846624355
6	3	B	9.480543266
7	3	B	9.659001379
8	3	B	10.8691856
9	3	B	10.27167133
10	3	B	10.61980573
0	1	C	1.323397717
1	1	C	5.417957554
2	1	C	6.394030706
3	1	C	7.594418889
4	1	C	8.012817715
5	1	C	8.608726135
6	1	C	9.032066543
7	1	C	8.980389313
8	1	C	9.862328644
9	1	C	10.07410782
10	1	C	10.19891622
0	2	C	1.017537641
1	2	C	6.115166308
2	2	C	7.926304313
3	2	C	9.845983607
4	2	C	10.54966273
5	2	C	10.78235675
6	2	C	11.23697236
7	2	C	11.90581228
8	2	C	12.61594221
9	2	C	12.63427584
10	2	C	13.01009386
0	3	C	1.009781712
1	3	C	5.721960586
2	3	C	6.851201784
3	3	C	7.999791983
4	3	C	9.081555175
5	3	C	9.498037484
6	3	C	9.713323965
7	3	C	9.009460918
8	3	C	10.0786842
9	3	C	9.370997421
10	3	C	9.495158688
