species	A	B	C	D	E	F	G	H
1	5	0	0	0	5	0	0	0
2	4	0	0	1	0	4	1	5
3	3	0	0	0	3	0	4	1
4	2	0	0	2	0	0	1	0
5	1	0	0	1	0	0	0	0
6	1	0	0	5	0	2	0	5
7	1	0	0	1	4	1	5	0
8	0	5	0	0	0	0	1	0
9	0	4	0	5	0	0	3	0
10	0	3	0	1	0	3	2	4
11	0	2	0	0	2	0	5	1
12	0	1	0	0	4	5	0	3
13	0	1	0	3	0	0	1	0
14	0	1	0	0	0	1	0	5
15	0	1	0	2	0	1	4	0
16	0	1	0	0	0	0	0	2
17	0	1	0	0	1	0	1	1
18	0	1	0	5	5	2	0	0
19	0	0	5	0	1	0	0	0
20	0	0	5	0	1	0	3	0
21	0	0	5	0	0	0	0	0
22	0	0	4	0	1	4	2	0
23	0	0	4	0	0	5	0	0
24	0	0	3	1	0	0	5	2
25	0	0	3	4	5	5	0	0
26	0	0	2	0	2	1	0	1
27	0	0	2	3	0	0	0	0
28	0	0	1	0	0	0	0	0
29	0	0	1	0	1	1	1	1
30	0	0	1	4	0	0	0	1
31	0	0	1	1	1	1	0	0
32	0	0	1	0	0	0	0	3
33	0	0	1	0	3	3	0	4
0	0	0	0	0	0	0	0	0
