resources	occupied
14.18154336	0
18.68306228	0
20.22155533	0
30.75128631	0
38.16026027	0
43.15510979	0
47.35478167	0
50.64821929	0
54.05688115	0
58.42702286	0
68.59868276	0
68.90116511	0
69.03139621	0
71.16058164	0
73.57060252	0
93.23150756	0
101.5245508	0
110.3377218	0
113.5761435	0
114.8792277	0
119.2027166	0
120.6079472	0
128.6200953	0
132.1454933	0
132.9152771	0
134.8951318	0
149.9288225	0
179.1527603	0
188.756381	0
199.6076256	0
201.9851174	0
220.4462023	1
238.1212184	0
244.4178882	1
246.4783901	0
253.8689336	1
258.8795518	0
259.8563666	0
270.3455531	1
274.6567776	0
289.0620641	1
291.6420542	0
297.3776208	0
298.3435894	0
303.2680843	1
305.9424705	1
306.5342128	0
314.7691729	0
320.7969881	1
338.1032976	0
349.6606854	0
352.2968532	0
354.751207	0
359.3847707	0
360.0988809	0
373.374405	0
379.34815	1
387.8790062	0
389.4854987	1
390.3120978	0
408.4428388	1
411.9744993	1
423.2629514	1
429.0389557	1
431.2050928	1
433.8489205	1
437.7870192	0
443.823111	1
445.2035386	1
451.8883537	0
458.6463881	0
466.9351094	1
472.4640313	1
472.5136353	1
491.0613808	1
493.7652275	1
496.163799	1
507.4820281	1
507.7110476	1
510.5644943	1
511.5164381	1
527.7611205	1
548.5812423	0
556.086245	1
565.2773587	1
567.0958961	1
583.6356273	1
584.2302037	1
586.2184604	1
598.6772857	0
601.5850256	1
603.1233545	1
607.9217577	1
608.8017519	1
609.5322054	1
626.5112786	1
641.8474947	1
645.5039243	1
645.8137021	1
657.4833336	0
658.0547452	1
661.6917762	0
673.1802534	1
684.2703825	1
703.1782777	1
710.1273656	1
716.729787	1
717.1993909	0
733.3538196	1
736.3059681	1
745.5341705	1
756.130671	1
756.2297589	1
769.8939541	1
770.7885108	1
774.7279858	1
778.6341163	1
786.0850596	1
790.3707275	1
797.9175344	1
801.1054368	1
802.4652083	1
803.4353532	1
842.4762081	1
853.0757747	1
857.7334498	1
868.4399035	1
872.1344429	1
874.6286818	1
875.7291914	1
876.9057769	1
879.7955311	1
891.0125894	1
898.7605772	1
899.4491732	1
912.9873483	1
914.176082	1
932.4812671	1
932.5949973	1
933.9005733	1
939.1941935	1
939.4266332	1
940.7898545	1
951.23037	1
958.9746681	1
965.5666296	1
970.5489431	1
978.6539252	1
980.8692301	1
990.5580615	1
