plot	strip	treat	AC	AE	AM	AP	CA	CC	CM	DC	DG	EA	FR	GM	HL	HM	LC	LP	LV	PL	PT	PV	RC	RF	RR	SC	SG	SJ	UD	VC	VS	VT
A	a	mb	80	0	0.1	2	0	0	0	0	0	0.1	20	0	1	0	0	0	15	0	0.1	0	0.1	0	0	2	0	0.1	0	0	0	0
A	b	grass	20	80	0	0	15	0.1	0	0	15	0.1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0.1	0	0	0	0
A	c	cult	75	0	0	0	5	0	0.1	0	0	0	1	0	0	20	0	0	0	0	0	0	0	2	0	0	2	0	0.1	0	0	0
B	a	grass	0	90	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.1	5	0	0	0
B	b	mb	75	0	8	0	0.1	0	0	0	0	0	0	0	15	0	0.1	0	5	1	0	0	0.1	0	0	0	4	0	0	0	0	0
B	c	cult	50	0	5	0	0	0	0	1	10	0	50	1	1	0	0.1	0.1	0.1	0	0	0.1	0	0.1	0	0	0	0	0	0	0	0
C	a	grass	2	5	2	0	1	0	1	0	10	0	80	0	0.1	0	0.1	0	0	0	0	0	0	0	0	0	5	0.1	0	1	1	1
C	b	cult	5	95	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0.1	0	0	2	0	0	0.1	0	0
C	c	mb	40	10	20	0	0.1	0	0	1	0.1	0	25	0	10	0	0	0	10	0	0.1	0	0.1	0	0	0	0	0.1	0	0	0	0
D	a	cult	55	0	5	45	2	0	0	0	0	0	30	0	5	0	0	0.1	2	0	0	0	0	0.1	0	0	1	0.1	0	15	0	0
D	b	mb	75	0.1	4	0	0	0	0	0	0	0	20	0	10	0	0	0	20	0	0	0	0.1	0	0	0	2	0	0	1	0	0
D	c	grass	0.1	95	0	0	0	0	0	0	0	0	2	0	1	0.1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
E	a	grass	0.1	0	3	0.1	1	0	0	0	2	0	95	0	1	0	0.1	0.1	0	0	0	0	0	0	1	0	5	0.2	0	4	0	0
E	b	mb	60	0	10	1	1	0	0	0	0	0	15	0	10	0	0.1	0	5	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0
E	c	cult	2	0	2	60	4	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0.1	0	1	0.1	0	0	0	0
