year	month	tmax	tmin	raindays	rain	meantemp	daydegrees
1853	1	8.4	2.7	4	62.8	5.55	0.55
1853	2	3.2	-1.8	19	29.3	0.7	0
1853	3	7.7	-0.6	20	25.9	3.55	0
1853	4	12.6	4.5	0	60.1	8.55	3.55
1853	5	16.8	6.1	0	59.5	11.45	6.45
1853	6	20.1	10.7	0	82	15.4	10.4
1853	7	21.2	12.2	0	86.2	16.7	11.7
1853	8	20.2	10.8	0	72.3	15.5	10.5
1853	9	17.3	8.4	0	51.3	12.85	7.85
1853	10	13.9	7.4	0	102.3	10.65	5.65
1853	11	8.7	2.3	10	49.6	5.5	0.5
1853	12	3.7	-1.3	19	10.7	1.2	0
1854	1	6.7	1.5	11	54.5	4.1	0
1854	2	8	0.6	12	22.6	4.3	0
1854	3	11.2	2.2	8	10.6	6.7	1.7
1854	4	15	3.5	2	19.9	9.25	4.25
1854	5	16.2	5.7	1	82.1	10.95	5.95
1854	6	18.6	9.7	0	45.2	14.15	9.15
1854	7	21.7	11.6	0	37.2	16.65	11.65
1854	8	20.9	10.7	0	45.4	15.8	10.8
1854	9	20.2	8.4	0	11.4	14.3	9.3
1854	10	13.9	5.6	2	57.7	9.75	4.75
1854	11	8.2	2	5	32.4	5.1	0.1
1854	12	8.3	2.1	8	30.7	5.2	0.2
1855	1	4.4	-0.4	18	6.9	2	0
1855	2	1.7	-4.5	20	33.7	-1.4	0
1855	3	7.7	0.1	15	56	3.9	0
1855	4	13	2.7	9	10.6	7.85	2.85
1855	5	15	4.9	3	45.1	9.95	4.95
1855	6	19.4	9.3	0	60	14.35	9.35
1855	7	22.8	13.4	0	129.3	18.1	13.1
1855	8	21.7	12.2	0	42.6	16.95	11.95
1855	9	19	10.4	0	59.7	14.7	9.7
1855	10	14	8.2	0	143.1	11.1	6.1
1855	11	7.9	3.4	4	25.2	5.65	0.65
1855	12	5.7	-0.1	13	28.1	2.8	0
1856	1	6.8	2	10	74.7	4.4	0
1856	2	8.2	3	8	33.4	5.6	0.6
1856	3	7.9	0.6	11	23.9	4.25	0
1856	4	12.9	4.1	2	64.9	8.5	3.5
1856	5	14	5.7	2	110.1	9.85	4.85
1856	6	20.2	9.5	0	64.8	14.85	9.85
1856	7	22.2	11.3	0	15.8	16.75	11.75
1856	8	22.7	12.5	0	81.8	17.6	12.6
1856	9	16.8	8.5	0	80.3	12.65	7.65
1856	10	13.9	6.9	1	60.3	10.4	5.4
1856	11	8.1	2.3	8	24.2	5.2	0.2
1856	12	7.3	1.4	12	52	4.35	0
1857	1	5.1	-0.6	17	80.7	2.25	0
1857	2	7.6	0.4	11	8.2	4	0
1857	3	9.1	1.8	10	39.2	5.45	0.45
1857	4	11.9	3.7	3	51.3	7.8	2.8
1857	5	16.5	6.3	4	30.3	11.4	6.4
1857	6	22	10.6	0	77	16.3	11.3
1857	7	22	12.7	0	80.5	17.35	12.35
1857	8	22.8	13.2	0	93.5	18	13
1857	9	19	11.2	0	99	15.1	10.1
1857	10	14.6	7.8	0	116.3	11.2	6.2
1857	11	10.2	4.5	2	42.6	7.35	2.35
1857	12	9.6	4.5	3	16.8	7.05	2.05
1858	1	6.4	-0.1	20	17.3	3.15	0
1858	2	4.7	-1.2	18	45	1.75	0
1858	3	9.4	1.1	12	20.4	5.25	0.25
1858	4	13.1	4	2	90.1	8.55	3.55
1858	5	15.9	6.2	0	59.5	11.05	6.05
1858	6	23.6	11.9	0	40.4	17.75	12.75
1858	7	20.8	10.6	0	58.3	15.7	10.7
1858	8	21.4	11.3	0	36.4	16.35	11.35
1858	9	19.5	11.2	0	63.4	15.35	10.35
1858	10	13.4	6.9	0	50.4	10.15	5.15
1858	11	7.4	0.8	12	17.9	4.1	0
1858	12	7.2	2.4	2	54.5	4.8	0
1859	1	7.5	1.8	9	20.8	4.65	0
1859	2	9.4	2.7	5	43.1	6.05	1.05
1859	3	11.2	4.7	4	38.2	7.95	2.95
1859	4	12.3	3.5	8	63.9	7.9	2.9
1859	5	16.6	6.7	0	47.3	11.65	6.65
1859	6	20.7	11.1	0	57.4	15.9	10.9
1859	7	25.1	13.7	0	71.2	19.4	14.4
1859	8	21.8	12.5	0	97.2	17.15	12.15
1859	9	17.4	9.4	0	89.8	13.4	8.4
1859	10	13.7	6.6	6	76.3	10.15	5.15
1859	11	8.5	1.5	8	52.8	5	0
1859	12	5	-1.1	14	46.6	1.95	0
1860	1	6.8	0.8	12	82.8	3.8	0
1860	2	5.2	-1.6	20	32.6	1.8	0
1860	3	8.4	1.9	8	48.4	5.15	0.15
1860	4	10.6	1.7	5	14.8	6.15	1.15
1860	5	17	7.7	0	70.9	12.35	7.35
1860	6	17	9.5	0	129.8	13.25	8.25
1860	7	19.3	10.3	0	60.8	14.8	9.8
1860	8	17.9	10.9	0	96.7	14.4	9.4
1860	9	15.6	7	0	64	11.3	6.3
1860	10	13.4	7.3	1	39.9	10.35	5.35
1860	11	7.4	2.1	2	82.1	4.75	0
1860	12	4.4	2.1	2	66.6	4.75	0
1861	1	3.8	-0.7	16	16.8	1.55	0
1861	2	7.9	3.1	4	48	5.5	0.5
1861	3	10.1	3.4	1	43.1	6.75	1.75
1861	4	11.8	3	5	17.7	7.4	2.4
1861	5	16.1	6.5	1	34.9	11.3	6.3
1861	6	20	11.2	0	79.9	15.6	10.6
1861	7	19.7	12	0	130.8	15.85	10.85
1861	8	21.6	12.7	0	15.1	17.15	12.15
1861	9	17.9	9.9	0	49.6	13.9	8.9
1861	10	16.2	9.5	0	40.8	12.85	7.85
1861	11	8.4	1.6	10	78.4	5	0
1861	12	7	1.5	12	41.9	4.25	0
1862	1	6.6	2.2	8	62.2	4.4	0
1862	2	7.3	3.4	4	7.3	5.35	0.35
1862	3	9.4	3.9	4	138.9	6.65	1.65
1862	4	12.9	6.2	4	57.6	9.55	4.55
1862	5	17.6	9.2	0	95.5	13.4	8.4
1862	6	18.1	9.6	0	56.8	13.85	8.85
1862	7	19.9	10.6	0	44.8	15.25	10.25
1862	8	20	10.5	0	44.7	15.25	10.25
1862	9	18.2	9.9	0	55.1	14.05	9.05
1862	10	14.5	7.6	1	73.1	11.05	6.05
1862	11	6.7	0.4	14	25.3	3.55	0
1862	12	9.2	3.8	0	36	6.5	1.5
1863	1	7.7	2.5	2	82.1	5.1	0.1
1863	2	9.1	2.7	7	17.1	5.9	0.9
1863	3	10.8	1.9	9	17.3	6.35	1.35
1863	4	14.2	4.7	2	35.5	9.45	4.45
1863	5	16.4	6	0	23.2	11.2	6.2
1863	6	19.3	9.6	0	86.6	14.45	9.45
1863	7	21.8	9.5	0	17	15.65	10.65
1863	8	21.2	11.9	0	67.1	16.55	11.55
1863	9	15.8	7.6	0	70.3	11.7	6.7
1863	10	14.1	7	2	75.5	10.55	5.55
1863	11	10.3	4.6	6	51.1	7.45	2.45
1863	12	9.1	3.3	6	27.7	6.2	1.2
1864	1	4.8	-0.2	13	25	2.3	0
1864	2	5.5	0	16	36.9	2.75	0
1864	3	9.6	1.4	8	62.7	5.5	0.5
1864	4	14.2	4.3	0	41.4	9.25	4.25
1864	5	18.2	7.9	0	54.8	13.05	8.05
1864	6	19.8	9.8	0	25.6	14.8	9.8
1864	7	22.8	10.3	0	12	16.55	11.55
1864	8	21	8.8	0	19.8	14.9	9.9
1864	9	18.3	9.4	0	74.9	13.85	8.85
1864	10	13.6	6.8	0	39.8	10.2	5.2
1864	11	8.9	2	8	59.4	5.45	0.45
1864	12	5.6	1.3	13	9.5	3.45	0
1865	1	4.7	-0.9	14	78.1	1.9	0
1865	2	5	0.2	13	52.9	2.6	0
1865	3	6	-0.2	13	24.9	2.9	0
1865	4	17.2	5.4	3	23.3	11.3	6.3
1865	5	18.4	8.1	0	55.8	13.25	8.25
1865	6	21.9	10.8	0	89.1	16.35	11.35
1865	7	22.3	12.5	0	71.1	17.4	12.4
1865	8	20	10.8	0	79	15.4	10.4
1865	9	22.3	10.9	0	4.7	16.6	11.6
1865	10	14.6	6.1	0	137.7	10.35	5.35
1865	11	10.3	4	6	65.7	7.15	2.15
1865	12	8.4	3.4	4	49.8	5.9	0.9
1866	1	8.6	3.4	5	73.1	6	1
1866	2	7.9	1.3	11	73.2	4.6	0
1866	3	8.4	1.8	9	42.7	5.1	0.1
1866	4	13.6	4.7	3	52.2	9.15	4.15
1866	5	15.7	4.8	2	42.6	10.25	5.25
1866	6	21.9	11.1	0	81.7	16.5	11.5
1866	7	21.7	11.2	0	50.4	16.45	11.45
1866	8	19.8	11.3	0	75.1	15.55	10.55
1866	9	17	10.3	0	145.4	13.65	8.65
1866	10	14.2	8	0	53.4	11.1	6.1
1866	11	10.7	3.7	7	38.8	7.2	2.2
