AC	AE	AM	AO	AP	AR	AS	AU	BH	BM	CC	CF	CM	CN	CX	CY	DC	DG	ER	FM	FP	FR	GV	HI	HL	HP	HS	HR	KA	LA	LC	LH	LM	LO	LP	OR	PL	PP	PS	PT	QR	RA	RB	RC	SG	SM	SO	TF	TG	TO	TP	TR	VC	VK	plot	lime	species	hay	pH
2.51	1.18	0.45	0.91	0.47	0	0	0	0	0.06	0.01	0.32	0.15	2.12	0	0	0	3.11	0	0	0.05	9.13	0	0	0.69	3.48	0	0	0.81	0	0.09	2.84	0	0.08	0.02	0	2.5	0.66	0.08	0	0	0.16	0.01	1.13	0	0.18	0	0.25	0.17	0.1	0.04	0	0	0	1	1	33	5.105	7
6.85	0.1	0.58	1.02	0.35	0	0	0	0	0.36	0.04	0	0.35	3.9	0	0	0	2.43	0	0	0	7.43	0	0	1	1.2	0	0	0.14	0.01	0.05	1.89	0	0.01	0.02	0	2.29	0.06	0.2	0	0	0.17	0	0.34	0	0.16	0	0.04	0.46	0.14	0	0	0	0	1	2	31	6.455	6.2
10.58	0.11	0.21	1.85	0	0	0	0	0	0	0	0.01	0.05	2.11	0	0	0	0.35	0	0	0	14.15	0	0	0.03	0.09	0	0	0	0	0.22	0	0	0.11	0.02	0	0	0.03	0.1	0.03	0	0.08	0.01	0.41	0	0	0	0	0	0.02	0.06	0	0	0	1	3	33	4.87	5.3
13.65	0	0	6.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	2.16	4
4.84	0	1.49	0.36	0.1	0.06	0	0.02	0	0.9	0	0.01	0.16	2.52	0	0.02	0	1.1	0	0	0	4.92	0	0.01	0.32	1.91	0	0	0.06	0	0.2	5.84	0	1.03	0.16	0	2.25	0.38	0.08	0	0	0.39	0.44	0.03	0	0.9	0	0.25	1.09	0.08	0.68	0.48	0.01	0	2.1	1	42	4.62	7
4.3	0.32	1.72	1.61	0.09	0.03	0	0	0	0.57	0.05	0.22	0.39	4.62	0	0.02	0	1.92	0	0	0	5.7	0	0	0.82	2.88	0	0	0.83	0	0.26	6.04	0	0.32	0.05	0	3.2	0.79	0.07	0	0	0.45	0.1	0.23	0	1.28	0	0.51	0.22	0.4	0.28	0.03	0	0	2.1	2	37	5.85	6
9.64	0.22	1.11	0.51	0.04	0.02	0	0	0	0.79	0.02	0	0.27	3.7	0	0.11	0	0.36	0	0	0	9.99	0	0.03	0.08	0.27	0	0	0.02	0	0.21	0.88	0	0.15	0.02	0	0.69	0.13	0.08	0	0	0.31	0.18	0	0	0.19	0.03	0.07	0	0.03	0.03	0	0	0	2.1	3	33	4.055	5.1
9.52	0.09	0.62	0.74	0.01	0.08	0	0	0	0.35	0.01	0	0.08	4.84	0	0.14	0	0.44	0	0	0	8.83	0.03	0.03	0.06	0.24	0	0	0	0	0.15	0.13	0	0.06	0	0	0.45	0.03	0.02	0	0	0.19	0.1	0.01	0	0.34	0	0.01	0	0	0	0	0	0	2.1	4	33	4.46	5
3.55	0.03	1.08	0.2	0.13	0.03	0	0.01	0	1.38	0.01	0.01	0.07	2.76	0.19	0.18	0	0.63	0	0	0	7.07	0	0	0.3	1.52	0	0	0.08	0	0.18	4.94	0.04	1.05	0.16	0	2.32	0.31	0.13	0.02	0	0.44	0.57	0.05	0	3.22	0	0.21	0.18	0.07	0.65	0.05	0.02	0	3	1	39	4.5	7.1
3.27	0.16	1.46	0.67	0.05	0.14	0	0	0	0.65	0.01	0.3	0.12	2.87	0.01	0.05	0	1.42	0	0	0.01	7.15	0	0	0.75	2.67	0	0	0.72	0	0.35	5.8	0	0.51	0.04	0	3.62	0.87	0.05	0.01	0	0.43	0.23	0.21	0	2.25	0	0.37	0.03	0.31	0.48	0.06	0	0	3	2	36	5.58	6.5
