nine																																fourteen
5.63																																NA
6.27																																NA
6.60																																5.39
5.76																																6.13
5.12																																5.03
5.91																																5.59
5.67																																5.09
5.60																																6.06
5.04																																6.03
3.63																																4.97
4.67																																6.24
4.92																																6.50
6.25																																7.27
7.12																																7.98
3.07																																5.97
6.04																																6.47
5.17																																5.85
4.61																																5.50
2.52																																4.53
5.08																																5.96
5.08																																6.75
5.31																																5.96
5.98																																5.01
6.23																																5.32
3.78																																4.75
2.87																																3.43
6.58																																6.10
3.89																																4.06
5.55																																5.45
4.30																																5.14
4.36																																4.01
3.15																																4.86
3.70																																4.74
5.13																																4.48
4.09																																4.99
5.04																																5.56
3.62																																4.47
0.92																																2.28
5.38																																5.45
4.52																																4.87
2.18																																4.03
4.91																																4.68
5.38																																5.26
4.73																																5.61
3.46																																5.13
2.47																																3.59
4.88																																5.35
5.19																																5.57
6.11																																6.01
4.81																																3.88
4.08																																4.44
6.26																																4.91
4.93																																5.45
2.84																																4.17
3.81																																4.06
4.31																																4.79
1.85																																3.75
4.71																																5.53
2.66																																4.42
0.85																																4.84
3.63																																4.14
2.54																																4.13
3.34																																4.45
3.12																																4.73
3.18																																5.95
4.36																																4.87
0.54																																4.08
4.49																																4.82
3.30																																5.76
4.05																																5.28
3.88																																5.19
2.47																																3.67
2.97																																5.08
0.09																																3.94
3.40																																6.64
5.96																																6.05
7.01																																5.00
4.78																																5.05
3.63																																5.81
5.20																																5.34
3.45																																4.95
4.30																																4.05
1.01																																4.30
2.87																																4.87
3.70																																4.66
1.62																																4.92
3.83																																4.30
5.56																																4.72
2.29																																3.22
3.82																																4.83
1.18																																3.91
1.45																																4.10
3.11																																4.83
3.60																																4.38
3.83																																3.94
5.11																																5.14
4.46																																5.43
3.79																																5.33
0.60																																4.36
1.91																																4.69
3.36																																3.87
4.34																																5.44
3.83																																4.96
1.53																																5.19
5.31																																5.25
5.44																																5.46
4.11																																5.76
4.63																																5.66
5.08																																5.09
7.07																																5.36
5.65																																5.76
4.74																																4.83
4.97																																5.74
2.14																																5.69
4.02																																6.18
5.93																																6.45
6.25																																6.75
4.48																																8.03
4.56																																6.35
3.98																																4.63
2.37																																4.95
4.34																																5.90
4.97																																4.86
3.07																																3.65
2.25																																5.84
4.37																																5.14
4.59																																5.43
3.51																																4.91
2.84																																4.57
5.08																																5.32
2.78																																4.93
4.78																																5.10
2.65																																4.98
1.51																																4.34
1.48																																4.82
6.26																																5.04
3.48																																5.93
4.18																																5.26
6.19																																4.88
1.45																																5.15
1.93																																4.72
3.03																																3.67
4.81																																4.93
5.41																																3.63
5.82																																4.21
2.55																																5.88
6.48																																5.47
4.82																																5.10
4.38																																5.22
