FR	hay	pH
9.13	5.105	7
7.43	6.455	6.2
14.15	4.87	5.3
0	2.16	4
4.92	4.62	7
5.7	5.85	6
9.99	4.055	5.1
8.83	4.46	5
7.07	4.5	7.1
7.15	5.58	6.5
9.11	4.275	5.4
8.31	5.235	5.2
7.32	5.725	6.8
6.85	6.06	6.2
8.59	5.6	5.3
7.02	5.7	5.3
22.73	6.53	6.7
24.39	5.915	6
21.49	7.16	5.4
0.02	4.53	3.7
1.78	8.715	6.9
2.12	8.63	5.7
0.91	8.61	6.9
0.43	8.665	6
2.45	7.38	5
4.06	6.72	4.8
6.01	5.12	6.9
7.74	5.54	6.1
7.45	6.74	5.3
7.66	6.69	5.2
0.68	5.365	6.5
1.45	4.53	6
4.46	3.405	4.7
0.01	4.745	4
0.71	7.81	6.8
1.35	7.73	6.2
7.13	6.35	5
0	6.775	3.8
20.97	5.935	6.8
19.25	6.33	5.7
23.69	5.93	4.8
0	5.125	3.7
0.01	8.94	6.3
0.01	8.225	6.2
0	7.585	4.9
0	9	3.6
0.02	8.765	6.6
0	8.06	5.8
0.09	7.525	4.8
0	8.465	3.8
3.65	3.69	7
5.94	4.125	6.4
11.28	3.62	5.2
8.89	4.17	5.2
1.92	7.93	6.8
2.04	8.38	6.2
3.22	8.2	5.5
4.66	7.38	5.1
4.86	7.19	6.8
5.47	6.975	6.2
1.01	5.305	5.7
0.76	5.815	5.7
1.67	7.68	6.8
3.56	9.33	6.4
1.73	7.605	6.1
1.06	7.22	5.9
6.98	8.315	6.6
4.1	8	6
4.32	7.795	5
5.26	6.595	4.9
9.49	8.185	6.7
7.62	7.695	6.2
4.55	7.375	5.4
2.09	6.65	5.3
4.39	6.135	7.1
1.7	5.97	6.6
3.22	6.02	5.8
4.05	5.81	5.8
5.36	7.76	7
5.58	6.725	6.4
8.59	5.05	5.1
0	4.435	3.9
2.36	6.22	7.2
3.49	8.835	5.3
0.92	8.37	6.5
0.58	8.09	5.4
0.98	8.8	5.7
1.6	8.19	6.7
2.09	8.47	5.8
