PH	SPP	stdevlog
6.4	33	0.412252309
5.84	31	0.260699761
4.81	33	0.272331228
3.67	10	0.290946979
6.49	42	0.268858921
6.15	37	0.215409954
5.07	33	0.383473799
4.83	33	0.502893455
6.38	39	0.276917182
6.44	36	0.234700781
5.01	37	0.218579769
4.79	36	0.242947649
6.53	34	0.304340494
6.19	34	0.308529169
5.09	29	0.292486707
4.94	32	0.373385551
6.4	22	0.453188937
5.52	14	0.420182092
4.71	18	0.249205091
3.53	10	0.388648074
6.41	30	0.354056874
5.83	26	0.416886531
6.45	27	0.390198741
6.16	29	0.509911901
5.19	28	0.253296596
4.78	28	0.354620342
6.69	36	0.303795268
6.38	37	0.326080496
5.05	32	0.316977
4.85	29	0.294541201
5.74	28	0.418282421
5.24	19	0.56908736
4.42	19	0.602781246
3.68	5	0.474416977
6.24	22	0.311932968
5.42	17	0.319978509
4.41	18	0.672731422
3.5	4	0.552357146
6.53	23	0.417484314
5.42	15	0.419704289
4.3	16	0.36591889
3.48	4	0.360294888
5.29	14	0.23920682
5.35	15	0.35529443
4.14	13	0.521700866
3.38	3	0.29608965
6.11	14	0.298576823
5.15	10	0.421276553
4.33	13	0.3382153
3.27	4	0.419794986
6.96	44	0.407029477
6.13	42	0.243264633
4.77	37	0.308553008
4.8	42	0.269888779
6.74	28	0.206688763
6.3	30	0.271391727
4.91	32	0.289870785
4.63	34	0.318482008
6.59	28	0.357818471
6.63	27	0.437771341
5.76	22	0.271490277
5.57	23	0.301001055
6.85	24	0.257534664
6.82	24	0.237675092
5.96	21	0.239349266
5.84	22	0.185507591
6.77	28	0.479463758
6.07	27	0.397399166
4.73	26	0.50373941
4.71	27	0.346752581
6.78	25	0.333780916
6.64	25	0.205362831
5.38	23	0.331296556
5.28	27	0.25741777
6.8	32	0.409641296
6.74	34	0.306328204
5.59	34	0.257530143
5.61	34	0.265229399
6.28	30	0.174490563
5.7	29	0.317078273
3.97	21	0.562881703
3.52	6	0.628392522
7.31	34	0.205143367
5.25	31	0.312573531
6.34	30	0.249581245
5.34	27	0.313087005
5.63	27	0.392831348
6.65	29	0.345364081
5.79	26	0.341480998
