Year!																																											nine																																fourteen
1856																																											5.63																																NA
1857																																											6.27																																NA
1858																																											6.60																																5.39
1859																																											5.76																																6.13
1860																																											5.12																																5.03
1861																																											5.91																																5.59
1862																																											5.67																																5.09
1863																																											5.60																																6.06
1864																																											5.04																																6.03
1865																																											3.63																																4.97
1866																																											4.67																																6.24
1867																																											4.92																																6.50
1868																																											6.25																																7.27
1869																																											7.12																																7.98
1870																																											3.07																																5.97
1871																																											6.04																																6.47
1872																																											5.17																																5.85
1873																																											4.61																																5.50
1874																																											2.52																																4.53
1875																																											5.08																																5.96
1876																																											5.08																																6.75
1877																																											5.31																																5.96
1878																																											5.98																																5.01
1879																																											6.23																																5.32
1880																																											3.78																																4.75
1881																																											2.87																																3.43
1882																																											6.58																																6.10
1883																																											3.89																																4.06
1884																																											5.55																																5.45
1885																																											4.30																																5.14
1886																																											4.36																																4.01
1887																																											3.15																																4.86
1888																																											3.70																																4.74
1889																																											5.13																																4.48
1890																																											4.09																																4.99
1891																																											5.04																																5.56
1892																																											3.62																																4.47
1893																																											0.92																																2.28
1894																																											5.38																																5.45
1895																																											4.52																																4.87
1896																																											2.18																																4.03
1897																																											4.91																																4.68
1898																																											5.38																																5.26
1899																																											4.73																																5.61
1900																																											3.46																																5.13
1901																																											2.47																																3.59
1902																																											4.88																																5.35
1903																																											5.19																																5.57
1904																																											6.11																																6.01
1905																																											4.81																																3.88
1906																																											4.08																																4.44
1907																																											6.26																																4.91
1908																																											4.93																																5.45
1909																																											2.84																																4.17
1910																																											3.81																																4.06
1911																																											4.31																																4.79
1912																																											1.85																																3.75
1913																																											4.71																																5.53
1914																																											2.66																																4.42
1915																																											0.85																																4.84
1916																																											3.63																																4.14
1917																																											2.54																																4.13
1918																																											3.34																																4.45
1919																																											3.12																																4.73
1920																																											3.18																																5.95
1921																																											4.36																																4.87
1922																																											0.54																																4.08
1923																																											4.49																																4.82
1924																																											3.30																																5.76
1925																																											4.05																																5.28
1926																																											3.88																																5.19
1927																																											2.47																																3.67
1928																																											2.97																																5.08
1929																																											0.09																																3.94
1930																																											3.40																																6.64
1931																																											5.96																																6.05
1932																																											7.01																																5.00
1933																																											4.78																																5.05
1934																																											3.63																																5.81
1935																																											5.20																																5.34
1936																																											3.45																																4.95
1937																																											4.30																																4.05
1938																																											1.01																																4.30
1939																																											2.87																																4.87
1940																																											3.70																																4.66
1941																																											1.62																																4.92
1942																																											3.83																																4.30
1943																																											5.56																																4.72
1944																																											2.29																																3.22
1945																																											3.82																																4.83
1946																																											1.18																																3.91
1947																																											1.45																																4.10
1948																																											3.11																																4.83
1949																																											3.60																																4.38
1950																																											3.83																																3.94
1951																																											5.11																																5.14
1952																																											4.46																																5.43
1953																																											3.79																																5.33
1954																																											0.60																																4.36
1955																																											1.91																																4.69
1956																																											3.36																																3.87
1957																																											4.34																																5.44
1958																																											3.83																																4.96
1959																																											1.53																																5.19
1960																																											5.31																																5.25
1961																																											5.44																																5.46
1962																																											4.11																																5.76
1963																																											4.63																																5.66
1964																																											5.08																																5.09
1965																																											7.07																																5.36
1966																																											5.65																																5.76
1967																																											4.74																																4.83
1968																																											4.97																																5.74
1969																																											2.14																																5.69
1970																																											4.02																																6.18
1971																																											5.93																																6.45
1972																																											6.25																																6.75
1973																																											4.48																																8.03
1974																																											4.56																																6.35
1975																																											3.98																																4.63
1976																																											2.37																																4.95
1977																																											4.34																																5.90
1978																																											4.97																																4.86
1979																																											3.07																																3.65
1980																																											2.25																																5.84
1981																																											4.37																																5.14
1982																																											4.59																																5.43
1983																																											3.51																																4.91
1984																																											2.84																																4.57
1985																																											5.08																																5.32
1986																																											2.78																																4.93
1987																																											4.78																																5.10
1988																																											2.65																																4.98
1989																																											1.51																																4.34
1990																																											1.48																																4.82
1991																																											6.26																																5.04
1992																																											3.48																																5.93
1993																																											4.18																																5.26
1994																																											6.19																																4.88
1995																																											1.45																																5.15
1996																																											1.93																																4.72
1997																																											3.03																																3.67
1998																																											4.81																																4.93
1999																																											5.41																																3.63
2000																																											5.82																																4.21
2001																																											2.55																																5.88
2002																																											6.48																																5.47
2003																																											4.82																																5.10
2004																																											4.38																																5.22
