area	response
2.32155	2.367588
2.525543	2.881607
2.627449	2.641165
2.195558	2.592812
1.088055	2.15938
2.044432	2.365786
1.79707	2.548956
2.302335	2.741471
2.187373	2.468152
1.506705	2.580795
1.828855	2.53684
2.336525	2.41033
1.468181	2.142693
1.048413	2.07412
1.469381	2.517654
2.55183	2.833151
1.618446	2.377668
1.543634	2.409813
1.707257	2.227562
1.854963	2.49544
2.59554	2.932836
2.247533	2.800229
1.823993	2.508883
1.723572	2.387154
2.13321	2.385757
1.586938	2.483149
1.073923	2.095175
1.193971	2.134681
1.932372	2.360977
1.089122	2.419167
