plot	Location	Year	Treatment	Sward	Bare	Bryophytes	DOM	Total	Achillea	Agrostis	Anthoxanthum	Arrhenatherum	Bracken	Centaurea	Cerastium	Cirsium	Conopodium	Crataegus	Crepis	Dactylis	Festuca	Galium.aparine	Galium.saxatile	Galium.verum	Heracleum	Holcus.lanatus	Holcus.mollis	Hypochaeris	Lotus	Luzula	Pilosella	Plantago	Quercus	Ranunculus.acris	Ranunculus.repens	Rubus	Rumex.acetosa	Rumex.acetosella	Senecio.jacobaea	Stellaria	Taraxacum	Trifolium	Veronica.chamaedrys  	Vicia	Hyacinthoides	Ranunculus.bulbosus	Urtica
1	Gunnesss.Hill	1978	Fenced	35	0	1	0	102.2	0	1	2	0	0	0	0	0	0	0	0	0	15	0	55	0	0	0.1	25	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0.1	0	0
1	Gunnesss.Hill	1978	Grazed	2.5	0	50	0	51.2	0	7	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	7	0	0	0	1	0	0	0	0	0	0.1	1	25	0	0.1	0	0	0	0	0	0	0
2	Gunnesss.Hill	2003	Fenced	30	0	10	0	91.2	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	40	0	0	10	15	0	0	1	0	0	0.1	0	0	0	0	25	0	0	0	0	0	0	0	0	0
2	Gunnesss.Hill	2003	Grazed	2.5	0	65	0	38.2	0	8	0	0	0	0	0	0	0	0	0	0	0.1	0	8	0	0	6	0	0	0	0.1	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0
3	Elm.Slope	1994	Fenced	22	0.1	10	2	113.1	0	30	5	0	0	0	0	0	0	0	0	0	10	0	60	0	0	1	2	0	0	0.1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
3	Elm.Slope	1994	Grazed	2.5	0	50	0	78.2	0	5	0.1	0	0	0	0	0	0	0	0	0	10	0	50	0	0	5	0	0	0	2	0	0	0	0	0	0	5	0.1	0	0	0	0	0	0	1	0	0
4	Heronsbrook.Meadow?	2002	Fenced	35	0	10	0	94	0	7	0	0	0	0	0	1	0	0	0	25	20	0	0	0	0	20	0	0	0	0	0	0	0	0	10	0	0	0	0	5	1	0	5	0	0	0	0
4	Heronsbrook.Meadow?	2002	Grazed	20	10	5	0	92.1	0	10	0	0	0	0	0	5	0	0	0	20	2	0	0	0	0	50	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
5	Heronsbrook.Meadow(D)	2002	Fenced	12	5	0	10	107.1	0	20	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	50	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0.1	0
5	Heronsbrook.Meadow	2002	Grazed	25	5	10	5	85.1	0	10	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	40	0.1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	5
6	Heronsbrook.Meadow	2002	Fenced	30	0	5	0	103	0	5	0	0	0	0	0	2	0	0	0	30	20	0	0	0	0	25	0	0	0	0	0	0	0	0	10	0	0	0	0	5	1	0	5	0	0	0	0
6	Heronsbrook.Meadow	2002	Grazed	20	5	5	10	100	0	10	5	0	0	0	0	5	0	0	0	25	5	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	5	0	0	0	0
7	Nashs.Field.A	1987	Fenced	20	1	30	5	83	0	15	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
7	Nashs.Field.A	1987	Grazed	4	0	40	2	68.4	0	10	0	0	0	0	0	0	0	0	0	5	10	0	3	0	0	0	0	0	0	40	0	0	0	0	0	0.1	0.1	0	0	0.1	0	0	0	0	0	0.1	0
8	Nashs.Field.B	1987	Fenced	25	0	20	10	87	0	5	0	0	0	0	0	0	0	0	0	10	15	0	30	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
8	Nashs.Field.B	1987	Grazed	10	0	5	1	93.1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	5	0	0	0	0	0	2	50	0	0	0	0	0	0	10	0.1	1	0	0	0	5	0	0	0	0
9	Nashs.Field.C	1987	Fenced	25	0	20	10	87.2	0	10	5	0	0	0	0	0	0	0	0	0	25	0	5	0	0	40	0.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0.1	0	0	0	0	0	0
9	Nashs.Field.C	1987	Grazed	5	0.1	20	5	89.1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	40	0	5	0	0	0	0	10	0	1	1	0	0	10	2	0	0.1	0
10	Nashs.Field.D	1987	Fenced	30	0	20	10	87.1	0	15	5	0	0	0	0	0	0	0	0	15	25	0	0	0	0	20	0	0	0	0	0	0	0.1	0	0	0	5	0	0	0	0	0	0	2	0	0	0
10	Nashs.Field.D	1987	Grazed	6	0	45	0	104.3	0	10	0	0	0	0	0	0.1	0	0	0	10	10	0	2	0	0	0	0	0	0.1	40	0	0.1	0	0	0	0	20	0	0	2	0	0	10	0	0	0	0
11	Nashs.Field.E	1987	Fenced	20	2	20	5	107.1	0	20	0	0	0	0	0	0	0	0	0	20	15	0	30	0	0	15	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0.1	2	0	0	0
11	Nashs.Field.E	1987	Grazed	5	0	40	0.1	67.3	0	0	10	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	5	30	0	0	0	0	0	0	0.1	2	0	0.1	0	0	5	0	0	0.1	0
12	Nashs.Field.F	1987	Fenced	30	5	20	10	85.1	0	10	5	0	0	0	0	0	0	0	0	15	0	0	20	0	0	15	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0.1	0	0	0	0
