ROW	COLUMN	X	Y	rosette	regenerating	stems	diameter	xcoord	ycoord	type
0	0	27	34	4	NA	NA	NA	27	34	seedling
0	0	29	34	3	NA	NA	NA	29	34	seedling
0	0	20	56	3	NA	NA	NA	20	56	seedling
0	0	20	61	2	NA	NA	NA	20	61	seedling
0	0	78	66	2	NA	NA	NA	78	66	seedling
0	0	25	68	1	NA	NA	NA	25	68	seedling
0	0	89	82	2	NA	NA	NA	89	82	seedling
0	0	97	96	2	NA	NA	NA	97	96	seedling
0	2	53	31	2	NA	NA	NA	253	31	seedling
0	2	59	50	2	NA	NA	NA	259	50	seedling
0	5	31	35	2	NA	NA	NA	531	35	seedling
0	5	33	37	2	NA	NA	NA	533	37	seedling
0	5	36	37	2	NA	NA	NA	536	37	seedling
0	5	32	40	2	NA	NA	NA	532	40	seedling
0	5	29	41	1	NA	NA	NA	529	41	seedling
0	5	20	44	2	NA	NA	NA	520	44	seedling
0	5	26	44	1	NA	NA	NA	526	44	seedling
0	5	29	45	2	NA	NA	NA	529	45	seedling
0	5	17	49	2	NA	NA	NA	517	49	seedling
0	5	16	60	1	NA	NA	NA	516	60	seedling
0	5	78	67	2	NA	NA	NA	578	67	seedling
0	6	88	26	6	NA	NA	NA	688	26	rosette
0	7	38	25	2	NA	NA	NA	738	25	seedling
0	7	39	26	2	NA	NA	NA	739	26	seedling
0	7	93	31	7	NA	NA	NA	793	31	rosette
0	7	65	97	1	NA	NA	NA	765	97	seedling
0	8	31	2	2	NA	NA	NA	831	2	seedling
0	8	33	8	2	NA	NA	NA	833	8	seedling
0	8	11	12	3	NA	NA	NA	811	12	seedling
0	8	26	36	2	NA	NA	NA	826	36	seedling
0	8	26	66	3	NA	NA	NA	826	66	seedling
0	9	33	24	1	NA	NA	NA	933	24	seedling
0	9	39	25	1	NA	NA	NA	939	25	seedling
0	9	32	28	1	NA	NA	NA	932	28	seedling
0	9	41	49	1	NA	NA	NA	941	49	seedling
0	9	40	53	2	NA	NA	NA	940	53	seedling
0	9	23	88	3	NA	NA	NA	923	88	seedling
0	9	15	90	2	NA	NA	NA	915	90	seedling
0	10	42	8	10	NA	NA	NA	1042	8	rosette
0	10	99	12	6	NA	NA	NA	1099	12	rosette
0	10	20	33	NA	0	3	10	1020	33	skeleton
0	11	12	15	8	NA	NA	NA	1112	15	rosette
0	11	0	11	5	NA	NA	NA	1100	11	seedling
0	11	66	56	6	NA	NA	NA	1166	56	rosette
0	11	5	83	3	NA	NA	NA	1105	83	seedling
0	11	65	99	3	NA	NA	NA	1165	99	seedling
0	12	31	0	NA	0	2	10	1231	0	skeleton
0	12	80	77	1	NA	NA	NA	1280	77	seedling
0	12	35	99	NA	0	1	8	1235	99	skeleton
0	12	39	90	NA	0	1	5	1239	90	skeleton
0	13	49	99	NA	0	5	15	1349	99	skeleton
0	13	61	0	4	NA	NA	NA	1361	0	seedling
0	14	12	8	7	NA	NA	NA	1412	8	rosette
0	14	53	2	4	NA	NA	NA	1453	2	seedling
0	14	26	54	NA	0	6	11	1426	54	skeleton
0	14	31	99	NA	0	1	9	1431	99	skeleton
0	16	38	93	NA	0	1	8	1638	93	skeleton
0	16	22	31	2	NA	NA	NA	1622	31	seedling
0	17	63	95	NA	0	3	11	1763	95	skeleton
0	17	53	99	NA	0	2	10	1753	99	skeleton
0	17	25	67	NA	0	1	7	1725	67	skeleton
0	17	16	84	NA	0	2	14	1716	84	skeleton
0	17	65	66	4	NA	NA	NA	1765	66	seedling
