strain	enzyme	rate
A	0	11.91118545
A	0.1	16.46677003
A	0.2	21.7344579
A	0.3	26.23806397
A	0.5	29.9527433
A	0.9	43.57490964
A	1.5	60.6668121
A	2	68.57008052
A	3	80.48360613
A	5	93.47072074
B	0	12.9031606
B	0.1	13.13818412
B	0.2	18.34951244
B	0.3	17.73002713
B	0.5	21.05443339
B	0.9	31.85864216
B	1.5	40.39313247
B	2	43.58424066
B	3	55.18655906
B	5	65.62299905
C	0	11.98801978
C	0.1	15.26403717
C	0.2	21.73383577
C	0.3	21.5701137
C	0.5	28.28693151
C	0.9	40.30948735
C	1.5	53.8017136
C	2	62.83497168
C	3	69.51607973
C	5	76.80590822
D	0	12.78586622
D	0.1	18.27417227
D	0.2	26.22930006
D	0.3	34.0322626
D	0.5	44.44738954
D	0.9	61.66309378
D	1.5	83.84474353
D	2	94.19562465
D	3	107.7708622
D	5	118.0650484
E	0	10.22131872
E	0.1	15.32827039
E	0.2	16.91698827
E	0.3	19.10406368
E	0.5	24.25111206
E	0.9	32.66672839
E	1.5	42.98569726
E	2	46.34981969
E	3	55.5772866
E	5	60.9067433
