B	T
9414	1
9399	1
9460	1
9411	1
9361	1
9395	1
9466	1
9318	1
9440	1
9484	1
9465	1
9391	1
9443	1
9450	1
9444	1
9446	1
9404	1
9460	1
9419	1
9374	1
9437	1
9457	1
9428	1
9365	1
9411	1
9408	1
9389	1
9400	1
9421	1
9407	1
0	9
5853	4
5920	4
5866	4
5951	4
5920	4
5835	4
5898	4
5849	4
5973	4
5910	4
5870	4
5892	4
5884	4
5932	4
5905	4
5919	4
5875	4
5875	4
5890	4
5860	4
5873	4
5859	4
5936	4
5946	4
5907	4
5880	4
5908	4
5901	4
5870	4
5885	4
1125	8
1100	8
1131	8
1156	8
1081	8
1141	8
1054	8
1169	8
1135	8
1051	8
1224	8
1108	8
1106	8
1101	8
1083	8
1139	8
1118	8
1066	8
1140	8
1112	8
1101	8
1133	8
1103	8
1065	8
1101	8
1143	8
1040	8
1113	8
1093	8
1131	8
8281	2
8164	2
8262	2
8257	2
8262	2
8246	2
8220	2
8289	2
8226	2
8295	2
8265	2
8309	2
8199	2
8265	2
8274	2
8337	2
8295	2
8288	2
8317	2
8358	2
8270	2
8183	2
8263	2
8265	2
8281	2
8309	2
8320	2
8294	2
8193	2
8298	2
7074	3
7068	3
7034	3
7187	3
7191	3
7074	3
7120	3
7059	3
7070	3
7084	3
7097	3
7050	3
7174	3
6999	3
7155	3
7015	3
7083	3
7174	3
7098	3
7112	3
7174	3
7159	3
7148	3
7085	3
7155	3
7079	3
7188	3
7125	3
7108	3
7205	3
3397	6
3547	6
3446	6
3407	6
3522	6
3451	6
3421	6
3412	6
3487	6
3474	6
3529	6
3498	6
3498	6
3462	6
3499	6
3491	6
3510	6
3557	6
3484	6
3495	6
3583	6
3507	6
3446	6
3471	6
3506	6
3500	6
3505	6
3521	6
3430	6
3570	6
2348	7
2313	7
2324	7
2312	7
2335	7
2237	7
2296	7
2195	7
2307	7
2285	7
2325	7
2273	7
2320	7
2272	7
2317	7
2318	7
2261	7
2281	7
2307	7
2253	7
2325	7
2285	7
2268	7
2286	7
2216	7
2253	7
2329	7
2255	7
2267	7
2349	7
4709	5
4781	5
4765	5
4784	5
4747	5
4663	5
4742	5
4740	5
4656	5
4736	5
4690	5
4599	5
4681	5
4743	5
4635	5
4638	5
4656	5
4753	5
4666	5
4731	5
4648	5
4700	5
4724	5
4664	5
4667	5
4629	5
4670	5
4692	5
4688	5
4780	5
