time	seed	height	rep
1	Barrymore	1	1
2	Barrymore	1.5	1
3	Barrymore	2	1
4	Barrymore	3	1
1	Barrymore	0.9	2
2	Barrymore	1.7	2
3	Barrymore	2.2	2
4	Barrymore	2.9	2
1	Barrymore	1.1	3
2	Barrymore	1.4	3
3	Barrymore	2.2	3
4	Barrymore	3.1	3
1	Culrain	1.149144971	1
2	Culrain	2.115804412	1
3	Culrain	2.026452592	1
4	Culrain	3.002237145	1
1	Culrain	1.082328745	2
2	Culrain	2.561928671	2
3	Culrain	2.412807087	2
4	Culrain	3.089730185	2
1	Culrain	1.651475259	3
2	Culrain	1.649842744	3
3	Culrain	3.116918342	3
4	Culrain	3.366361655	3
1	Conway	1.1	1
2	Conway	1.9	1
3	Conway	3.2	1
4	Conway	3.9	1
1	Conway	2.04443902	2
2	Conway	2.455628753	2
3	Conway	3.241307859	2
4	Conway	4.795808279	2
1	Conway	2.591381322	3
2	Conway	3.187306578	3
3	Conway	3.260560399	3
4	Conway	5.086331365	3
1	Desire	3.029931055	1
2	Desire	3.395558324	1
3	Desire	3.712276517	1
4	Desire	5.601652585	1
1	Desire	3.210962073	2
2	Desire	3.512512068	2
3	Desire	4.526327498	2
4	Desire	5.607664844	2
1	Desire	3.468681106	3
2	Desire	3.782466798	3
3	Desire	4.963056732	3
4	Desire	5.936796753	3
