Species	Area
4	0.01
5	0.01
4	0.01
5	0.01
5	0.01
4	0.01
6	0.01
3	0.01
4	0.01
5	0.01
6	0.01
6	0.01
5	0.01
3	0.01
4	0.01
2	0.01
2	0.01
2	0.01
3	0.01
3	0.01
2	0.01
3	0.01
4	0.01
4	0.01
2	0.01
1	0.01
3	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
1	0.01
1	0.01
1	0.01
2	0.01
1	0.01
1	0.01
2	0.01
3	0.01
4	0.01
3	0.01
4	0.01
5	0.01
5	0.01
5	0.01
3	0.01
4	0.01
6	0.01
4	0.01
4	0.01
3	0.01
4	0.01
6	0.01
4	0.01
6	0.01
5	0.01
6	0.01
5	0.01
6	0.01
3	0.01
2	0.01
5	0.01
4	0.01
1	0.01
4	0.01
5	0.01
3	0.01
3	0.01
4	0.01
6	0.01
5	0.01
4	0.01
5	0.01
5	0.01
2	0.01
2	0.01
3	0.01
5	0.01
3	0.01
4	0.01
4	0.01
4	0.01
3	0.01
7	0.01
3	0.01
4	0.01
3	0.01
5	0.01
4	0.01
1	0.01
4	0.01
1	0.01
2	0.01
2	0.01
1	0.01
3	0.01
2	0.01
1	0.01
3	0.01
3	0.01
3	0.01
1	0.01
2	0.01
3	0.01
1	0.01
1	0.01
2	0.01
2	0.01
3	0.01
1	0.01
2	0.01
1	0.01
1	0.01
1	0.01
1	0.01
2	0.01
2	0.01
2	0.01
1	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
4	0.01
3	0.01
4	0.01
4	0.01
5	0.01
3	0.01
3	0.01
4	0.01
3	0.01
4	0.01
5	0.01
5	0.01
4	0.01
5	0.01
4	0.01
4	0.01
5	0.01
7	0.01
2	0.01
4	0.01
4	0.01
3	0.01
2	0.01
2	0.01
2	0.01
2	0.01
3	0.01
1	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
2	0.01
1	0.01
1	0.01
2	0.01
2	0.01
6	0.01
6	0.01
5	0.01
6	0.01
5	0.01
6	0.01
3	0.01
5	0.01
2	0.01
5	0.01
4	0.01
7	0.01
6	0.01
5	0.01
3	0.01
2	0.01
3	0.01
3	0.01
4	0.01
3	0.01
2	0.01
4	0.01
4	0.01
3	0.01
4	0.01
4	0.01
4	0.01
3	0.01
4	0.01
3	0.01
1	0.01
1	0.01
1	0.01
1	0.01
2	0.01
1	0.01
1	0.01
1	0.01
2	0.01
2	0.01
1	0.01
2	0.01
1	0.01
1	0.01
2	0.01
2	0.01
1	0.01
2	0.01
3	0.01
3	0.01
1	0.01
1	0.01
1	0.01
2	0.01
2	0.01
3	0.01
1	0.01
2	0.01
1	0.01
2	0.01
2	0.01
2	0.01
2	0.01
3	0.01
1	0.01
2	0.01
3	0.01
2	0.01
3	0.01
2	0.01
3	0.01
2	0.01
3	0.01
3	0.01
2	0.01
1	0.01
1	0.01
1	0.01
1	0.01
1	0.01
2	0.01
2	0.01
2	0.01
2	0.01
1	0.01
1	0.01
2	0.01
3	0.01
1	0.01
2	0.01
2	0.01
4	0.01
4	0.01
4	0.01
3	0.01
2	0.01
4	0.01
3	0.01
4	0.01
5	0.01
4	0.01
4	0.01
5	0.01
4	0.01
5	0.01
5	0.01
4	0.01
2	0.01
4	0.01
2	0.01
7	0.01
3	0.01
2	0.01
1	0.01
3	0.01
4	0.01
3	0.01
4	0.01
3	0.01
4	0.01
3	0.01
2	0.01
4	0.01
6	0.01
6	0.01
6	0.01
5	0.01
4	0.01
4	0.01
4	0.01
4	0.01
4	0.01
4	0.01
3	0.01
4	0.01
4	0.01
3	0.01
4	0.01
1	0.01
2	0.01
5	0.01
3	0.01
5	0.01
4	0.01
4	0.01
5	0.01
3	0.01
3	0.01
4	0.01
4	0.01
6	0.01
4	0.01
4	0.01
7	0.01
7	0.01
5	0.01
3	0.01
4	0.01
3	0.01
5	0.01
3	0.01
2	0.01
3	0.01
5	0.01
5	0.01
1	0.01
1	0.01
1	0.01
1	0.01
2	0.01
2	0.01
1	0.01
2	0.01
1	0.01
1	0.01
3	0.01
1	0.01
1	0.01
2	0.01
1	0.01
1	0.01
6	0.1
8	0.1
7	0.1
7	0.1
8	0.1
8	0.1
9	0.1
5	0.1
7	0.1
6	0.1
6	0.1
7	0.1
7	0.1
5	0.1
5	0.1
2	0.1
3	0.1
4	0.1
5	0.1
5	0.1
3	0.1
5	0.1
5	0.1
5	0.1
5	0.1
4	0.1
3	0.1
4	0.1
3	0.1
5	0.1
4	0.1
3	0.1
5	0.1
2	0.1
1	0.1
2	0.1
2	0.1
2	0.1
4	0.1
3	0.1
4	0.1
4	0.1
4	0.1
7	0.1
7	0.1
7	0.1
5	0.1
7	0.1
9	0.1
6	0.1
7	0.1
8	0.1
8	0.1
8	0.1
8	0.1
9	0.1
9	0.1
9	0.1
8	0.1
10	0.1
6	0.1
5	0.1
7	0.1
5	0.1
6	0.1
5	0.1
6	0.1
6	0.1
6	0.1
5	0.1
8	0.1
6	0.1
7	0.1
7	0.1
7	0.1
5	0.1
6	0.1
7	0.1
9	0.1
7	0.1
9	0.1
6	0.1
5	0.1
9	0.1
8	0.1
6	0.1
7	0.1
7	0.1
7	0.1
7	0.1
3	0.1
7	0.1
5	0.1
3	0.1
4	0.1
2	0.1
4	0.1
3	0.1
2	0.1
5	0.1
6	0.1
4	0.1
2	0.1
5	0.1
6	0.1
2	0.1
2	0.1
2	0.1
2	0.1
4	0.1
1	0.1
2	0.1
1	0.1
1	0.1
1	0.1
1	0.1
2	0.1
2	0.1
2	0.1
1	0.1
2	0.1
4	0.1
2	0.1
3	0.1
2	0.1
3	0.1
4	0.1
4	0.1
5	0.1
4	0.1
5	0.1
4	0.1
5	0.1
4	0.1
3	0.1
5	0.1
6	0.1
6	0.1
7	0.1
6	0.1
7	0.1
7	0.1
7	0.1
8	0.1
4	0.1
4	0.1
5	0.1
3	0.1
4	0.1
4	0.1
2	0.1
2	0.1
3	0.1
1	0.1
2	0.1
2	0.1
2	0.1
2	0.1
2	0.1
2	0.1
2	0.1
1	0.1
1	0.1
4	0.1
6	0.1
8	0.1
9	0.1
7	0.1
8	0.1
9	0.1
9	0.1
8	0.1
9	0.1
7	0.1
8	0.1
6	0.1
9	0.1
11	0.1
7	0.1
6	0.1
3	0.1
4	0.1
3	0.1
5	0.1
5	0.1
5	0.1
4	0.1
5	0.1
5	0.1
4	0.1
4	0.1
5	0.1
3	0.1
6	0.1
4	0.1
1	0.1
1	0.1
2	0.1
1	0.1
2	0.1
1	0.1
1	0.1
3	0.1
2	0.1
2	0.1
1	0.1
3	0.1
1	0.1
