xv	ys
90.77212	51.75918
16.11536	28.95312
31.1235	35.50002
39.79581	32.69104
48.82297	40.50366
78.17519	56.5843
29.97319	31.87137
61.66741	46.30729
55.47211	44.09255
8.93557	30.02324
73.36877	46.05974
60.94679	42.96545
30.12837	41.13832
63.49312	41.89534
69.4257	45.94758
33.65231	30.78103
60.49952	45.73121
89.56325	47.64866
37.79412	36.71042
55.99477	41.87292
0.1413198	26.84904
71.25819	49.54433
1.223218	27.91121
81.51914	45.5246
3.874102	23.16908
73.32387	49.9086
45.66414	40.22269
67.81447	45.13829
93.4453	56.401
3.16926	24.71206
46.40063	42.71837
34.40727	29.83873
4.860776	21.22408
52.615	39.12579
13.86071	30.9851
89.67519	50.49969
55.02998	40.27002
21.1138	31.83822
44.26442	38.66342
58.57412	43.15105
95.0795	50.40798
9.10939	26.93371
88.94967	52.68181
13.98662	29.29317
64.55277	44.046
42.33967	34.63249
50.44069	31.79641
66.32086	43.8787
78.7988	44.83925
33.02075	38.10411
32.8913	42.3402
83.16962	50.23783
61.49388	42.05323
6.272553	23.43612
58.0733	41.85744
47.57547	36.55812
26.70958	32.7664
96.97189	55.61026
52.713	32.01379
20.33603	24.97123
19.89503	26.94684
72.7339	40.16191
71.71202	44.47413
18.63857	31.49162
44.52088	34.67134
15.52144	31.82309
25.4598	31.24872
69.33804	49.22922
85.16207	51.44065
6.033774	24.55949
66.86249	43.54302
42.90409	35.93361
72.42627	45.07223
45.17913	34.16737
57.16254	44.17104
56.66865	44.34583
19.17482	28.42308
67.31819	47.46691
92.94657	54.34426
38.05714	37.62358
8.076713	34.5121
2.628109	26.51137
83.2709	46.1902
77.27084	48.24958
69.77994	46.26103
41.11539	39.87661
78.09971	48.07093
2.263955	33.63378
93.4694	57.82997
82.34963	48.70141
2.576484	23.75314
73.86135	46.39165
25.76554	29.80529
97.67732	57.2381
57.83722	45.1488
4.443484	24.45441
93.94787	53.29426
47.41257	40.03944
80.14195	47.81423
50.54338	41.71411
6.35424	26.93594
11.76942	33.52973
81.1503	55.8817
58.01215	43.53502
62.67445	48.56582
94.29133	51.87432
45.16976	39.88304
80.90371	53.92917
13.74151	28.42013
33.42162	34.34907
34.62778	34.38359
76.88236	48.33128
10.79456	24.12299
95.60855	51.20933
69.73568	51.42456
94.33734	49.79154
13.50388	27.05863
27.70459	32.88198
84.52742	46.62424
86.37302	48.00829
57.35431	43.84481
46.75617	40.58739
1.379824	28.31825
90.49764	58.72105
72.19773	43.85352
16.76677	28.27018
75.93843	45.92699
1.819939	23.00658
8.022969	28.1655
42.93163	32.68443
93.25565	53.18326
39.83588	38.57357
26.59674	28.35451
37.29753	38.45196
47.52046	36.87566
75.1744	49.62016
0.2596583	26.45004
99.78076	54.94169
91.91183	56.61093
94.28425	54.82494
57.24339	43.06431
79.55355	44.47037
21.98353	26.9668
90.73267	50.99645
0.8269232	23.94448
20.07521	36.78514
3.085331	23.20261
1.640238	29.24154
86.41892	48.29227
4.090842	26.44928
73.14632	41.92012
35.69761	36.06232
26.79294	28.37727
34.33314	30.54773
21.35976	28.63378
71.27702	55.49952
98.247	52.58674
69.61504	48.45984
94.51118	55.66456
87.91199	53.79432
8.554812	34.18967
31.94292	32.06259
28.86104	39.41378
69.44575	50.99077
34.72403	34.0659
33.83673	32.47591
26.67848	31.69139
92.48548	53.9745
37.57963	36.35658
34.73635	36.45029
63.43339	39.15678
72.98123	45.19347
0.7966615	27.1918
62.91113	36.55756
49.27984	40.6798
89.67982	50.21369
2.339266	28.48216
62.8877	39.66642
74.30772	47.39453
95.05759	54.52471
22.58763	32.85686
25.1262	33.36349
94.1664	55.63503
98.3644	55.86413
84.1042	53.2746
59.7063	40.01256
19.66474	31.42045
52.99597	35.85099
27.1129	31.58384
17.36868	32.86745
67.40848	41.79986
26.14429	24.96309
18.37156	27.18373
29.84677	37.16578
86.01044	55.52468
33.54098	33.76612
32.65353	35.78712
54.17066	42.55848
31.76129	40.57794
98.12208	56.83628
71.62579	48.55815
32.29905	38.04823
29.06927	35.2395
28.15984	29.40033
92.69007	52.28714
9.365453	26.58427
35.36695	35.98481
42.85631	36.1548
37.07244	37.95401
98.05642	52.47677
23.48097	33.94497
25.99771	34.29973
87.11752	47.10963
16.40208	31.10617
79.94823	51.84907
59.03252	39.68543
8.86732	29.72042
34.09096	40.85095
26.62382	35.0611
80.25504	45.1789
19.83797	28.78725
60.90953	41.95997
7.737775	28.64639
17.87545	26.74686
72.95465	46.67909
30.12102	33.56273
54.6635	40.02604
13.5225	31.11717
69.04751	44.66329
63.84137	39.67979
82.96889	48.76233
99.2091	55.23515
75.90073	47.32251
21.09738	24.32935
10.52075	25.52038
66.2493	41.30685
87.07296	53.66759
82.95092	51.23893
87.40985	50.77603
73.25916	44.72536
99.2867	55.46972
15.68673	29.69594
6.031937	23.62967
38.11955	34.03005
10.49621	30.12082
92.56361	47.28846
67.04201	45.02451
37.40342	36.84163
63.77918	43.42958
51.72261	37.80747
44.11144	37.21612
82.63942	48.86614
90.514	45.61422
5.029196	21.90413
68.10348	42.71992
49.40476	37.1276
83.54386	51.55479
47.94333	43.50869
56.57284	37.71517
75.3108	44.04632
16.30101	25.30929
55.85087	44.84207
46.04219	33.78076
73.55403	50.44015
82.92565	46.37154
90.74304	52.60198
99.31368	51.99116
92.62888	52.69141
56.80318	37.15995
79.78273	49.10243
77.67198	50.77218
34.04731	34.72216
21.87909	28.98806
66.48732	42.50404
31.67054	33.07992
98.82756	56.09468
94.71505	50.50494
1.910308	23.23577
39.13322	36.12654
45.72816	35.71517
75.29085	48.03015
91.16646	53.17234
61.09308	41.48833
62.2207	41.64714
31.36638	34.84069
93.80196	55.78558
35.46188	35.49397
12.63955	28.14598
55.489	42.69888
35.52258	36.76343
65.77271	42.88374
9.92675	26.33946
87.88902	47.23332
55.36595	38.14748
54.48521	42.11672
79.39783	53.89003
80.75142	51.08925
37.74076	37.61934
77.68413	50.04663
8.813502	28.92884
34.66414	35.05181
36.23513	36.19491
71.4882	42.84872
43.81382	35.99806
74.00274	48.12328
35.53707	35.63925
25.79219	34.70895
27.58666	36.35315
29.46685	35.25109
97.45893	53.70855
6.300958	21.05131
40.32825	40.69932
0.03192024	29.30738
44.55709	38.52837
1.523862	28.30415
2.413508	31.23578
51.87585	42.07031
9.209952	29.5606
25.38269	33.59486
53.24676	35.63181
55.07045	39.77066
59.68833	46.9682
83.77343	42.56442
5.786227	28.26951
71.92039	44.61382
38.44157	35.20612
88.65514	50.25814
85.07382	52.05973
51.66195	40.54126
4.805643	33.25859
48.26196	39.25969
74.42197	45.29501
58.88925	42.80979
97.31837	55.28682
13.77029	26.45219
94.38998	53.88098
77.11049	43.82229
18.58059	32.37903
29.43173	35.30062
38.73585	36.80314
64.86185	42.25605
68.06191	49.26981
67.29513	42.89457
8.793047	26.33232
61.53004	44.92962
30.52198	33.58428
6.550581	28.8741
88.8291	52.956
72.45668	50.91104
93.03762	52.36864
98.80798	56.71693
66.98566	44.72825
90.81199	50.21199
0.1896715	29.03212
91.86352	54.87716
50.42325	36.18809
4.723051	27.1031
63.47731	48.77867
81.12104	47.50271
78.21824	45.60284
92.94702	56.70206
21.21514	29.85007
43.66525	39.58188
27.41723	32.64133
35.44186	37.79989
30.30405	36.05824
85.88328	49.75789
51.86266	40.42123
82.3647	53.62478
23.84768	30.36344
86.71772	53.4035
25.2828	31.8968
93.633	53.38533
56.09946	45.15897
83.28167	46.21015
77.13521	45.72783
35.45618	38.36605
49.11908	47.19821
28.29209	30.89039
43.05852	36.10296
71.77618	48.38244
68.4153	46.48373
6.50209	30.00139
40.22277	35.25367
47.8079	44.67661
58.5041	45.26189
65.40127	46.11509
94.24822	51.02222
73.72505	41.81692
57.92255	40.19132
38.51066	40.88547
94.83488	51.76925
29.44753	38.33972
82.3041	51.75864
65.1046	39.69566
56.47112	38.68754
0.3945387	21.94127
88.1601	51.98601
24.70561	29.97164
33.76388	39.70766
50.8239	38.5116
80.55362	46.79166
54.2158	35.68611
33.00106	37.99908
23.38877	36.07271
90.2141	52.80225
10.60813	22.2472
29.97989	31.24863
14.83769	28.64515
14.84819	26.37657
66.77141	43.98539
42.92022	39.89134
78.81641	45.13797
96.67291	51.20678
94.63575	49.45779
56.74659	40.50629
37.44478	35.5167
78.34025	50.53065
87.6924	51.15579
2.839887	25.0398
55.79008	42.97432
86.93279	54.42541
31.2629	33.05203
1.666087	26.39817
17.48606	31.44521
67.27113	45.081
54.85594	42.76625
32.1536	34.61283
90.0228	54.23674
26.385	31.17427
26.46477	40.48957
32.05072	33.97139
33.5948	36.0279
18.95727	28.65822
40.85912	40.49881
56.13108	42.39379
68.74635	45.0113
61.74461	47.13849
24.7347	30.57597
81.77651	55.8034
36.3264	38.27594
52.47204	43.15705
33.16069	35.10518
52.76052	44.14059
48.08642	38.29613
60.40021	45.43808
70.76134	48.71535
4.746915	29.57236
39.83937	36.39363
24.0188	28.21317
98.71592	53.17051
57.11086	37.87679
28.53344	32.58011
39.19912	38.24101
95.57614	48.74068
0.7610972	26.48558
53.74028	37.9747
93.03158	48.5511
18.61612	30.66986
36.51278	33.33385
30.99691	29.2735
14.25933	27.28196
28.04845	36.39127
45.2908	38.61039
47.14637	45.52699
20.43847	27.9672
69.37164	46.3741
10.95252	23.09392
70.46987	43.59316
26.38015	30.61146
38.96407	36.62339
5.561997	26.8289
88.40223	50.27124
6.00428	26.0956
7.345223	28.59452
6.141911	25.12876
15.45973	27.93045
23.40886	31.5811
