xv2	ys2
27.12526	25.92095
94.60103	45.25342
50.69828	34.35846
25.2398	26.26006
76.81877	44.78346
74.82574	44.5677
47.20992	40.82749
72.10546	45.16567
92.16135	50.6875
4.217955	19.75227
43.75038	28.28385
80.63122	45.77027
50.50226	38.94755
3.250472	21.92588
51.85044	36.81017
76.89338	38.21337
78.28112	44.63363
59.85562	42.16766
49.02706	31.53907
14.34559	24.77103
26.77805	31.83947
5.383713	20.63219
51.88894	38.00768
92.73674	61.24327
80.9202	45.27438
96.9679	53.41395
1.55625	22.5502
33.87574	27.49937
97.62117	52.12169
74.50687	37.50901
22.07437	26.63022
54.52764	37.02937
8.82153	19.85884
55.6672	39.69942
29.19721	27.33856
95.75835	47.54979
77.19644	39.59496
6.440494	19.40604
35.71298	28.95056
86.42226	47.4876
12.32175	22.54258
80.52453	46.46996
25.19559	27.11617
46.54774	34.23773
94.36744	53.58793
88.41684	41.27391
76.2219	40.34131
46.2344	39.17998
27.5523	31.18899
33.69149	35.4738
16.27562	21.24191
95.58777	56.47844
51.70472	37.78968
6.804912	20.13052
14.89525	25.57761
26.15763	29.47493
56.32428	38.27898
26.03527	27.37137
81.4116	49.76741
3.077327	17.5662
66.85995	37.39858
26.14437	25.30033
81.57632	52.87153
5.142769	18.91694
6.295937	23.81154
1.158463	13.41794
5.329899	21.62104
63.00785	38.04852
82.27482	52.58146
40.60361	27.32881
98.39682	51.15344
4.002408	19.18752
26.81259	22.47545
34.3378	24.11565
28.64677	28.52376
17.5541	22.72262
52.00062	38.21461
32.23817	27.32924
42.60851	27.31713
11.58107	22.26911
77.5686	46.3132
13.49808	16.57253
71.64715	44.708
58.21168	34.38462
6.57788	17.99962
1.527496	24.12988
91.17838	48.02993
89.8267	50.10764
80.01656	45.59995
77.29417	52.64302
97.31403	55.436
91.0102	43.58378
95.97483	61.44517
75.24186	42.68053
85.50144	46.0955
53.16304	38.90812
51.4882	40.38545
63.43143	38.27356
75.0406	45.28126
84.03148	55.39732
2.6803	18.94117
96.50641	56.39244
5.381555	17.89126
51.7823	37.67704
59.69732	36.54167
81.77132	48.53798
77.31459	52.12302
96.95385	52.14007
74.79572	41.68211
5.572783	22.04446
23.14908	19.44198
17.60101	21.37482
1.482235	18.81803
18.43314	24.89531
65.6733	45.04767
71.67026	42.04707
29.28657	31.145
66.18135	52.12759
94.22715	59.30929
40.28046	33.93046
54.63274	35.01973
10.18793	27.91871
86.5276	48.52982
36.04056	26.91347
98.72881	60.75466
74.15867	49.04151
18.75801	26.32471
46.53836	30.15275
87.80866	53.64994
56.60709	39.88466
4.738481	17.36468
23.01157	30.81165
6.186476	21.58471
4.320285	21.40218
9.120105	28.14623
47.26849	30.93843
45.64239	39.85932
87.5817	46.1092
50.9229	34.14209
18.76518	27.79073
6.284004	15.59752
38.38749	25.25159
10.94106	20.22608
83.06078	45.84578
43.70982	34.36375
96.4572	48.90467
74.73523	48.32033
39.04684	43.11641
98.05803	46.8797
65.21487	36.08141
46.71821	29.81651
69.29434	40.08705
44.85037	31.83334
12.22719	25.31757
55.04353	39.6504
40.6209	31.56146
86.66606	49.47686
73.09696	42.31223
94.14016	53.60788
57.47491	40.22186
46.09772	33.14095
48.82405	41.19278
96.16606	56.05784
80.1128	45.71432
15.48072	24.88007
17.97148	20.881
20.15418	33.24354
13.20382	20.75931
8.097444	21.91417
78.99581	46.15644
82.85026	47.19785
20.33374	21.18042
62.95551	39.3615
46.08998	34.08865
7.475675	16.5956
3.298813	19.60107
7.120494	17.47545
67.2597	48.82429
26.00408	23.90941
64.61447	46.3652
35.43968	35.58238
63.42171	42.14203
68.39026	40.70836
76.90495	42.44776
7.19397	21.94812
10.80205	13.88782
10.26602	23.36493
13.17343	25.29478
54.89418	42.42635
69.25488	41.2055
37.91607	34.2917
57.65938	46.5106
93.31201	56.12999
96.88642	56.26337
61.19122	43.58579
86.07608	45.75862
30.4229	30.70293
58.98387	39.42795
71.67764	43.74706
96.9904	58.52158
79.58169	37.935
65.6137	36.60661
46.46612	32.76008
17.90126	27.64482
82.03411	47.78862
57.93726	39.64604
14.58772	24.75848
40.91331	22.34138
18.14217	24.98772
76.76308	39.80263
8.447563	31.3386
56.63617	32.82755
32.7519	31.33805
1.328094	14.24505
9.849137	21.6575
60.48006	41.21379
2.315827	14.9244
72.67782	39.88513
96.30976	45.50846
82.31763	41.5945
20.73424	25.85789
97.89449	47.19837
15.96863	19.68965
9.079423	20.39615
24.57927	26.61791
9.872487	26.63886
10.18062	22.61609
96.1544	47.23894
7.591519	22.07668
19.71696	25.55876
51.82035	42.99984
59.78988	36.38339
71.39308	41.34215
93.62826	55.10227
12.51343	23.25653
93.58995	41.84166
64.55649	38.92016
68.72631	36.32491
43.11908	30.62136
72.92026	40.95765
18.53639	16.83748
67.95149	42.70855
77.88318	43.924
81.9335	37.83233
96.61523	49.78626
35.51309	25.19151
88.10805	52.34836
68.77234	46.27428
78.69074	40.11244
44.50457	36.60431
